,State,Disaster Type,Start Year,End Year
0,TX,Winter,1989,1989.0
1,TX,Winter,1989,1989.0
2,TX,Winter,1989,1989.0
3,TX,Winter,1989,1989.0
4,TX,Winter,1989,1989.0
5,TX,Winter,1989,1989.0
6,TX,Winter,1989,1989.0
7,TX,Winter,1989,1989.0
8,TX,Winter,1989,1989.0
9,TX,Winter,1989,1989.0
10,FL,Winter,1989,1989.0
11,FL,Winter,1989,1989.0
12,FL,Winter,1989,1989.0
13,FL,Winter,1989,1989.0
14,FL,Winter,1989,1989.0
15,FL,Winter,1989,1989.0
16,FL,Winter,1989,1989.0
17,FL,Winter,1989,1989.0
18,FL,Winter,1989,1989.0
19,FL,Winter,1989,1989.0
20,FL,Winter,1989,1989.0
21,FL,Winter,1989,1989.0
22,FL,Winter,1989,1989.0
23,FL,Winter,1989,1989.0
24,FL,Winter,1989,1989.0
25,FL,Winter,1989,1989.0
26,FL,Winter,1989,1989.0
27,FL,Winter,1989,1989.0
28,FL,Winter,1989,1989.0
29,FL,Winter,1989,1989.0
30,FL,Winter,1989,1989.0
31,FL,Winter,1989,1989.0
32,FL,Winter,1989,1989.0
33,FL,Winter,1989,1989.0
34,FL,Winter,1989,1989.0
35,FL,Winter,1989,1989.0
36,FL,Winter,1989,1989.0
37,FL,Winter,1989,1989.0
38,FL,Winter,1989,1989.0
39,FL,Winter,1989,1989.0
40,FL,Winter,1989,1989.0
41,FL,Winter,1989,1989.0
42,WA,Flood,1990,1990.0
43,WA,Flood,1990,1990.0
44,WA,Flood,1990,1990.0
45,WA,Flood,1990,1990.0
46,WA,Flood,1990,1990.0
47,WA,Flood,1990,1990.0
48,WA,Flood,1990,1990.0
49,OR,Flood,1990,1990.0
50,OR,Flood,1990,1990.0
51,MP,Typhoon,1990,1990.0
52,MP,Typhoon,1990,1990.0
53,MP,Typhoon,1990,1990.0
54,MP,Typhoon,1990,1990.0
55,AS,Hurricane,1990,1990.0
56,AS,Hurricane,1990,1990.0
57,AS,Hurricane,1990,1990.0
58,AS,Hurricane,1990,1990.0
59,AS,Hurricane,1990,1990.0
60,AL,Storm,1990,1990.0
61,AL,Storm,1990,1990.0
62,AL,Storm,1990,1990.0
63,AL,Storm,1990,1990.0
64,AL,Storm,1990,1990.0
65,AL,Storm,1990,1990.0
66,AL,Storm,1990,1990.0
67,AL,Storm,1990,1990.0
68,AL,Storm,1990,1990.0
69,AL,Storm,1990,1990.0
70,AL,Storm,1990,1990.0
71,AL,Storm,1990,1990.0
72,AL,Storm,1990,1990.0
73,AL,Storm,1990,1990.0
74,AL,Storm,1990,1990.0
75,AL,Storm,1990,1990.0
76,AL,Storm,1990,1990.0
77,AL,Storm,1990,1990.0
78,AL,Storm,1990,1990.0
79,AL,Storm,1990,1990.0
80,AL,Storm,1990,1990.0
81,AL,Storm,1990,1990.0
82,AL,Storm,1990,1990.0
83,AL,Storm,1990,1990.0
84,AL,Storm,1990,1990.0
85,AL,Storm,1990,1990.0
86,AL,Storm,1990,1990.0
87,GA,Storm,1990,1990.0
88,GA,Storm,1990,1990.0
89,GA,Storm,1990,1990.0
90,GA,Storm,1990,1990.0
91,GA,Storm,1990,1990.0
92,GA,Storm,1990,1990.0
93,GA,Storm,1990,1990.0
94,GA,Storm,1990,1990.0
95,GA,Storm,1990,1990.0
96,GA,Storm,1990,1990.0
97,GA,Storm,1990,1990.0
98,GA,Storm,1990,1990.0
99,GA,Storm,1990,1990.0
100,GA,Storm,1990,1990.0
101,GA,Storm,1990,1990.0
102,GA,Storm,1990,1990.0
103,GA,Storm,1990,1990.0
104,GA,Storm,1990,1990.0
105,GA,Storm,1990,1990.0
106,GA,Storm,1990,1990.0
107,GA,Storm,1990,1990.0
108,GA,Storm,1990,1990.0
109,GA,Storm,1990,1990.0
110,GA,Storm,1990,1990.0
111,GA,Storm,1990,1990.0
112,GA,Storm,1990,1990.0
113,GA,Storm,1990,1990.0
114,GA,Storm,1990,1990.0
115,GA,Storm,1990,1990.0
116,GA,Storm,1990,1990.0
117,GA,Storm,1990,1990.0
118,GA,Storm,1990,1990.0
119,GA,Storm,1990,1990.0
120,GA,Storm,1990,1990.0
121,GA,Storm,1990,1990.0
122,GA,Storm,1990,1990.0
123,GA,Storm,1990,1990.0
124,GA,Storm,1990,1990.0
125,TN,Flood,1990,1990.0
126,TN,Flood,1990,1990.0
127,TN,Flood,1990,1990.0
128,MS,Storm,1990,1990.0
129,MS,Storm,1990,1990.0
130,MS,Storm,1990,1990.0
131,MS,Storm,1990,1990.0
132,MS,Storm,1990,1990.0
133,MS,Storm,1990,1990.0
134,MS,Storm,1990,1990.0
135,MS,Storm,1990,1990.0
136,MS,Storm,1990,1990.0
137,MS,Storm,1990,1990.0
138,MS,Storm,1990,1990.0
139,MS,Storm,1990,1990.0
140,MS,Storm,1990,1990.0
141,MS,Storm,1990,1990.0
142,MS,Storm,1990,1990.0
143,MS,Storm,1990,1990.0
144,MS,Storm,1990,1990.0
145,MS,Storm,1990,1990.0
146,MS,Storm,1990,1990.0
147,MS,Storm,1990,1990.0
148,MS,Storm,1990,1990.0
149,MS,Storm,1990,1990.0
150,MS,Storm,1990,1990.0
151,MS,Storm,1990,1990.0
152,MS,Storm,1990,1990.0
153,MS,Storm,1990,1990.0
154,MS,Storm,1990,1990.0
155,MS,Storm,1990,1990.0
156,MS,Storm,1990,1990.0
157,MS,Storm,1990,1990.0
158,MS,Storm,1990,1990.0
159,MS,Storm,1990,1990.0
160,MS,Storm,1990,1990.0
161,MS,Storm,1990,1990.0
162,MS,Storm,1990,1990.0
163,IL,Ice,1990,1990.0
164,IL,Ice,1990,1990.0
165,IL,Ice,1990,1990.0
166,IL,Ice,1990,1990.0
167,IL,Ice,1990,1990.0
168,IL,Ice,1990,1990.0
169,IL,Ice,1990,1990.0
170,IL,Ice,1990,1990.0
171,IL,Ice,1990,1990.0
172,IL,Ice,1990,1990.0
173,AL,Storm,1990,1990.0
174,AL,Storm,1990,1990.0
175,AL,Storm,1990,1990.0
176,AL,Storm,1990,1990.0
177,AL,Storm,1990,1990.0
178,AL,Storm,1990,1990.0
179,AL,Storm,1990,1990.0
180,AL,Storm,1990,1990.0
181,AL,Storm,1990,1990.0
182,AL,Storm,1990,1990.0
183,AL,Storm,1990,1990.0
184,AL,Storm,1990,1990.0
185,AL,Storm,1990,1990.0
186,AL,Storm,1990,1990.0
187,AL,Storm,1990,1990.0
188,AL,Storm,1990,1990.0
189,AL,Storm,1990,1990.0
190,AL,Storm,1990,1990.0
191,AL,Storm,1990,1990.0
192,AL,Storm,1990,1990.0
193,AL,Storm,1990,1990.0
194,AL,Storm,1990,1990.0
195,AL,Storm,1990,1990.0
196,AL,Storm,1990,1990.0
197,AL,Storm,1990,1990.0
198,AL,Storm,1990,1990.0
199,AL,Storm,1990,1990.0
200,AL,Storm,1990,1990.0
201,AL,Storm,1990,1990.0
202,AL,Storm,1990,1990.0
203,AL,Storm,1990,1990.0
204,AL,Storm,1990,1990.0
205,AL,Storm,1990,1990.0
206,FL,Flood,1990,1990.0
207,FL,Flood,1990,1990.0
208,FL,Flood,1990,1990.0
209,FL,Flood,1990,1990.0
210,FL,Flood,1990,1990.0
