"2004 - 2005 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
"FROM: 56-WYOMING,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME,MEDIAN ADJUSTED GROSS INCOME"
",,,,,,"
",,,,,,"
",,,,,,"
"TO:,,,,,,"
"96,WY,WY Total Mig - US & For,11409,21644,402656,20418"
"97,WY,WY Total Mig - US,11158,21206,395838,20482"
"98,WY,WY Total Mig - Foreign,251,438,6818,19166"
"56,WY,WY Non-Migrants,182848,396564,9759775,33184"
"8,CO,COLORADO,1789,3323,65141,21030"
"30,MT,MONTANA,816,1519,25299,18974"
"49,UT,UTAH,782,1695,30048,19334"
"6,CA,CALIFORNIA,633,1084,20251,19642"
"48,TX,TEXAS,614,1318,29111,24090"
"4,AZ,ARIZONA,583,1030,20261,21076"
"16,ID,IDAHO,555,1150,20097,22605"
"53,WA,WASHINGTON,402,731,14012,19396"
"31,NE,NEBRASKA,382,724,12032,19068"
"46,SD,SOUTH DAKOTA,382,725,11881,19099"
"32,NV,NEVADA,321,585,14345,24443"
"12,FL,FLORIDA,313,551,11911,20529"
"41,OR,OREGON,294,530,8704,17820"
"57,FR,Foreign,251,438,6818,19166"
"35,NM,NEW MEXICO,224,449,8428,26666"
"29,MO,MISSOURI,175,317,4831,15475"
"40,OK,OKLAHOMA,170,365,6118,21388"
"38,ND,NORTH DAKOTA,155,314,5260,19874"
"27,MN,MINNESOTA,152,283,6028,21153"
"37,NC,NORTH CAROLINA,141,289,4182,21527"
"13,GA,GEORGIA,135,255,4765,19258"
"20,KS,KANSAS,133,263,4408,21624"
"17,IL,ILLINOIS,132,231,4451,16590"
"51,VA,VIRGINIA,127,233,5778,23332"
"2,AK,ALASKA,125,272,5757,25468"
"36,NY,NEW YORK,124,177,3264,14090"
"39,OH,OHIO,124,252,4004,20356"
"42,PA,PENNSYLVANIA,119,207,3128,17385"
"19,IA,IOWA,115,220,4245,22884"
"26,MI,MICHIGAN,110,202,3488,19843"
"18,IN,INDIANA,94,176,3317,21963"
"55,WI,WISCONSIN,94,149,3981,18499"
"47,TN,TENNESSEE,86,157,3618,27499"
"5,AR,ARKANSAS,85,184,2538,20713"
"45,SC,SOUTH CAROLINA,83,178,2994,24544"
"22,LA,LOUISIANA,72,142,2307,21590"
"1,AL,ALABAMA,68,161,2255,25999"
"24,MD,MARYLAND,65,118,2088,22291"
"15,HI,HAWAII,50,79,1472,20832"
"21,KY,KENTUCKY,49,96,1381,21249"
"25,MA,MASSACHUSETTS,44,62,1102,21249"
"34,NJ,NEW JERSEY,44,69,1496,18888"
"28,MS,MISSISSIPPI,36,76,1127,19687"
"54,WV,WEST VIRGINIA,31,68,970,19999"
"50,VT,VERMONT,30,47,1040,19999"
"9,CT,CONNECTICUT,27,37,689,19999"
"23,ME,MAINE,21,37,668,24999"
"33,NH,NEW HAMPSHIRE,20,30,578,16249"
"11,DC,DISTRICT OF COLUMBIA,17,22,437,18499"
"10,DE,DELAWARE,11,17,365,26249"
"44,RI,RHODE ISLAND,4,7,185,12499"
