" 2007- 2008 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,24-Maryland,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,MD,MD Total Mig - US & For,78349,136546,3911733"
"97,MD,MD Total Mig - US,73412,128479,3759909"
"98,MD,MD Total Mig - Foreign,4937,8067,151824"
"24,MD,MD Non-Migrants,2129538,4450866,154297802"
"51,VA,VIRGINIA,11367,19772,619055"
"11,DC,DISTRICT OF COLUMBIA,9235,17013,477025"
"42,PA,PENNSYLVANIA,7361,11517,342621"
"36,NY,NEW YORK,5145,8412,267018"
"57,FR,Foreign,4937,8067,151824"
"12,FL,FLORIDA,4900,8525,235246"
"06,CA,CALIFORNIA,3340,6003,200727"
"37,NC,NORTH CAROLINA,2869,5238,118442"
"34,NJ,NEW JERSEY,2817,4673,169470"
"48,TX,TEXAS,2655,5101,137687"
"10,DE,DELAWARE,2203,3811,94930"
"13,GA,GEORGIA,2093,4024,122606"
"39,OH,OHIO,1705,2882,89048"
"54,WV,WEST VIRGINIA,1566,2694,53129"
"25,MA,MASSACHUSETTS,1437,2290,88114"
"26,MI,MICHIGAN,1312,2176,68665"
"17,IL,ILLINOIS,1226,2083,76542"
"45,SC,SOUTH CAROLINA,1017,1803,39760"
"47,TN,TENNESSEE,811,1519,35864"
"08,CO,COLORADO,765,1426,39605"
"09,CT,CONNECTICUT,730,1256,50289"
"53,WA,WASHINGTON,723,1385,39439"
"04,AZ,ARIZONA,722,1337,38511"
"29,MO,MISSOURI,553,1001,29842"
"18,IN,INDIANA,520,909,23858"
"15,HI,HAWAII,468,1055,25558"
"27,MN,MINNESOTA,464,811,22731"
"01,AL,ALABAMA,440,824,18985"
"21,KY,KENTUCKY,392,771,17362"
"22,LA,LOUISIANA,381,661,17118"
"55,WI,WISCONSIN,367,635,18054"
"40,OK,OKLAHOMA,312,571,11785"
"32,NV,NEVADA,285,493,16035"
"35,NM,NEW MEXICO,266,474,14731"
"41,OR,OREGON,263,438,12915"
"44,RI,RHODE ISLAND,262,404,11955"
"20,KS,KANSAS,261,533,11571"
"23,ME,MAINE,255,498,13578"
"33,NH,NEW HAMPSHIRE,253,388,14695"
"28,MS,MISSISSIPPI,231,420,9664"
"19,IA,IOWA,224,380,10488"
"49,UT,UTAH,215,401,10298"
"02,AK,ALASKA,179,405,7639"
"31,NE,NEBRASKA,174,337,8528"
"05,AR,ARKANSAS,170,329,8868"
"50,VT,VERMONT,149,247,7887"
"16,ID,IDAHO,96,175,3567"
"30,MT,MONTANA,78,123,2422"
"38,ND,NORTH DAKOTA,61,106,2473"
"46,SD,SOUTH DAKOTA,53,74,1941"
"56,WY,WYOMING,41,76,1571"
