"KANSAS INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Kansas (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"20.0","96.0","KS","KS Total Mig - US & For","34487.0","70853.0","1523117.0"
"20.0","97.0","KS","KS Total Mig - US","33661.0","68911.0","1483599.0"
"20.0","98.0","KS","KS Total Mig - Foreign","826.0","1942.0","39518.0"
"20.0","20.0","KS","KS Non-Migrants","1025543.0","2282124.0","59377266.0"
"20.0","29.0","MO","MISSOURI","8563.0","15544.0","411013.0"
"20.0","48.0","TX","TEXAS","3157.0","6987.0","130862.0"
"20.0","40.0","OK","OKLAHOMA","2069.0","4390.0","69308.0"
"20.0","6.0","CA","CALIFORNIA","1820.0","3797.0","72741.0"
"20.0","8.0","CO","COLORADO","1612.0","3340.0","61295.0"
"20.0","12.0","FL","FLORIDA","1167.0","2369.0","44915.0"
"20.0","31.0","NE","NEBRASKA","1156.0","2196.0","51603.0"
"20.0","17.0","IL","ILLINOIS","991.0","1988.0","49214.0"
"20.0","4.0","AZ","ARIZONA","838.0","1851.0","33110.0"
"20.0","57.0","FR","Foreign","826.0","1942.0","39518.0"
"20.0","13.0","GA","GEORGIA","773.0","1787.0","33246.0"
"20.0","19.0","IA","IOWA","677.0","1278.0","31046.0"
"20.0","37.0","NC","NORTH CAROLINA","666.0","1560.0","30353.0"
"20.0","36.0","NY","NEW YORK","645.0","1379.0","31482.0"
"20.0","51.0","VA","VIRGINIA","638.0","1604.0","35950.0"
"20.0","53.0","WA","WASHINGTON","610.0","1379.0","28683.0"
"20.0","39.0","OH","OHIO","540.0","1062.0","24733.0"
"20.0","5.0","AR","ARKANSAS","533.0","1144.0","22660.0"
"20.0","26.0","MI","MICHIGAN","518.0","1062.0","34637.0"
"20.0","27.0","MN","MINNESOTA","458.0","948.0","23858.0"
"20.0","47.0","TN","TENNESSEE","454.0","981.0","17758.0"
"20.0","18.0","IN","INDIANA","411.0","904.0","17267.0"
"20.0","42.0","PA","PENNSYLVANIA","409.0","843.0","17928.0"
"20.0","55.0","WI","WISCONSIN","352.0","678.0","16706.0"
"20.0","1.0","AL","ALABAMA","327.0","766.0","14172.0"
"20.0","35.0","NM","NEW MEXICO","323.0","678.0","11471.0"
"20.0","45.0","SC","SOUTH CAROLINA","299.0","672.0","11644.0"
"20.0","21.0","KY","KENTUCKY","293.0","746.0","13963.0"
"20.0","32.0","NV","NEVADA","288.0","576.0","11245.0"
"20.0","22.0","LA","LOUISIANA","283.0","611.0","11980.0"
"20.0","24.0","MD","MARYLAND","274.0","534.0","13688.0"
"20.0","41.0","OR","OREGON","246.0","478.0","7955.0"
"20.0","34.0","NJ","NEW JERSEY","228.0","466.0","12647.0"
"20.0","49.0","UT","UTAH","210.0","489.0","7387.0"
"20.0","46.0","SD","SOUTH DAKOTA","204.0","368.0","6922.0"
"20.0","15.0","HI","HAWAII","196.0","513.0","8635.0"
"20.0","28.0","MS","MISSISSIPPI","179.0","354.0","6186.0"
"20.0","25.0","MA","MASSACHUSETTS","171.0","307.0","9069.0"
"20.0","2.0","AK","ALASKA","165.0","431.0","8792.0"
"20.0","56.0","WY","WYOMING","160.0","325.0","6591.0"
"20.0","38.0","ND","NORTH DAKOTA","134.0","266.0","6840.0"
"20.0","16.0","ID","IDAHO","131.0","298.0","3921.0"
"20.0","30.0","MT","MONTANA","106.0","216.0","3012.0"
"20.0","9.0","CT","CONNECTICUT","84.0","162.0","4089.0"
"20.0","33.0","NH","NEW HAMPSHIRE","58.0","97.0","2693.0"
"20.0","54.0","WV","WEST VIRGINIA","56.0","101.0","1678.0"
"20.0","23.0","ME","MAINE","49.0","93.0","1162.0"
"20.0","10.0","DE","DELAWARE","48.0","126.0","2543.0"
"20.0","11.0","DC","DISTRICT OF COLUMBIA","42.0","65.0","1727.0"
"20.0","44.0","RI","RHODE ISLAND","25.0","57.0","1741.0"
"20.0","50.0","VT","VERMONT","25.0","45.0","1480.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
