"WISCONSIN INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Wisconsin (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"55.0","96.0","WI","WI Total Mig - US & For","37667.0","68538.0","1589383.0"
"55.0","97.0","WI","WI Total Mig - US","37112.0","67527.0","1570401.0"
"55.0","98.0","WI","WI Total Mig - Foreign","555.0","1011.0","18982.0"
"55.0","55.0","WI","WI Non-Migrants","2248899.0","4783972.0","123300032.0"
"55.0","17.0","IL","ILLINOIS","7349.0","13581.0","325619.0"
"55.0","27.0","MN","MINNESOTA","5806.0","9712.0","226689.0"
"55.0","26.0","MI","MICHIGAN","2225.0","3974.0","92909.0"
"55.0","6.0","CA","CALIFORNIA","2057.0","3750.0","83455.0"
"55.0","12.0","FL","FLORIDA","1923.0","3348.0","77668.0"
"55.0","48.0","TX","TEXAS","1517.0","2969.0","59692.0"
"55.0","19.0","IA","IOWA","1200.0","2150.0","51255.0"
"55.0","4.0","AZ","ARIZONA","1103.0","1954.0","42967.0"
"55.0","18.0","IN","INDIANA","906.0","1742.0","37313.0"
"55.0","36.0","NY","NEW YORK","872.0","1452.0","43447.0"
"55.0","39.0","OH","OHIO","812.0","1511.0","43025.0"
"55.0","8.0","CO","COLORADO","795.0","1378.0","29261.0"
"55.0","37.0","NC","NORTH CAROLINA","759.0","1428.0","29588.0"
"55.0","13.0","GA","GEORGIA","690.0","1389.0","27186.0"
"55.0","53.0","WA","WASHINGTON","673.0","1278.0","31276.0"
"55.0","29.0","MO","MISSOURI","669.0","1272.0","30204.0"
"55.0","51.0","VA","VIRGINIA","597.0","1180.0","31177.0"
"55.0","57.0","FR","Foreign","555.0","1011.0","18982.0"
"55.0","42.0","PA","PENNSYLVANIA","519.0","981.0","28397.0"
"55.0","47.0","TN","TENNESSEE","509.0","1025.0","16925.0"
"55.0","32.0","NV","NEVADA","429.0","732.0","14710.0"
"55.0","20.0","KS","KANSAS","326.0","666.0","15121.0"
"55.0","25.0","MA","MASSACHUSETTS","322.0","523.0","18164.0"
"55.0","41.0","OR","OREGON","319.0","566.0","11629.0"
"55.0","24.0","MD","MARYLAND","300.0","549.0","16222.0"
"55.0","21.0","KY","KENTUCKY","295.0","633.0","11250.0"
"55.0","45.0","SC","SOUTH CAROLINA","281.0","523.0","10165.0"
"55.0","34.0","NJ","NEW JERSEY","272.0","510.0","16754.0"
"55.0","5.0","AR","ARKANSAS","261.0","504.0","9231.0"
"55.0","31.0","NE","NEBRASKA","249.0","496.0","15189.0"
"55.0","40.0","OK","OKLAHOMA","247.0","486.0","8882.0"
"55.0","28.0","MS","MISSISSIPPI","233.0","470.0","7144.0"
"55.0","1.0","AL","ALABAMA","213.0","444.0","8274.0"
"55.0","46.0","SD","SOUTH DAKOTA","206.0","368.0","7391.0"
"55.0","22.0","LA","LOUISIANA","203.0","413.0","7578.0"
"55.0","49.0","UT","UTAH","200.0","410.0","8565.0"
"55.0","38.0","ND","NORTH DAKOTA","195.0","333.0","7728.0"
"55.0","30.0","MT","MONTANA","182.0","313.0","5485.0"
"55.0","9.0","CT","CONNECTICUT","174.0","296.0","10525.0"
"55.0","15.0","HI","HAWAII","162.0","303.0","5824.0"
"55.0","2.0","AK","ALASKA","161.0","285.0","5975.0"
"55.0","35.0","NM","NEW MEXICO","160.0","291.0","6352.0"
"55.0","56.0","WY","WYOMING","142.0","288.0","4639.0"
"55.0","16.0","ID","IDAHO","128.0","254.0","4442.0"
"55.0","23.0","ME","MAINE","94.0","189.0","5708.0"
"55.0","11.0","DC","DISTRICT OF COLUMBIA","90.0","112.0","4555.0"
"55.0","33.0","NH","NEW HAMPSHIRE","82.0","139.0","4777.0"
"55.0","54.0","WV","WEST VIRGINIA","59.0","117.0","2891.0"
"55.0","50.0","VT","VERMONT","57.0","95.0","2385.0"
"55.0","10.0","DE","DELAWARE","50.0","84.0","3557.0"
"55.0","44.0","RI","RHODE ISLAND","39.0","61.0","1237.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
