"KENTUCKY INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Kentucky (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"21.0","96.0","KY","KY Total Mig - US & For","42576.0","86354.0","1631137.0"
"21.0","97.0","KY","KY Total Mig - US","41758.0","84398.0","1602751.0"
"21.0","98.0","KY","KY Total Mig - Foreign","818.0","1956.0","28386.0"
"21.0","21.0","KY","KY Non-Migrants","1485933.0","3272253.0","72238280.0"
"21.0","39.0","OH","OHIO","6214.0","11181.0","235922.0"
"21.0","18.0","IN","INDIANA","4845.0","9147.0","155717.0"
"21.0","47.0","TN","TENNESSEE","4270.0","9109.0","156078.0"
"21.0","12.0","FL","FLORIDA","3131.0","5980.0","108035.0"
"21.0","48.0","TX","TEXAS","2510.0","6024.0","93732.0"
"21.0","17.0","IL","ILLINOIS","1868.0","3585.0","76377.0"
"21.0","13.0","GA","GEORGIA","1862.0","4206.0","76858.0"
"21.0","6.0","CA","CALIFORNIA","1470.0","2961.0","62903.0"
"21.0","26.0","MI","MICHIGAN","1445.0","2976.0","54379.0"
"21.0","37.0","NC","NORTH CAROLINA","1287.0","2800.0","50854.0"
"21.0","51.0","VA","VIRGINIA","1095.0","2329.0","50734.0"
"21.0","36.0","NY","NEW YORK","958.0","1884.0","35128.0"
"21.0","57.0","FR","Foreign","818.0","1956.0","28386.0"
"21.0","29.0","MO","MISSOURI","788.0","1613.0","30254.0"
"21.0","42.0","PA","PENNSYLVANIA","786.0","1480.0","37083.0"
"21.0","54.0","WV","WEST VIRGINIA","730.0","1452.0","28067.0"
"21.0","1.0","AL","ALABAMA","729.0","1619.0","30317.0"
"21.0","45.0","SC","SOUTH CAROLINA","605.0","1214.0","21966.0"
"21.0","8.0","CO","COLORADO","563.0","1225.0","21063.0"
"21.0","4.0","AZ","ARIZONA","511.0","1049.0","19339.0"
"21.0","53.0","WA","WASHINGTON","497.0","1126.0","19518.0"
"21.0","22.0","LA","LOUISIANA","388.0","835.0","13865.0"
"21.0","55.0","WI","WISCONSIN","372.0","749.0","16292.0"
"21.0","24.0","MD","MARYLAND","370.0","751.0","17983.0"
"21.0","34.0","NJ","NEW JERSEY","358.0","637.0","18321.0"
"21.0","28.0","MS","MISSISSIPPI","351.0","751.0","13361.0"
"21.0","20.0","KS","KANSAS","342.0","793.0","20018.0"
"21.0","40.0","OK","OKLAHOMA","324.0","725.0","11682.0"
"21.0","5.0","AR","ARKANSAS","304.0","616.0","11070.0"
"21.0","25.0","MA","MASSACHUSETTS","258.0","449.0","11585.0"
"21.0","27.0","MN","MINNESOTA","257.0","537.0","10172.0"
"21.0","32.0","NV","NEVADA","248.0","458.0","9467.0"
"21.0","15.0","HI","HAWAII","216.0","541.0","7020.0"
"21.0","19.0","IA","IOWA","179.0","373.0","8029.0"
"21.0","49.0","UT","UTAH","179.0","409.0","5877.0"
"21.0","41.0","OR","OREGON","174.0","346.0","5790.0"
"21.0","2.0","AK","ALASKA","138.0","333.0","5657.0"
"21.0","9.0","CT","CONNECTICUT","138.0","243.0","15911.0"
"21.0","35.0","NM","NEW MEXICO","128.0","246.0","4466.0"
"21.0","31.0","NE","NEBRASKA","124.0","252.0","5328.0"
"21.0","16.0","ID","IDAHO","103.0","229.0","2580.0"
"21.0","33.0","NH","NEW HAMPSHIRE","98.0","185.0","4272.0"
"21.0","23.0","ME","MAINE","91.0","159.0","2512.0"
"21.0","11.0","DC","DISTRICT OF COLUMBIA","74.0","90.0","3822.0"
"21.0","56.0","WY","WYOMING","68.0","131.0","2779.0"
"21.0","30.0","MT","MONTANA","63.0","128.0","1740.0"
"21.0","10.0","DE","DELAWARE","60.0","129.0","2078.0"
"21.0","50.0","VT","VERMONT","50.0","68.0","1256.0"
"21.0","44.0","RI","RHODE ISLAND","49.0","104.0","2200.0"
"21.0","46.0","SD","SOUTH DAKOTA","48.0","89.0","1764.0"
"21.0","38.0","ND","NORTH DAKOTA","42.0","82.0","1536.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
