"MINNESOTA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Minnesota (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"27.0","96.0","MN","MN Total Mig - US & For","37863.0","66315.0","1690615.0"
"27.0","97.0","MN","MN Total Mig - US","37306.0","65248.0","1658134.0"
"27.0","98.0","MN","MN Total Mig - Foreign","557.0","1067.0","32481.0"
"27.0","27.0","MN","MN Non-Migrants","2056018.0","4402001.0","126175334.0"
"27.0","55.0","WI","WISCONSIN","6379.0","10013.0","230938.0"
"27.0","38.0","ND","NORTH DAKOTA","3125.0","5124.0","110338.0"
"27.0","6.0","CA","CALIFORNIA","2518.0","4508.0","123211.0"
"27.0","17.0","IL","ILLINOIS","2245.0","4047.0","124014.0"
"27.0","19.0","IA","IOWA","2101.0","3473.0","80958.0"
"27.0","48.0","TX","TEXAS","1741.0","3584.0","72523.0"
"27.0","12.0","FL","FLORIDA","1588.0","2740.0","72619.0"
"27.0","46.0","SD","SOUTH DAKOTA","1378.0","2263.0","46594.0"
"27.0","4.0","AZ","ARIZONA","1243.0","2178.0","55669.0"
"27.0","8.0","CO","COLORADO","1080.0","1879.0","47331.0"
"27.0","26.0","MI","MICHIGAN","990.0","1760.0","50867.0"
"27.0","36.0","NY","NEW YORK","979.0","1502.0","46601.0"
"27.0","53.0","WA","WASHINGTON","849.0","1475.0","33668.0"
"27.0","39.0","OH","OHIO","724.0","1347.0","43029.0"
"27.0","29.0","MO","MISSOURI","665.0","1327.0","27024.0"
"27.0","13.0","GA","GEORGIA","625.0","1195.0","27127.0"
"27.0","37.0","NC","NORTH CAROLINA","604.0","1170.0","26895.0"
"27.0","42.0","PA","PENNSYLVANIA","573.0","1128.0","35771.0"
"27.0","18.0","IN","INDIANA","560.0","1065.0","24202.0"
"27.0","57.0","FR","Foreign","557.0","1067.0","32481.0"
"27.0","51.0","VA","VIRGINIA","555.0","1027.0","32654.0"
"27.0","31.0","NE","NEBRASKA","546.0","1007.0","21697.0"
"27.0","32.0","NV","NEVADA","430.0","768.0","16929.0"
"27.0","47.0","TN","TENNESSEE","420.0","862.0","17164.0"
"27.0","20.0","KS","KANSAS","415.0","747.0","18840.0"
"27.0","41.0","OR","OREGON","415.0","736.0","17550.0"
"27.0","25.0","MA","MASSACHUSETTS","409.0","702.0","27947.0"
"27.0","34.0","NJ","NEW JERSEY","381.0","721.0","27734.0"
"27.0","30.0","MT","MONTANA","325.0","553.0","8486.0"
"27.0","24.0","MD","MARYLAND","272.0","490.0","14146.0"
"27.0","40.0","OK","OKLAHOMA","258.0","513.0","9302.0"
"27.0","49.0","UT","UTAH","235.0","490.0","9898.0"
"27.0","5.0","AR","ARKANSAS","226.0","476.0","11215.0"
"27.0","45.0","SC","SOUTH CAROLINA","211.0","385.0","10733.0"
"27.0","21.0","KY","KENTUCKY","209.0","413.0","10502.0"
"27.0","9.0","CT","CONNECTICUT","202.0","379.0","49277.0"
"27.0","15.0","HI","HAWAII","202.0","346.0","8526.0"
"27.0","2.0","AK","ALASKA","197.0","322.0","8035.0"
"27.0","35.0","NM","NEW MEXICO","184.0","323.0","6119.0"
"27.0","16.0","ID","IDAHO","173.0","331.0","6883.0"
"27.0","56.0","WY","WYOMING","173.0","309.0","5711.0"
"27.0","1.0","AL","ALABAMA","166.0","315.0","7431.0"
"27.0","22.0","LA","LOUISIANA","155.0","250.0","6284.0"
"27.0","11.0","DC","DISTRICT OF COLUMBIA","108.0","148.0","4960.0"
"27.0","28.0","MS","MISSISSIPPI","106.0","230.0","3209.0"
"27.0","23.0","ME","MAINE","95.0","162.0","4021.0"
"27.0","33.0","NH","NEW HAMPSHIRE","89.0","150.0","4302.0"
"27.0","44.0","RI","RHODE ISLAND","49.0","87.0","2554.0"
"27.0","10.0","DE","DELAWARE","46.0","83.0","2695.0"
"27.0","54.0","WV","WEST VIRGINIA","46.0","81.0","1919.0"
"27.0","50.0","VT","VERMONT","41.0","64.0","2035.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
