"LOUISIANA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Louisiana (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"22.0","96.0","LA","LA Total Mig - US & For","42267.0","84316.0","1591132.0"
"22.0","97.0","LA","LA Total Mig - US","41264.0","82024.0","1551286.0"
"22.0","98.0","LA","LA Total Mig - Foreign","1003.0","2292.0","39846.0"
"22.0","22.0","LA","LA Non-Migrants","1508446.0","3334635.0","76034139.0"
"22.0","48.0","TX","TEXAS","10093.0","20848.0","364806.0"
"22.0","28.0","MS","MISSISSIPPI","3380.0","7020.0","120818.0"
"22.0","12.0","FL","FLORIDA","3357.0","6283.0","117871.0"
"22.0","13.0","GA","GEORGIA","2333.0","5031.0","76503.0"
"22.0","6.0","CA","CALIFORNIA","2309.0","4213.0","88606.0"
"22.0","1.0","AL","ALABAMA","1330.0","2709.0","51806.0"
"22.0","5.0","AR","ARKANSAS","1327.0","2714.0","46105.0"
"22.0","47.0","TN","TENNESSEE","1267.0","2596.0","46693.0"
"22.0","36.0","NY","NEW YORK","1098.0","1866.0","40295.0"
"22.0","51.0","VA","VIRGINIA","1080.0","2196.0","49286.0"
"22.0","37.0","NC","NORTH CAROLINA","1051.0","2254.0","37534.0"
"22.0","57.0","FR","Foreign","1003.0","2292.0","39846.0"
"22.0","17.0","IL","ILLINOIS","905.0","1569.0","38275.0"
"22.0","8.0","CO","COLORADO","723.0","1417.0","28759.0"
"22.0","39.0","OH","OHIO","707.0","1301.0","33857.0"
"22.0","29.0","MO","MISSOURI","689.0","1384.0","27776.0"
"22.0","26.0","MI","MICHIGAN","677.0","1287.0","24531.0"
"22.0","40.0","OK","OKLAHOMA","676.0","1470.0","27229.0"
"22.0","53.0","WA","WASHINGTON","603.0","1180.0","22755.0"
"22.0","4.0","AZ","ARIZONA","573.0","1093.0","18636.0"
"22.0","45.0","SC","SOUTH CAROLINA","572.0","1166.0","21168.0"
"22.0","42.0","PA","PENNSYLVANIA","555.0","945.0","24794.0"
"22.0","18.0","IN","INDIANA","492.0","988.0","19220.0"
"22.0","21.0","KY","KENTUCKY","463.0","1046.0","19427.0"
"22.0","24.0","MD","MARYLAND","430.0","783.0","19167.0"
"22.0","20.0","KS","KANSAS","418.0","995.0","18635.0"
"22.0","32.0","NV","NEVADA","417.0","835.0","14503.0"
"22.0","25.0","MA","MASSACHUSETTS","349.0","537.0","13042.0"
"22.0","34.0","NJ","NEW JERSEY","344.0","576.0","14277.0"
"22.0","55.0","WI","WISCONSIN","307.0","521.0","11367.0"
"22.0","41.0","OR","OREGON","269.0","454.0","7736.0"
"22.0","27.0","MN","MINNESOTA","247.0","411.0","8682.0"
"22.0","35.0","NM","NEW MEXICO","212.0","395.0","9256.0"
"22.0","15.0","HI","HAWAII","208.0","456.0","7492.0"
"22.0","2.0","AK","ALASKA","179.0","404.0","8706.0"
"22.0","19.0","IA","IOWA","174.0","331.0","6513.0"
"22.0","9.0","CT","CONNECTICUT","159.0","249.0","6494.0"
"22.0","31.0","NE","NEBRASKA","150.0","321.0","7546.0"
"22.0","49.0","UT","UTAH","149.0","320.0","6132.0"
"22.0","56.0","WY","WYOMING","144.0","325.0","11001.0"
"22.0","11.0","DC","DISTRICT OF COLUMBIA","119.0","172.0","5917.0"
"22.0","54.0","WV","WEST VIRGINIA","111.0","220.0","4660.0"
"22.0","30.0","MT","MONTANA","96.0","182.0","4430.0"
"22.0","16.0","ID","IDAHO","95.0","176.0","3362.0"
"22.0","38.0","ND","NORTH DAKOTA","82.0","186.0","3615.0"
"22.0","23.0","ME","MAINE","80.0","132.0","2980.0"
"22.0","33.0","NH","NEW HAMPSHIRE","62.0","101.0","2275.0"
"22.0","10.0","DE","DELAWARE","61.0","114.0","2200.0"
"22.0","44.0","RI","RHODE ISLAND","50.0","100.0","1957.0"
"22.0","46.0","SD","SOUTH DAKOTA","49.0","94.0","1439.0"
"22.0","50.0","VT","VERMONT","43.0","58.0","1154.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
