"NEW HAMPSHIRE INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into New Hampshire (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"33.0","96.0","NH","NH Total Mig - US & For","17944.0","29833.0","931455.0"
"33.0","97.0","NH","NH Total Mig - US","17699.0","29359.0","917407.0"
"33.0","98.0","NH","NH Total Mig - Foreign","245.0","474.0","14048.0"
"33.0","33.0","NH","NH Non-Migrants","520975.0","1070776.0","32587189.0"
"33.0","25.0","MA","MASSACHUSETTS","6120.0","10097.0","345869.0"
"33.0","23.0","ME","MAINE","1727.0","2663.0","67793.0"
"33.0","12.0","FL","FLORIDA","1234.0","2051.0","46400.0"
"33.0","50.0","VT","VERMONT","1182.0","1898.0","44892.0"
"33.0","36.0","NY","NEW YORK","970.0","1543.0","56636.0"
"33.0","6.0","CA","CALIFORNIA","642.0","1056.0","33446.0"
"33.0","9.0","CT","CONNECTICUT","575.0","926.0","40871.0"
"33.0","37.0","NC","NORTH CAROLINA","421.0","747.0","20297.0"
"33.0","51.0","VA","VIRGINIA","352.0","653.0","20505.0"
"33.0","42.0","PA","PENNSYLVANIA","346.0","585.0","25578.0"
"33.0","48.0","TX","TEXAS","325.0","593.0","17635.0"
"33.0","34.0","NJ","NEW JERSEY","318.0","531.0","20609.0"
"33.0","44.0","RI","RHODE ISLAND","276.0","468.0","15941.0"
"33.0","57.0","FR","Foreign","245.0","474.0","14048.0"
"33.0","13.0","GA","GEORGIA","232.0","364.0","10771.0"
"33.0","8.0","CO","COLORADO","229.0","337.0","7813.0"
"33.0","4.0","AZ","ARIZONA","222.0","383.0","9670.0"
"33.0","39.0","OH","OHIO","201.0","395.0","11271.0"
"33.0","24.0","MD","MARYLAND","186.0","306.0","17823.0"
"33.0","17.0","IL","ILLINOIS","178.0","299.0","10978.0"
"33.0","53.0","WA","WASHINGTON","171.0","298.0","8292.0"
"33.0","45.0","SC","SOUTH CAROLINA","167.0","290.0","6941.0"
"33.0","26.0","MI","MICHIGAN","154.0","265.0","6730.0"
"33.0","47.0","TN","TENNESSEE","140.0","258.0","4630.0"
"33.0","41.0","OR","OREGON","98.0","166.0","4634.0"
"33.0","18.0","IN","INDIANA","95.0","184.0","5881.0"
"33.0","27.0","MN","MINNESOTA","90.0","148.0","4940.0"
"33.0","32.0","NV","NEVADA","88.0","142.0","3507.0"
"33.0","55.0","WI","WISCONSIN","84.0","155.0","4694.0"
"33.0","29.0","MO","MISSOURI","76.0","130.0","4296.0"
"33.0","49.0","UT","UTAH","72.0","135.0","5220.0"
"33.0","21.0","KY","KENTUCKY","68.0","105.0","2466.0"
"33.0","1.0","AL","ALABAMA","58.0","105.0","2536.0"
"33.0","30.0","MT","MONTANA","54.0","82.0","1109.0"
"33.0","11.0","DC","DISTRICT OF COLUMBIA","51.0","69.0","3334.0"
"33.0","35.0","NM","NEW MEXICO","48.0","88.0","1930.0"
"33.0","15.0","HI","HAWAII","45.0","78.0","1801.0"
"33.0","2.0","AK","ALASKA","44.0","72.0","1913.0"
"33.0","20.0","KS","KANSAS","43.0","84.0","2218.0"
"33.0","40.0","OK","OKLAHOMA","40.0","67.0","2707.0"
"33.0","19.0","IA","IOWA","39.0","80.0","2984.0"
"33.0","56.0","WY","WYOMING","33.0","55.0","746.0"
"33.0","22.0","LA","LOUISIANA","32.0","59.0","1170.0"
"33.0","10.0","DE","DELAWARE","31.0","53.0","1858.0"
"33.0","54.0","WV","WEST VIRGINIA","30.0","68.0","1230.0"
"33.0","16.0","ID","IDAHO","26.0","48.0","1163.0"
"33.0","28.0","MS","MISSISSIPPI","22.0","51.0","1008.0"
"33.0","5.0","AR","ARKANSAS","21.0","40.0","972.0"
"33.0","38.0","ND","NORTH DAKOTA","20.0","36.0","847.0"
"33.0","31.0","NE","NEBRASKA","16.0","46.0","733.0"
"33.0","46.0","SD","SOUTH DAKOTA","d","d","d"
"d - Data has been suppressed to prevent disclosure.","","","","","",""
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
