"HAWAII INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Hawaii (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"15.0","96.0","HI","HI Total Mig - US & For","24358.0","46990.0","960967.0"
"15.0","97.0","HI","HI Total Mig - US","22584.0","43149.0","887310.0"
"15.0","98.0","HI","HI Total Mig - Foreign","1774.0","3841.0","73656.0"
"15.0","15.0","HI","HI Non-Migrants","500172.0","1022810.0","26235657.0"
"15.0","6.0","CA","CALIFORNIA","4959.0","8820.0","202097.0"
"15.0","57.0","FR","Foreign","1774.0","3841.0","73656.0"
"15.0","53.0","WA","WASHINGTON","1462.0","2891.0","58885.0"
"15.0","48.0","TX","TEXAS","1456.0","3115.0","54612.0"
"15.0","12.0","FL","FLORIDA","1255.0","2334.0","45814.0"
"15.0","51.0","VA","VIRGINIA","968.0","2254.0","52647.0"
"15.0","32.0","NV","NEVADA","754.0","1436.0","26623.0"
"15.0","36.0","NY","NEW YORK","746.0","1139.0","27752.0"
"15.0","41.0","OR","OREGON","692.0","1116.0","21523.0"
"15.0","13.0","GA","GEORGIA","687.0","1587.0","25189.0"
"15.0","8.0","CO","COLORADO","645.0","1235.0","27575.0"
"15.0","4.0","AZ","ARIZONA","640.0","1256.0","24146.0"
"15.0","37.0","NC","NORTH CAROLINA","632.0","1424.0","22734.0"
"15.0","17.0","IL","ILLINOIS","507.0","825.0","17945.0"
"15.0","24.0","MD","MARYLAND","426.0","890.0","25369.0"
"15.0","42.0","PA","PENNSYLVANIA","411.0","652.0","15218.0"
"15.0","39.0","OH","OHIO","384.0","688.0","13127.0"
"15.0","26.0","MI","MICHIGAN","348.0","607.0","9103.0"
"15.0","45.0","SC","SOUTH CAROLINA","333.0","722.0","12749.0"
"15.0","9.0","CT","CONNECTICUT","326.0","623.0","14556.0"
"15.0","29.0","MO","MISSOURI","305.0","606.0","12086.0"
"15.0","34.0","NJ","NEW JERSEY","300.0","463.0","11076.0"
"15.0","47.0","TN","TENNESSEE","298.0","619.0","11425.0"
"15.0","2.0","AK","ALASKA","287.0","607.0","13517.0"
"15.0","25.0","MA","MASSACHUSETTS","277.0","407.0","11412.0"
"15.0","49.0","UT","UTAH","271.0","598.0","9154.0"
"15.0","40.0","OK","OKLAHOMA","251.0","555.0","9694.0"
"15.0","20.0","KS","KANSAS","227.0","565.0","10333.0"
"15.0","27.0","MN","MINNESOTA","224.0","366.0","7894.0"
"15.0","55.0","WI","WISCONSIN","217.0","360.0","7781.0"
"15.0","1.0","AL","ALABAMA","210.0","445.0","7804.0"
"15.0","18.0","IN","INDIANA","196.0","367.0","5682.0"
"15.0","21.0","KY","KENTUCKY","189.0","426.0","6138.0"
"15.0","22.0","LA","LOUISIANA","187.0","402.0","6846.0"
"15.0","16.0","ID","IDAHO","177.0","337.0","4837.0"
"15.0","35.0","NM","NEW MEXICO","159.0","286.0","7018.0"
"15.0","23.0","ME","MAINE","132.0","252.0","4460.0"
"15.0","30.0","MT","MONTANA","128.0","219.0","3648.0"
"15.0","28.0","MS","MISSISSIPPI","123.0","245.0","2903.0"
"15.0","19.0","IA","IOWA","103.0","179.0","3491.0"
"15.0","33.0","NH","NEW HAMPSHIRE","102.0","142.0","3073.0"
"15.0","5.0","AR","ARKANSAS","100.0","176.0","2744.0"
"15.0","31.0","NE","NEBRASKA","97.0","197.0","3716.0"
"15.0","44.0","RI","RHODE ISLAND","80.0","169.0","4162.0"
"15.0","54.0","WV","WEST VIRGINIA","59.0","102.0","1921.0"
"15.0","11.0","DC","DISTRICT OF COLUMBIA","58.0","93.0","2861.0"
"15.0","56.0","WY","WYOMING","49.0","74.0","1578.0"
"15.0","10.0","DE","DELAWARE","43.0","83.0","9246.0"
"15.0","46.0","SD","SOUTH DAKOTA","41.0","75.0","1216.0"
"15.0","38.0","ND","NORTH DAKOTA","33.0","71.0","992.0"
"15.0","50.0","VT","VERMONT","30.0","49.0","937.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
