"OKLAHOMA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Oklahoma (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"40.0","96.0","OK","OK Total Mig - US & For","40573.0","85095.0","1494745.0"
"40.0","97.0","OK","OK Total Mig - US","39457.0","82495.0","1452010.0"
"40.0","98.0","OK","OK Total Mig - Foreign","1116.0","2600.0","42735.0"
"40.0","40.0","OK","OK Non-Migrants","1225182.0","2730249.0","60814191.0"
"40.0","48.0","TX","TEXAS","9367.0","19641.0","373239.0"
"40.0","6.0","CA","CALIFORNIA","3006.0","6203.0","99066.0"
"40.0","5.0","AR","ARKANSAS","2597.0","5526.0","80411.0"
"40.0","20.0","KS","KANSAS","2554.0","5344.0","88147.0"
"40.0","29.0","MO","MISSOURI","1985.0","4023.0","67480.0"
"40.0","12.0","FL","FLORIDA","1772.0","3458.0","62242.0"
"40.0","8.0","CO","COLORADO","1440.0","2994.0","51048.0"
"40.0","57.0","FR","Foreign","1116.0","2600.0","42735.0"
"40.0","4.0","AZ","ARIZONA","1063.0","2212.0","36272.0"
"40.0","13.0","GA","GEORGIA","988.0","2300.0","34409.0"
"40.0","17.0","IL","ILLINOIS","911.0","1855.0","40552.0"
"40.0","47.0","TN","TENNESSEE","765.0","1611.0","25533.0"
"40.0","37.0","NC","NORTH CAROLINA","756.0","1736.0","27249.0"
"40.0","53.0","WA","WASHINGTON","736.0","1571.0","23997.0"
"40.0","51.0","VA","VIRGINIA","711.0","1540.0","30702.0"
"40.0","36.0","NY","NEW YORK","698.0","1356.0","24691.0"
"40.0","35.0","NM","NEW MEXICO","673.0","1437.0","23412.0"
"40.0","39.0","OH","OHIO","633.0","1278.0","24698.0"
"40.0","22.0","LA","LOUISIANA","628.0","1367.0","25899.0"
"40.0","26.0","MI","MICHIGAN","625.0","1257.0","22066.0"
"40.0","32.0","NV","NEVADA","604.0","1263.0","21630.0"
"40.0","18.0","IN","INDIANA","492.0","1061.0","16386.0"
"40.0","42.0","PA","PENNSYLVANIA","432.0","796.0","14907.0"
"40.0","1.0","AL","ALABAMA","405.0","898.0","15854.0"
"40.0","19.0","IA","IOWA","377.0","734.0","13241.0"
"40.0","41.0","OR","OREGON","362.0","763.0","9785.0"
"40.0","21.0","KY","KENTUCKY","361.0","830.0","13857.0"
"40.0","28.0","MS","MISSISSIPPI","350.0","751.0","12216.0"
"40.0","55.0","WI","WISCONSIN","334.0","698.0","12808.0"
"40.0","24.0","MD","MARYLAND","328.0","653.0","15016.0"
"40.0","31.0","NE","NEBRASKA","322.0","672.0","13191.0"
"40.0","27.0","MN","MINNESOTA","319.0","604.0","11294.0"
"40.0","45.0","SC","SOUTH CAROLINA","307.0","631.0","9870.0"
"40.0","49.0","UT","UTAH","278.0","729.0","9668.0"
"40.0","15.0","HI","HAWAII","270.0","631.0","8409.0"
"40.0","34.0","NJ","NEW JERSEY","230.0","448.0","9277.0"
"40.0","2.0","AK","ALASKA","213.0","477.0","10511.0"
"40.0","56.0","WY","WYOMING","211.0","451.0","8611.0"
"40.0","30.0","MT","MONTANA","184.0","361.0","5402.0"
"40.0","16.0","ID","IDAHO","183.0","433.0","6735.0"
"40.0","25.0","MA","MASSACHUSETTS","180.0","308.0","7619.0"
"40.0","46.0","SD","SOUTH DAKOTA","155.0","325.0","5656.0"
"40.0","54.0","WV","WEST VIRGINIA","137.0","297.0","18611.0"
"40.0","9.0","CT","CONNECTICUT","135.0","269.0","7035.0"
"40.0","38.0","ND","NORTH DAKOTA","95.0","178.0","3280.0"
"40.0","23.0","ME","MAINE","78.0","138.0","2733.0"
"40.0","33.0","NH","NEW HAMPSHIRE","64.0","127.0","2371.0"
"40.0","44.0","RI","RHODE ISLAND","42.0","81.0","1230.0"
"40.0","10.0","DE","DELAWARE","41.0","81.0","1248.0"
"40.0","50.0","VT","VERMONT","31.0","56.0","966.0"
"40.0","11.0","DC","DISTRICT OF COLUMBIA","29.0","42.0","1480.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
