"ARIZONA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Arizona (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"4.0","96.0","AZ","AZ Total Mig - US & For","84059.0","159212.0","3743382.0"
"4.0","97.0","AZ","AZ Total Mig - US","82371.0","155609.0","3670191.0"
"4.0","98.0","AZ","AZ Total Mig - Foreign","1688.0","3603.0","73192.0"
"4.0","4.0","AZ","AZ Non-Migrants","2003461.0","4508213.0","104078548.0"
"4.0","6.0","CA","CALIFORNIA","16057.0","30663.0","696341.0"
"4.0","48.0","TX","TEXAS","5163.0","10302.0","240368.0"
"4.0","53.0","WA","WASHINGTON","4075.0","7462.0","184387.0"
"4.0","17.0","IL","ILLINOIS","3674.0","6518.0","207347.0"
"4.0","8.0","CO","COLORADO","3672.0","6961.0","157065.0"
"4.0","32.0","NV","NEVADA","3272.0","6526.0","118943.0"
"4.0","35.0","NM","NEW MEXICO","3239.0","6802.0","109747.0"
"4.0","26.0","MI","MICHIGAN","3067.0","5445.0","119341.0"
"4.0","12.0","FL","FLORIDA","2978.0","5305.0","129546.0"
"4.0","36.0","NY","NEW YORK","2589.0","4509.0","121226.0"
"4.0","39.0","OH","OHIO","2366.0","4132.0","116366.0"
"4.0","49.0","UT","UTAH","2263.0","5229.0","89291.0"
"4.0","41.0","OR","OREGON","2108.0","3762.0","77378.0"
"4.0","27.0","MN","MINNESOTA","1803.0","3082.0","94852.0"
"4.0","42.0","PA","PENNSYLVANIA","1710.0","2981.0","90647.0"
"4.0","55.0","WI","WISCONSIN","1692.0","2938.0","97104.0"
"4.0","57.0","FR","Foreign","1688.0","3603.0","73192.0"
"4.0","18.0","IN","INDIANA","1505.0","2856.0","67179.0"
"4.0","37.0","NC","NORTH CAROLINA","1443.0","2941.0","59939.0"
"4.0","29.0","MO","MISSOURI","1411.0","2632.0","61583.0"
"4.0","51.0","VA","VIRGINIA","1323.0","2487.0","80275.0"
"4.0","13.0","GA","GEORGIA","1289.0","2699.0","57759.0"
"4.0","34.0","NJ","NEW JERSEY","1050.0","1911.0","67195.0"
"4.0","19.0","IA","IOWA","1013.0","1867.0","46456.0"
"4.0","16.0","ID","IDAHO","971.0","2151.0","34212.0"
"4.0","20.0","KS","KANSAS","923.0","1810.0","41993.0"
"4.0","47.0","TN","TENNESSEE","889.0","1707.0","40636.0"
"4.0","25.0","MA","MASSACHUSETTS","866.0","1403.0","32911.0"
"4.0","40.0","OK","OKLAHOMA","855.0","1740.0","22114.0"
"4.0","15.0","HI","HAWAII","742.0","1411.0","28236.0"
"4.0","31.0","NE","NEBRASKA","720.0","1291.0","30050.0"
"4.0","24.0","MD","MARYLAND","687.0","1314.0","47009.0"
"4.0","30.0","MT","MONTANA","630.0","1089.0","20084.0"
"4.0","2.0","AK","ALASKA","626.0","1233.0","31419.0"
"4.0","21.0","KY","KENTUCKY","536.0","1079.0","25983.0"
"4.0","46.0","SD","SOUTH DAKOTA","504.0","876.0","20666.0"
"4.0","9.0","CT","CONNECTICUT","503.0","904.0","30018.0"
"4.0","45.0","SC","SOUTH CAROLINA","493.0","931.0","19065.0"
"4.0","56.0","WY","WYOMING","479.0","878.0","18405.0"
"4.0","5.0","AR","ARKANSAS","464.0","896.0","15455.0"
"4.0","1.0","AL","ALABAMA","452.0","887.0","20510.0"
"4.0","22.0","LA","LOUISIANA","431.0","841.0","19597.0"
"4.0","38.0","ND","NORTH DAKOTA","333.0","570.0","13098.0"
"4.0","33.0","NH","NEW HAMPSHIRE","315.0","558.0","16365.0"
"4.0","28.0","MS","MISSISSIPPI","301.0","578.0","11795.0"
"4.0","23.0","ME","MAINE","258.0","425.0","11898.0"
"4.0","50.0","VT","VERMONT","145.0","236.0","5166.0"
"4.0","44.0","RI","RHODE ISLAND","142.0","224.0","6460.0"
"4.0","54.0","WV","WEST VIRGINIA","126.0","220.0","4507.0"
"4.0","11.0","DC","DISTRICT OF COLUMBIA","110.0","149.0","6437.0"
"4.0","10.0","DE","DELAWARE","108.0","198.0","5768.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
