"MAINE INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Maine (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"23.0","96.0","ME","ME Total Mig - US & For","12399.0","21049.0","551000.0"
"23.0","97.0","ME","ME Total Mig - US","12163.0","20614.0","541790.0"
"23.0","98.0","ME","ME Total Mig - Foreign","236.0","435.0","9211.0"
"23.0","23.0","ME","ME Non-Migrants","503860.0","1018186.0","25226359.0"
"23.0","25.0","MA","MASSACHUSETTS","1900.0","2917.0","95226.0"
"23.0","33.0","NH","NEW HAMPSHIRE","1723.0","2804.0","70529.0"
"23.0","12.0","FL","FLORIDA","1153.0","1888.0","39190.0"
"23.0","36.0","NY","NEW YORK","841.0","1321.0","50138.0"
"23.0","6.0","CA","CALIFORNIA","597.0","1012.0","24919.0"
"23.0","9.0","CT","CONNECTICUT","516.0","866.0","26818.0"
"23.0","37.0","NC","NORTH CAROLINA","396.0","768.0","15387.0"
"23.0","48.0","TX","TEXAS","370.0","744.0","15994.0"
"23.0","51.0","VA","VIRGINIA","361.0","675.0","16763.0"
"23.0","42.0","PA","PENNSYLVANIA","338.0","615.0","17287.0"
"23.0","50.0","VT","VERMONT","328.0","501.0","9815.0"
"23.0","34.0","NJ","NEW JERSEY","292.0","515.0","17563.0"
"23.0","13.0","GA","GEORGIA","243.0","460.0","9396.0"
"23.0","57.0","FR","Foreign","236.0","435.0","9211.0"
"23.0","8.0","CO","COLORADO","229.0","354.0","8284.0"
"23.0","53.0","WA","WASHINGTON","196.0","349.0","7260.0"
"23.0","44.0","RI","RHODE ISLAND","195.0","314.0","7912.0"
"23.0","4.0","AZ","ARIZONA","191.0","327.0","6676.0"
"23.0","24.0","MD","MARYLAND","184.0","333.0","9998.0"
"23.0","39.0","OH","OHIO","172.0","316.0","7021.0"
"23.0","45.0","SC","SOUTH CAROLINA","145.0","261.0","4378.0"
"23.0","26.0","MI","MICHIGAN","140.0","228.0","5666.0"
"23.0","17.0","IL","ILLINOIS","135.0","239.0","8270.0"
"23.0","47.0","TN","TENNESSEE","119.0","248.0","5169.0"
"23.0","41.0","OR","OREGON","85.0","127.0","3168.0"
"23.0","21.0","KY","KENTUCKY","84.0","152.0","3351.0"
"23.0","27.0","MN","MINNESOTA","79.0","141.0","4607.0"
"23.0","18.0","IN","INDIANA","77.0","157.0","3364.0"
"23.0","55.0","WI","WISCONSIN","75.0","147.0","3939.0"
"23.0","2.0","AK","ALASKA","74.0","137.0","2756.0"
"23.0","29.0","MO","MISSOURI","71.0","137.0","2285.0"
"23.0","49.0","UT","UTAH","70.0","140.0","2431.0"
"23.0","35.0","NM","NEW MEXICO","64.0","112.0","2634.0"
"23.0","1.0","AL","ALABAMA","60.0","119.0","2892.0"
"23.0","32.0","NV","NEVADA","59.0","109.0","2331.0"
"23.0","40.0","OK","OKLAHOMA","54.0","85.0","2679.0"
"23.0","11.0","DC","DISTRICT OF COLUMBIA","49.0","64.0","3527.0"
"23.0","15.0","HI","HAWAII","48.0","102.0","2015.0"
"23.0","22.0","LA","LOUISIANA","47.0","90.0","2418.0"
"23.0","30.0","MT","MONTANA","47.0","83.0","1235.0"
"23.0","20.0","KS","KANSAS","44.0","99.0","2039.0"
"23.0","28.0","MS","MISSISSIPPI","40.0","87.0","2426.0"
"23.0","19.0","IA","IOWA","38.0","71.0","4215.0"
"23.0","5.0","AR","ARKANSAS","36.0","57.0","994.0"
"23.0","10.0","DE","DELAWARE","36.0","63.0","1586.0"
"23.0","56.0","WY","WYOMING","36.0","51.0","960.0"
"23.0","54.0","WV","WEST VIRGINIA","35.0","66.0","951.0"
"23.0","31.0","NE","NEBRASKA","31.0","55.0","989.0"
"23.0","16.0","ID","IDAHO","23.0","49.0","1084.0"
"23.0","38.0","ND","NORTH DAKOTA","21.0","38.0","802.0"
"23.0","46.0","SD","SOUTH DAKOTA","16.0","21.0","452.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
