"NEVADA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Nevada (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"32.0","96.0","NV","NV Total Mig - US & For","45537.0","84196.0","2003034.0"
"32.0","97.0","NV","NV Total Mig - US","44554.0","82221.0","1962231.0"
"32.0","98.0","NV","NV Total Mig - Foreign","983.0","1975.0","40803.0"
"32.0","32.0","NV","NV Non-Migrants","945117.0","2053181.0","49571102.0"
"32.0","6.0","CA","CALIFORNIA","14947.0","28088.0","687852.0"
"32.0","4.0","AZ","ARIZONA","2635.0","5268.0","110655.0"
"32.0","48.0","TX","TEXAS","2212.0","4190.0","93288.0"
"32.0","12.0","FL","FLORIDA","1978.0","3467.0","74694.0"
"32.0","49.0","UT","UTAH","1758.0","3840.0","72905.0"
"32.0","53.0","WA","WASHINGTON","1671.0","3087.0","69051.0"
"32.0","36.0","NY","NEW YORK","1298.0","2075.0","65128.0"
"32.0","17.0","IL","ILLINOIS","1296.0","2306.0","63254.0"
"32.0","8.0","CO","COLORADO","1208.0","2175.0","59538.0"
"32.0","41.0","OR","OREGON","1105.0","1959.0","43677.0"
"32.0","26.0","MI","MICHIGAN","1054.0","1825.0","44269.0"
"32.0","15.0","HI","HAWAII","992.0","1804.0","36446.0"
"32.0","39.0","OH","OHIO","983.0","1659.0","40159.0"
"32.0","57.0","FR","Foreign","983.0","1975.0","40803.0"
"32.0","16.0","ID","IDAHO","801.0","1636.0","32113.0"
"32.0","51.0","VA","VIRGINIA","630.0","1160.0","33452.0"
"32.0","13.0","GA","GEORGIA","623.0","1168.0","27969.0"
"32.0","42.0","PA","PENNSYLVANIA","605.0","1013.0","25589.0"
"32.0","35.0","NM","NEW MEXICO","533.0","1009.0","21868.0"
"32.0","37.0","NC","NORTH CAROLINA","525.0","987.0","20699.0"
"32.0","34.0","NJ","NEW JERSEY","515.0","871.0","27178.0"
"32.0","29.0","MO","MISSOURI","493.0","881.0","32725.0"
"32.0","18.0","IN","INDIANA","451.0","783.0","15362.0"
"32.0","47.0","TN","TENNESSEE","444.0","798.0","17269.0"
"32.0","27.0","MN","MINNESOTA","443.0","742.0","20178.0"
"32.0","55.0","WI","WISCONSIN","407.0","683.0","17720.0"
"32.0","30.0","MT","MONTANA","365.0","660.0","15115.0"
"32.0","2.0","AK","ALASKA","355.0","687.0","17980.0"
"32.0","25.0","MA","MASSACHUSETTS","353.0","553.0","18800.0"
"32.0","40.0","OK","OKLAHOMA","344.0","645.0","11955.0"
"32.0","24.0","MD","MARYLAND","339.0","618.0","16218.0"
"32.0","20.0","KS","KANSAS","261.0","521.0","12042.0"
"32.0","45.0","SC","SOUTH CAROLINA","252.0","435.0","9861.0"
"32.0","19.0","IA","IOWA","244.0","381.0","10746.0"
"32.0","56.0","WY","WYOMING","236.0","474.0","9612.0"
"32.0","31.0","NE","NEBRASKA","235.0","428.0","10611.0"
"32.0","22.0","LA","LOUISIANA","233.0","394.0","7664.0"
"32.0","5.0","AR","ARKANSAS","231.0","419.0","7363.0"
"32.0","21.0","KY","KENTUCKY","216.0","396.0","8324.0"
"32.0","1.0","AL","ALABAMA","192.0","365.0","7135.0"
"32.0","9.0","CT","CONNECTICUT","181.0","291.0","8025.0"
"32.0","28.0","MS","MISSISSIPPI","178.0","325.0","7580.0"
"32.0","46.0","SD","SOUTH DAKOTA","160.0","255.0","6837.0"
"32.0","38.0","ND","NORTH DAKOTA","119.0","194.0","4321.0"
"32.0","33.0","NH","NEW HAMPSHIRE","103.0","156.0","4847.0"
"32.0","23.0","ME","MAINE","75.0","117.0","2181.0"
"32.0","44.0","RI","RHODE ISLAND","69.0","86.0","2391.0"
"32.0","54.0","WV","WEST VIRGINIA","61.0","113.0","2372.0"
"32.0","10.0","DE","DELAWARE","55.0","107.0","2883.0"
"32.0","11.0","DC","DISTRICT OF COLUMBIA","51.0","60.0","2541.0"
"32.0","50.0","VT","VERMONT","39.0","67.0","1789.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
