"IOWA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Iowa (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"19.0","96.0","IA","IA Total Mig - US & For","29069.0","55345.0","1124932.0"
"19.0","97.0","IA","IA Total Mig - US","28762.0","54768.0","1111513.0"
"19.0","98.0","IA","IA Total Mig - Foreign","307.0","577.0","13418.0"
"19.0","19.0","IA","IA Non-Migrants","1147660.0","2494049.0","62722564.0"
"19.0","17.0","IL","ILLINOIS","4658.0","8549.0","183089.0"
"19.0","31.0","NE","NEBRASKA","2939.0","5628.0","110578.0"
"19.0","27.0","MN","MINNESOTA","2207.0","3976.0","79795.0"
"19.0","6.0","CA","CALIFORNIA","1678.0","3298.0","64269.0"
"19.0","29.0","MO","MISSOURI","1501.0","2762.0","50993.0"
"19.0","48.0","TX","TEXAS","1454.0","2981.0","56670.0"
"19.0","55.0","WI","WISCONSIN","1361.0","2413.0","53774.0"
"19.0","12.0","FL","FLORIDA","982.0","1811.0","34527.0"
"19.0","46.0","SD","SOUTH DAKOTA","891.0","1546.0","32309.0"
"19.0","8.0","CO","COLORADO","826.0","1560.0","32692.0"
"19.0","4.0","AZ","ARIZONA","815.0","1559.0","28248.0"
"19.0","26.0","MI","MICHIGAN","682.0","1393.0","28347.0"
"19.0","20.0","KS","KANSAS","678.0","1340.0","32757.0"
"19.0","18.0","IN","INDIANA","542.0","1157.0","19977.0"
"19.0","37.0","NC","NORTH CAROLINA","520.0","1092.0","22875.0"
"19.0","13.0","GA","GEORGIA","516.0","1056.0","21877.0"
"19.0","36.0","NY","NEW YORK","499.0","904.0","19225.0"
"19.0","53.0","WA","WASHINGTON","499.0","955.0","19001.0"
"19.0","39.0","OH","OHIO","472.0","939.0","22203.0"
"19.0","51.0","VA","VIRGINIA","383.0","753.0","18504.0"
"19.0","47.0","TN","TENNESSEE","343.0","726.0","14589.0"
"19.0","42.0","PA","PENNSYLVANIA","333.0","628.0","15937.0"
"19.0","57.0","FR","Foreign","307.0","577.0","13418.0"
"19.0","34.0","NJ","NEW JERSEY","304.0","580.0","14613.0"
"19.0","32.0","NV","NEVADA","288.0","536.0","8193.0"
"19.0","40.0","OK","OKLAHOMA","274.0","565.0","9673.0"
"19.0","5.0","AR","ARKANSAS","244.0","518.0","8562.0"
"19.0","41.0","OR","OREGON","217.0","400.0","6797.0"
"19.0","21.0","KY","KENTUCKY","214.0","422.0","8619.0"
"19.0","49.0","UT","UTAH","214.0","533.0","7027.0"
"19.0","24.0","MD","MARYLAND","192.0","364.0","8756.0"
"19.0","25.0","MA","MASSACHUSETTS","192.0","324.0","8235.0"
"19.0","9.0","CT","CONNECTICUT","183.0","320.0","7785.0"
"19.0","45.0","SC","SOUTH CAROLINA","169.0","298.0","6040.0"
"19.0","38.0","ND","NORTH DAKOTA","143.0","274.0","6169.0"
"19.0","1.0","AL","ALABAMA","141.0","280.0","6780.0"
"19.0","22.0","LA","LOUISIANA","129.0","245.0","3957.0"
"19.0","56.0","WY","WYOMING","125.0","253.0","3919.0"
"19.0","35.0","NM","NEW MEXICO","122.0","214.0","4448.0"
"19.0","16.0","ID","IDAHO","119.0","269.0","2912.0"
"19.0","28.0","MS","MISSISSIPPI","116.0","227.0","3216.0"
"19.0","30.0","MT","MONTANA","111.0","224.0","3428.0"
"19.0","15.0","HI","HAWAII","89.0","166.0","3019.0"
"19.0","2.0","AK","ALASKA","75.0","133.0","2601.0"
"19.0","33.0","NH","NEW HAMPSHIRE","62.0","149.0","4222.0"
"19.0","10.0","DE","DELAWARE","57.0","102.0","2584.0"
"19.0","11.0","DC","DISTRICT OF COLUMBIA","49.0","59.0","1832.0"
"19.0","23.0","ME","MAINE","48.0","95.0","1354.0"
"19.0","44.0","RI","RHODE ISLAND","47.0","85.0","1864.0"
"19.0","54.0","WV","WEST VIRGINIA","41.0","72.0","1882.0"
"19.0","50.0","VT","VERMONT","18.0","35.0","791.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
