"OREGON INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Oregon (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"41.0","96.0","OR","OR Total Mig - US & For","45494.0","79470.0","1792146.0"
"41.0","97.0","OR","OR Total Mig - US","44892.0","78364.0","1768035.0"
"41.0","98.0","OR","OR Total Mig - Foreign","602.0","1106.0","24111.0"
"41.0","41.0","OR","OR Non-Migrants","1342476.0","2848509.0","70187856.0"
"41.0","6.0","CA","CALIFORNIA","11136.0","19893.0","486240.0"
"41.0","53.0","WA","WASHINGTON","9129.0","15955.0","339178.0"
"41.0","4.0","AZ","ARIZONA","2066.0","3717.0","76072.0"
"41.0","16.0","ID","IDAHO","1814.0","3538.0","52685.0"
"41.0","48.0","TX","TEXAS","1542.0","2837.0","65165.0"
"41.0","32.0","NV","NEVADA","1414.0","2596.0","47460.0"
"41.0","8.0","CO","COLORADO","1308.0","2226.0","53717.0"
"41.0","12.0","FL","FLORIDA","1063.0","1741.0","37062.0"
"41.0","36.0","NY","NEW YORK","1055.0","1520.0","52869.0"
"41.0","49.0","UT","UTAH","934.0","1901.0","32982.0"
"41.0","17.0","IL","ILLINOIS","803.0","1305.0","38402.0"
"41.0","2.0","AK","ALASKA","777.0","1324.0","34506.0"
"41.0","30.0","MT","MONTANA","746.0","1231.0","21108.0"
"41.0","15.0","HI","HAWAII","723.0","1224.0","23630.0"
"41.0","26.0","MI","MICHIGAN","664.0","1114.0","24162.0"
"41.0","57.0","FR","Foreign","602.0","1106.0","24111.0"
"41.0","27.0","MN","MINNESOTA","597.0","917.0","22780.0"
"41.0","42.0","PA","PENNSYLVANIA","569.0","890.0","23187.0"
"41.0","51.0","VA","VIRGINIA","565.0","996.0","29199.0"
"41.0","37.0","NC","NORTH CAROLINA","559.0","1022.0","19255.0"
"41.0","39.0","OH","OHIO","543.0","886.0","23696.0"
"41.0","29.0","MO","MISSOURI","485.0","896.0","16945.0"
"41.0","13.0","GA","GEORGIA","467.0","829.0","19612.0"
"41.0","25.0","MA","MASSACHUSETTS","462.0","685.0","24893.0"
"41.0","55.0","WI","WISCONSIN","444.0","705.0","15494.0"
"41.0","35.0","NM","NEW MEXICO","415.0","672.0","16220.0"
"41.0","18.0","IN","INDIANA","380.0","640.0","13980.0"
"41.0","47.0","TN","TENNESSEE","328.0","530.0","10975.0"
"41.0","40.0","OK","OKLAHOMA","295.0","536.0","8107.0"
"41.0","20.0","KS","KANSAS","293.0","488.0","11584.0"
"41.0","19.0","IA","IOWA","292.0","503.0","10873.0"
"41.0","24.0","MD","MARYLAND","290.0","465.0","15701.0"
"41.0","56.0","WY","WYOMING","279.0","476.0","7284.0"
"41.0","34.0","NJ","NEW JERSEY","268.0","456.0","14009.0"
"41.0","45.0","SC","SOUTH CAROLINA","222.0","362.0","7227.0"
"41.0","31.0","NE","NEBRASKA","220.0","392.0","7767.0"
"41.0","21.0","KY","KENTUCKY","191.0","330.0","6152.0"
"41.0","22.0","LA","LOUISIANA","183.0","305.0","6283.0"
"41.0","9.0","CT","CONNECTICUT","172.0","257.0","7208.0"
"41.0","5.0","AR","ARKANSAS","155.0","293.0","4331.0"
"41.0","1.0","AL","ALABAMA","145.0","270.0","5179.0"
"41.0","23.0","ME","MAINE","143.0","229.0","5719.0"
"41.0","46.0","SD","SOUTH DAKOTA","122.0","217.0","4349.0"
"41.0","38.0","ND","NORTH DAKOTA","117.0","173.0","3812.0"
"41.0","50.0","VT","VERMONT","108.0","151.0","3036.0"
"41.0","33.0","NH","NEW HAMPSHIRE","105.0","180.0","5523.0"
"41.0","11.0","DC","DISTRICT OF COLUMBIA","96.0","135.0","5658.0"
"41.0","28.0","MS","MISSISSIPPI","66.0","128.0","1557.0"
"41.0","54.0","WV","WEST VIRGINIA","56.0","90.0","1595.0"
"41.0","44.0","RI","RHODE ISLAND","52.0","89.0","2200.0"
"41.0","10.0","DE","DELAWARE","34.0","49.0","1409.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
