"ARKANSAS INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Arkansas (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"5.0","96.0","AR","AR Total Mig - US & For","29576.0","60987.0","1131784.0"
"5.0","97.0","AR","AR Total Mig - US","29135.0","60023.0","1115326.0"
"5.0","98.0","AR","AR Total Mig - Foreign","441.0","964.0","16459.0"
"5.0","5.0","AR","AR Non-Migrants","954967.0","2135030.0","44111763.0"
"5.0","48.0","TX","TEXAS","5088.0","10511.0","194427.0"
"5.0","29.0","MO","MISSOURI","2713.0","5476.0","83005.0"
"5.0","40.0","OK","OKLAHOMA","2529.0","5479.0","88908.0"
"5.0","6.0","CA","CALIFORNIA","1822.0","3723.0","64041.0"
"5.0","47.0","TN","TENNESSEE","1737.0","3450.0","59721.0"
"5.0","12.0","FL","FLORIDA","1383.0","2734.0","49087.0"
"5.0","22.0","LA","LOUISIANA","1280.0","2653.0","51333.0"
"5.0","17.0","IL","ILLINOIS","1101.0","2216.0","46685.0"
"5.0","28.0","MS","MISSISSIPPI","966.0","2006.0","33344.0"
"5.0","13.0","GA","GEORGIA","778.0","1695.0","36992.0"
"5.0","20.0","KS","KANSAS","637.0","1345.0","24392.0"
"5.0","37.0","NC","NORTH CAROLINA","589.0","1264.0","25444.0"
"5.0","26.0","MI","MICHIGAN","583.0","1216.0","20542.0"
"5.0","4.0","AZ","ARIZONA","561.0","1208.0","21185.0"
"5.0","8.0","CO","COLORADO","560.0","1194.0","25661.0"
"5.0","18.0","IN","INDIANA","458.0","956.0","17391.0"
"5.0","39.0","OH","OHIO","448.0","896.0","22625.0"
"5.0","57.0","FR","Foreign","441.0","964.0","16459.0"
"5.0","1.0","AL","ALABAMA","429.0","967.0","15871.0"
"5.0","51.0","VA","VIRGINIA","408.0","840.0","18908.0"
"5.0","36.0","NY","NEW YORK","396.0","725.0","14831.0"
"5.0","55.0","WI","WISCONSIN","359.0","747.0","15989.0"
"5.0","53.0","WA","WASHINGTON","356.0","687.0","11901.0"
"5.0","27.0","MN","MINNESOTA","311.0","609.0","18247.0"
"5.0","19.0","IA","IOWA","308.0","624.0","13325.0"
"5.0","21.0","KY","KENTUCKY","282.0","610.0","9897.0"
"5.0","45.0","SC","SOUTH CAROLINA","276.0","550.0","10219.0"
"5.0","42.0","PA","PENNSYLVANIA","263.0","543.0","12902.0"
"5.0","32.0","NV","NEVADA","256.0","524.0","8241.0"
"5.0","31.0","NE","NEBRASKA","243.0","494.0","11190.0"
"5.0","35.0","NM","NEW MEXICO","203.0","430.0","6664.0"
"5.0","34.0","NJ","NEW JERSEY","197.0","366.0","15000.0"
"5.0","41.0","OR","OREGON","193.0","380.0","6619.0"
"5.0","24.0","MD","MARYLAND","180.0","363.0","8630.0"
"5.0","49.0","UT","UTAH","156.0","364.0","6555.0"
"5.0","2.0","AK","ALASKA","129.0","278.0","5993.0"
"5.0","25.0","MA","MASSACHUSETTS","121.0","222.0","4964.0"
"5.0","15.0","HI","HAWAII","119.0","276.0","3192.0"
"5.0","56.0","WY","WYOMING","98.0","202.0","3293.0"
"5.0","16.0","ID","IDAHO","94.0","213.0","4334.0"
"5.0","9.0","CT","CONNECTICUT","87.0","176.0","6479.0"
"5.0","30.0","MT","MONTANA","85.0","165.0","2361.0"
"5.0","46.0","SD","SOUTH DAKOTA","71.0","132.0","4591.0"
"5.0","54.0","WV","WEST VIRGINIA","55.0","107.0","1445.0"
"5.0","33.0","NH","NEW HAMPSHIRE","41.0","75.0","1665.0"
"5.0","38.0","ND","NORTH DAKOTA","41.0","83.0","1577.0"
"5.0","11.0","DC","DISTRICT OF COLUMBIA","37.0","54.0","1565.0"
"5.0","23.0","ME","MAINE","31.0","48.0","1502.0"
"5.0","10.0","DE","DELAWARE","27.0","51.0","933.0"
"5.0","50.0","VT","VERMONT","26.0","48.0","688.0"
"5.0","44.0","RI","RHODE ISLAND","24.0","48.0","973.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
