"TENNESSEE INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Tennessee (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"47.0","96.0","TN","TN Total Mig - US & For","71361.0","141845.0","3005857.0"
"47.0","97.0","TN","TN Total Mig - US","70156.0","139051.0","2942794.0"
"47.0","98.0","TN","TN Total Mig - Foreign","1205.0","2794.0","63063.0"
"47.0","47.0","TN","TN Non-Migrants","2212770.0","4851327.0","106968861.0"
"47.0","12.0","FL","FLORIDA","7188.0","13864.0","285529.0"
"47.0","13.0","GA","GEORGIA","5997.0","11934.0","237210.0"
"47.0","28.0","MS","MISSISSIPPI","4641.0","9537.0","142011.0"
"47.0","21.0","KY","KENTUCKY","4494.0","9099.0","145429.0"
"47.0","48.0","TX","TEXAS","3762.0","7926.0","172169.0"
"47.0","1.0","AL","ALABAMA","3351.0","6712.0","143978.0"
"47.0","51.0","VA","VIRGINIA","3336.0","6533.0","145754.0"
"47.0","37.0","NC","NORTH CAROLINA","3289.0","6580.0","138917.0"
"47.0","6.0","CA","CALIFORNIA","2983.0","5901.0","158488.0"
"47.0","26.0","MI","MICHIGAN","2813.0","5736.0","116040.0"
"47.0","39.0","OH","OHIO","2658.0","5058.0","121066.0"
"47.0","17.0","IL","ILLINOIS","2586.0","4897.0","123830.0"
"47.0","18.0","IN","INDIANA","1947.0","3889.0","77866.0"
"47.0","36.0","NY","NEW YORK","1874.0","3399.0","81387.0"
"47.0","5.0","AR","ARKANSAS","1614.0","3162.0","58314.0"
"47.0","45.0","SC","SOUTH CAROLINA","1562.0","3152.0","65560.0"
"47.0","29.0","MO","MISSOURI","1373.0","2685.0","59483.0"
"47.0","42.0","PA","PENNSYLVANIA","1286.0","2352.0","52670.0"
"47.0","57.0","FR","Foreign","1205.0","2794.0","63063.0"
"47.0","22.0","LA","LOUISIANA","1075.0","2209.0","45920.0"
"47.0","4.0","AZ","ARIZONA","955.0","1944.0","37227.0"
"47.0","8.0","CO","COLORADO","898.0","1763.0","38465.0"
"47.0","53.0","WA","WASHINGTON","890.0","1899.0","40906.0"
"47.0","24.0","MD","MARYLAND","877.0","1693.0","51849.0"
"47.0","55.0","WI","WISCONSIN","857.0","1644.0","35116.0"
"47.0","34.0","NJ","NEW JERSEY","749.0","1441.0","46746.0"
"47.0","40.0","OK","OKLAHOMA","619.0","1287.0","23678.0"
"47.0","25.0","MA","MASSACHUSETTS","591.0","1024.0","28467.0"
"47.0","20.0","KS","KANSAS","584.0","1298.0","24851.0"
"47.0","27.0","MN","MINNESOTA","500.0","964.0","26195.0"
"47.0","32.0","NV","NEVADA","497.0","953.0","19950.0"
"47.0","19.0","IA","IOWA","440.0","846.0","18510.0"
"47.0","54.0","WV","WEST VIRGINIA","408.0","808.0","35002.0"
"47.0","9.0","CT","CONNECTICUT","385.0","740.0","21785.0"
"47.0","41.0","OR","OREGON","336.0","626.0","10494.0"
"47.0","15.0","HI","HAWAII","326.0","773.0","12964.0"
"47.0","49.0","UT","UTAH","275.0","616.0","10958.0"
"47.0","35.0","NM","NEW MEXICO","274.0","550.0","14871.0"
"47.0","2.0","AK","ALASKA","225.0","473.0","10208.0"
"47.0","31.0","NE","NEBRASKA","205.0","380.0","9077.0"
"47.0","23.0","ME","MAINE","180.0","355.0","5713.0"
"47.0","33.0","NH","NEW HAMPSHIRE","174.0","306.0","7045.0"
"47.0","16.0","ID","IDAHO","155.0","312.0","5919.0"
"47.0","11.0","DC","DISTRICT OF COLUMBIA","154.0","187.0","7638.0"
"47.0","56.0","WY","WYOMING","137.0","289.0","5107.0"
"47.0","30.0","MT","MONTANA","133.0","250.0","3597.0"
"47.0","50.0","VT","VERMONT","128.0","242.0","5035.0"
"47.0","10.0","DE","DELAWARE","107.0","226.0","3795.0"
"47.0","44.0","RI","RHODE ISLAND","103.0","211.0","4462.0"
"47.0","46.0","SD","SOUTH DAKOTA","97.0","188.0","3003.0"
"47.0","38.0","ND","NORTH DAKOTA","68.0","138.0","2542.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
