"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 01-ALABAMA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,AL,AL Total Mig - US & For,50559,107035,2081781"
"97,AL,AL Total Mig - US,48321,102847,2019159"
"98,AL,AL Total Mig - Foreign,2238,4188,62622"
"01,AL,AL Non-Migrants,1507515,3400241,73090981"
"12,FL,FLORIDA,7413,14920,298516"
"13,GA,GEORGIA,7367,15776,292739"
"28,MS,MISSISSIPPI,3879,8141,145309"
"22,LA,LOUISIANA,3559,7710,121454"
"47,TN,TENNESSEE,3496,7071,142617"
"48,TX,TEXAS,2765,6225,128270"
"57,FR,Foreign,2238,4188,62622"
"06,CA,CALIFORNIA,1851,3957,83527"
"37,NC,NORTH CAROLINA,1481,3244,67026"
"51,VA,VIRGINIA,1442,3277,80152"
"39,OH,OHIO,1165,2463,50059"
"26,MI,MICHIGAN,1153,2513,45426"
"36,NY,NEW YORK,1128,2138,42042"
"17,IL,ILLINOIS,1107,2329,50458"
"45,SC,SOUTH CAROLINA,840,1786,36608"
"21,KY,KENTUCKY,782,1761,30492"
"18,IN,INDIANA,739,1580,33552"
"29,MO,MISSOURI,626,1366,27390"
"42,PA,PENNSYLVANIA,590,1182,30561"
"24,MD,MARYLAND,535,1163,30808"
"05,AR,ARKANSAS,522,1137,20284"
"08,CO,COLORADO,508,1121,23060"
"04,AZ,ARIZONA,505,1182,25176"
"53,WA,WASHINGTON,451,1054,21353"
"34,NJ,NEW JERSEY,416,865,19972"
"40,OK,OKLAHOMA,413,930,16879"
"55,WI,WISCONSIN,333,685,13904"
"25,MA,MASSACHUSETTS,313,633,14758"
"15,HI,HAWAII,284,759,11321"
"20,KS,KANSAS,273,667,11142"
"32,NV,NEVADA,226,491,10082"
"09,CT,CONNECTICUT,198,406,9658"
"27,MN,MINNESOTA,183,362,7427"
"35,NM,NEW MEXICO,175,432,7823"
"02,AK,ALASKA,170,404,6633"
"19,IA,IOWA,167,353,6533"
"49,UT,UTAH,147,370,7316"
"54,WV,WEST VIRGINIA,144,291,5911"
"41,OR,OREGON,139,287,4201"
"31,NE,NEBRASKA,135,331,6437"
"16,ID,IDAHO,92,220,3658"
"23,ME,MAINE,81,158,3145"
"11,DC,DISTRICT OF COLUMBIA,79,111,3577"
"33,NH,NEW HAMPSHIRE,72,146,3326"
"10,DE,DELAWARE,69,148,3632"
"30,MT,MONTANA,68,152,2538"
"56,WY,WYOMING,64,137,2475"
"38,ND,NORTH DAKOTA,61,153,2349"
"46,SD,SOUTH DAKOTA,47,107,1823"
"44,RI,RHODE ISLAND,41,95,4361"
"50,VT,VERMONT,27,58,1403"
"50,,,,,"
