"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 08-COLORADO,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,CO,CO Total Mig - US & For,81578,153771,4073396"
"97,CO,CO Total Mig - US,78437,148097,3974079"
"98,CO,CO Total Mig - Foreign,3141,5674,99317"
"08,CO,CO Non-Migrants,1599054,3458049,98512737"
"06,CA,CALIFORNIA,11388,23838,684285"
"48,TX,TEXAS,6777,13982,370416"
"12,FL,FLORIDA,4027,7541,199312"
"04,AZ,ARIZONA,3998,7920,204879"
"57,FR,Foreign,3141,5674,99317"
"17,IL,ILLINOIS,2864,4824,158412"
"35,NM,NEW MEXICO,2529,4905,96908"
"36,NY,NEW YORK,2250,3518,116830"
"53,WA,WASHINGTON,2211,4165,112777"
"20,KS,KANSAS,2000,3858,85131"
"39,OH,OHIO,1907,3286,98052"
"26,MI,MICHIGAN,1847,3023,75995"
"51,VA,VIRGINIA,1838,3578,115942"
"56,WY,WYOMING,1834,3334,72182"
"31,NE,NEBRASKA,1801,3128,67107"
"32,NV,NEVADA,1690,3334,88366"
"29,MO,MISSOURI,1676,3041,81678"
"27,MN,MINNESOTA,1657,2731,101606"
"42,PA,PENNSYLVANIA,1595,2535,73814"
"49,UT,UTAH,1576,3412,73199"
"13,GA,GEORGIA,1442,2955,78790"
"37,NC,NORTH CAROLINA,1430,2773,71004"
"22,LA,LOUISIANA,1391,2744,49689"
"55,WI,WISCONSIN,1367,2172,84704"
"40,OK,OKLAHOMA,1248,2519,50549"
"41,OR,OREGON,1201,2154,49526"
"19,IA,IOWA,1198,1892,43364"
"25,MA,MASSACHUSETTS,1123,1788,82651"
"18,IN,INDIANA,1107,2002,49971"
"34,NJ,NEW JERSEY,1084,1935,73927"
"24,MD,MARYLAND,978,1908,62857"
"47,TN,TENNESSEE,941,1786,41716"
"30,MT,MONTANA,856,1467,27739"
"15,HI,HAWAII,717,1411,35219"
"16,ID,IDAHO,698,1384,26812"
"46,SD,SOUTH DAKOTA,658,1096,21259"
"09,CT,CONNECTICUT,534,885,35540"
"45,SC,SOUTH CAROLINA,526,1039,23048"
"01,AL,ALABAMA,519,1090,24772"
"05,AR,ARKANSAS,519,1014,17936"
"28,MS,MISSISSIPPI,498,1044,16399"
"02,AK,ALASKA,496,953,21091"
"21,KY,KENTUCKY,486,991,22915"
"38,ND,NORTH DAKOTA,421,704,14090"
"33,NH,NEW HAMPSHIRE,319,499,13429"
"23,ME,MAINE,303,443,9775"
"50,VT,VERMONT,286,385,8878"
"11,DC,DISTRICT OF COLUMBIA,179,274,15861"
"44,RI,RHODE ISLAND,174,318,9167"
"54,WV,WEST VIRGINIA,149,290,7373"
"10,DE,DELAWARE,124,229,7140"
"10,,,,,"
