"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 47-TENNESSEE,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,TN,TN Total Mig - US & For,83500,169350,3685100"
"97,TN,TN Total Mig - US,81384,165869,3639634"
"98,TN,TN Total Mig - Foreign,2116,3481,45466"
"47,TN,TN Non-Migrants,2061272,4539501,101168118"
"12,FL,FLORIDA,10246,20654,476639"
"13,GA,GEORGIA,6157,12431,287426"
"28,MS,MISSISSIPPI,5123,10277,172097"
"21,KY,KENTUCKY,5048,10218,178286"
"06,CA,CALIFORNIA,4142,8880,210353"
"22,LA,LOUISIANA,3754,8102,138250"
"48,TX,TEXAS,3731,7918,202610"
"51,VA,VIRGINIA,3663,7447,163370"
"37,NC,NORTH CAROLINA,3619,7296,154035"
"01,AL,ALABAMA,3521,7088,147477"
"17,IL,ILLINOIS,3069,6089,171640"
"39,OH,OHIO,2955,5813,136369"
"26,MI,MICHIGAN,2827,5793,117694"
"18,IN,INDIANA,2130,4361,88766"
"57,FR,Foreign,2116,3481,45466"
"36,NY,NEW YORK,2095,4132,99602"
"05,AR,ARKANSAS,1879,3807,76373"
"45,SC,SOUTH CAROLINA,1688,3403,75431"
"29,MO,MISSOURI,1471,2936,64226"
"42,PA,PENNSYLVANIA,1453,2854,67901"
"24,MD,MARYLAND,1080,2207,57806"
"04,AZ,ARIZONA,957,1976,43134"
"34,NJ,NEW JERSEY,885,1854,48537"
"08,CO,COLORADO,883,1859,46539"
"55,WI,WISCONSIN,815,1650,38543"
"53,WA,WASHINGTON,767,1600,31205"
"40,OK,OKLAHOMA,661,1411,25392"
"25,MA,MASSACHUSETTS,648,1237,33098"
"20,KS,KANSAS,583,1223,25164"
"32,NV,NEVADA,558,1148,29396"
"54,WV,WEST VIRGINIA,532,1072,21142"
"27,MN,MINNESOTA,513,1030,23558"
"09,CT,CONNECTICUT,430,916,31858"
"19,IA,IOWA,417,887,18225"
"41,OR,OREGON,338,670,14009"
"31,NE,NEBRASKA,286,598,10921"
"35,NM,NEW MEXICO,271,550,12136"
"15,HI,HAWAII,258,621,10236"
"49,UT,UTAH,234,548,9874"
"33,NH,NEW HAMPSHIRE,220,435,9276"
"23,ME,MAINE,189,365,7036"
"02,AK,ALASKA,172,354,7924"
"16,ID,IDAHO,158,364,6741"
"10,DE,DELAWARE,146,288,6528"
"44,RI,RHODE ISLAND,145,328,6980"
"30,MT,MONTANA,136,256,4829"
"46,SD,SOUTH DAKOTA,129,245,4618"
"56,WY,WYOMING,113,225,3805"
"11,DC,DISTRICT OF COLUMBIA,108,142,15203"
"50,VT,VERMONT,105,170,4341"
"38,ND,NORTH DAKOTA,76,141,3034"
"38,,,,,"
