"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 50-VERMONT,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,VT,VT Total Mig - US & For,10077,16279,473281"
"97,VT,VT Total Mig - US,9646,15706,465858"
"98,VT,VT Total Mig - Foreign,431,573,7424"
"50,VT,VT Non-Migrants,241412,493363,12503709"
"36,NY,NEW YORK,1415,2226,91328"
"33,NH,NEW HAMPSHIRE,1370,2223,46740"
"25,MA,MASSACHUSETTS,1273,2028,59899"
"12,FL,FLORIDA,717,1194,29745"
"09,CT,CONNECTICUT,601,976,34992"
"57,FR,Foreign,431,573,7424"
"06,CA,CALIFORNIA,413,638,19969"
"34,NJ,NEW JERSEY,367,597,27206"
"42,PA,PENNSYLVANIA,319,503,13755"
"23,ME,MAINE,307,462,12407"
"51,VA,VIRGINIA,232,419,14853"
"37,NC,NORTH CAROLINA,212,337,8201"
"08,CO,COLORADO,182,297,6610"
"39,OH,OHIO,145,241,7238"
"24,MD,MARYLAND,140,252,8634"
"48,TX,TEXAS,132,244,6607"
"04,AZ,ARIZONA,130,225,4746"
"53,WA,WASHINGTON,115,180,4800"
"13,GA,GEORGIA,109,206,5876"
"44,RI,RHODE ISLAND,108,159,4412"
"26,MI,MICHIGAN,106,160,4594"
"45,SC,SOUTH CAROLINA,100,166,6000"
"17,IL,ILLINOIS,95,155,5146"
"41,OR,OREGON,87,133,2603"
"55,WI,WISCONSIN,82,141,3958"
"18,IN,INDIANA,71,127,2887"
"47,TN,TENNESSEE,63,120,1793"
"27,MN,MINNESOTA,57,97,3082"
"11,DC,DISTRICT OF COLUMBIA,56,70,2644"
"49,UT,UTAH,48,102,1676"
"02,AK,ALASKA,46,90,1891"
"22,LA,LOUISIANA,46,75,2554"
"30,MT,MONTANA,46,65,1210"
"29,MO,MISSOURI,41,57,1425"
"35,NM,NEW MEXICO,36,55,1207"
"01,AL,ALABAMA,34,72,1166"
"20,KS,KANSAS,33,61,2138"
"21,KY,KENTUCKY,32,63,1564"
"32,NV,NEVADA,32,44,972"
"15,HI,HAWAII,30,58,935"
"16,ID,IDAHO,28,43,1134"
"40,OK,OKLAHOMA,28,51,1023"
"19,IA,IOWA,27,45,1110"
"28,MS,MISSISSIPPI,27,54,1066"
"54,WV,WEST VIRGINIA,24,42,776"
"10,DE,DELAWARE,20,33,1219"
"31,NE,NEBRASKA,18,36,639"
"05,AR,ARKANSAS,11,24,229"
"46,SD,SOUTH DAKOTA,7,9,436"
"38,ND,NORTH DAKOTA,d,d,d"
"56,WY,WYOMING,d,d,d"
"56,,,,,"
