"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 44-RHODEISLAND,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,RI,RI Total Mig - US & For,12968,21744,593900"
"97,RI,RI Total Mig - US,12295,20730,580290"
"98,RI,RI Total Mig - Foreign,673,1014,13610"
"44,RI,RI Non-Migrants,390382,797322,22221149"
"25,MA,MASSACHUSETTS,4199,6679,196497"
"36,NY,NEW YORK,1165,1928,46770"
"09,CT,CONNECTICUT,1157,1816,59397"
"12,FL,FLORIDA,984,1753,36714"
"57,FR,Foreign,673,1014,13610"
"06,CA,CALIFORNIA,612,1133,32706"
"51,VA,VIRGINIA,382,851,21689"
"34,NJ,NEW JERSEY,354,584,20764"
"42,PA,PENNSYLVANIA,331,540,17881"
"33,NH,NEW HAMPSHIRE,278,424,13346"
"48,TX,TEXAS,240,455,12647"
"37,NC,NORTH CAROLINA,191,402,8356"
"23,ME,MAINE,186,306,7788"
"24,MD,MARYLAND,178,276,11029"
"13,GA,GEORGIA,165,303,7322"
"39,OH,OHIO,164,297,12881"
"17,IL,ILLINOIS,156,265,8280"
"53,WA,WASHINGTON,114,217,6227"
"50,VT,VERMONT,105,142,3203"
"22,LA,LOUISIANA,103,197,3240"
"26,MI,MICHIGAN,103,178,4534"
"08,CO,COLORADO,96,162,4254"
"04,AZ,ARIZONA,94,186,5408"
"45,SC,SOUTH CAROLINA,94,178,3269"
"47,TN,TENNESSEE,65,119,4389"
"29,MO,MISSOURI,61,110,2566"
"55,WI,WISCONSIN,59,96,2236"
"18,IN,INDIANA,57,91,2782"
"15,HI,HAWAII,56,113,2692"
"27,MN,MINNESOTA,50,81,2723"
"32,NV,NEVADA,48,86,2102"
"11,DC,DISTRICT OF COLUMBIA,47,60,1979"
"41,OR,OREGON,39,59,1083"
"35,NM,NEW MEXICO,36,58,1540"
"20,KS,KANSAS,34,62,1367"
"21,KY,KENTUCKY,29,47,1078"
"28,MS,MISSISSIPPI,28,68,917"
"19,IA,IOWA,27,43,953"
"01,AL,ALABAMA,24,38,734"
"10,DE,DELAWARE,24,39,868"
"40,OK,OKLAHOMA,24,53,1328"
"31,NE,NEBRASKA,23,34,892"
"05,AR,ARKANSAS,20,33,558"
"54,WV,WEST VIRGINIA,20,25,625"
"02,AK,ALASKA,19,35,544"
"49,UT,UTAH,16,26,583"
"30,MT,MONTANA,13,23,473"
"16,ID,IDAHO,8,12,315"
"46,SD,SOUTH DAKOTA,3,5,146"
"38,ND,NORTH DAKOTA,d,d,d"
"56,WY,WYOMING,d,d,d"
"56,,,,,"
