"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 25-MASSACHUSETTS,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,MA,MA Total Mig - US & For,67667,103419,3329521"
"97,MA,MA Total Mig - US,60749,94961,3212341"
"98,MA,MA Total Mig - Foreign,6918,8458,117180"
"25,MA,MA Non-Migrants,2401853,4937899,166799321"
"36,NY,NEW YORK,7781,11596,420881"
"57,FR,Foreign,6918,8458,117180"
"33,NH,NEW HAMPSHIRE,5764,8936,263838"
"12,FL,FLORIDA,5178,8581,216390"
"09,CT,CONNECTICUT,4703,7034,272312"
"06,CA,CALIFORNIA,4627,7008,321564"
"44,RI,RHODE ISLAND,4538,7614,218339"
"34,NJ,NEW JERSEY,2641,4346,193988"
"42,PA,PENNSYLVANIA,2350,3558,132009"
"23,ME,MAINE,1911,2657,70647"
"51,VA,VIRGINIA,1738,2793,102319"
"48,TX,TEXAS,1610,2709,97356"
"17,IL,ILLINOIS,1401,2144,89696"
"37,NC,NORTH CAROLINA,1323,2173,60204"
"24,MD,MARYLAND,1236,1961,74040"
"50,VT,VERMONT,1179,1553,46717"
"39,OH,OHIO,1122,1737,76016"
"13,GA,GEORGIA,1017,1672,50678"
"26,MI,MICHIGAN,973,1496,49479"
"08,CO,COLORADO,875,1317,45067"
"53,WA,WASHINGTON,764,1172,35358"
"04,AZ,ARIZONA,737,1179,31505"
"27,MN,MINNESOTA,538,799,46429"
"22,LA,LOUISIANA,501,834,19687"
"11,DC,DISTRICT OF COLUMBIA,494,621,27422"
"45,SC,SOUTH CAROLINA,477,826,18464"
"55,WI,WISCONSIN,448,680,22055"
"47,TN,TENNESSEE,442,773,20167"
"18,IN,INDIANA,440,732,25432"
"41,OR,OREGON,428,664,18606"
"29,MO,MISSOURI,415,680,18776"
"49,UT,UTAH,272,497,10379"
"32,NV,NEVADA,257,394,10544"
"21,KY,KENTUCKY,238,373,9260"
"15,HI,HAWAII,222,347,8789"
"20,KS,KANSAS,215,349,8641"
"01,AL,ALABAMA,209,382,8576"
"19,IA,IOWA,207,298,8116"
"35,NM,NEW MEXICO,200,334,8810"
"40,OK,OKLAHOMA,189,315,6196"
"10,DE,DELAWARE,160,267,8622"
"28,MS,MISSISSIPPI,154,285,5331"
"02,AK,ALASKA,128,243,4532"
"31,NE,NEBRASKA,125,207,10435"
"54,WV,WEST VIRGINIA,115,175,4282"
"30,MT,MONTANA,90,125,2579"
"05,AR,ARKANSAS,85,158,3990"
"16,ID,IDAHO,76,117,2260"
"56,WY,WYOMING,57,86,2032"
"38,ND,NORTH DAKOTA,52,85,1818"
"46,SD,SOUTH DAKOTA,47,79,1706"
"46,,,,,"
