"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 54-WESTVIRGINIA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,WV,WV Total Mig - US & For,19555,38982,791529"
"97,WV,WV Total Mig - US,19058,38294,784111"
"98,WV,WV Total Mig - Foreign,497,688,7419"
"54,WV,WV Non-Migrants,608879,1322478,26692265"
"51,VA,VIRGINIA,3594,7501,169869"
"39,OH,OHIO,2826,5454,80566"
"24,MD,MARYLAND,2586,5257,118304"
"42,PA,PENNSYLVANIA,1434,2763,53459"
"12,FL,FLORIDA,1292,2492,42654"
"37,NC,NORTH CAROLINA,1276,2576,40419"
"21,KY,KENTUCKY,632,1282,53928"
"57,FR,Foreign,497,688,7419"
"45,SC,SOUTH CAROLINA,429,885,12591"
"06,CA,CALIFORNIA,424,838,17573"
"36,NY,NEW YORK,412,782,16517"
"13,GA,GEORGIA,410,879,15778"
"48,TX,TEXAS,389,823,18497"
"47,TN,TENNESSEE,369,744,13678"
"26,MI,MICHIGAN,248,487,10916"
"34,NJ,NEW JERSEY,231,452,11516"
"18,IN,INDIANA,225,463,8340"
"17,IL,ILLINOIS,202,396,9005"
"22,LA,LOUISIANA,167,362,6865"
"04,AZ,ARIZONA,163,323,6143"
"08,CO,COLORADO,140,277,5682"
"01,AL,ALABAMA,134,308,6148"
"29,MO,MISSOURI,97,195,3849"
"09,CT,CONNECTICUT,86,164,3544"
"53,WA,WASHINGTON,86,186,3455"
"25,MA,MASSACHUSETTS,85,145,2941"
"40,OK,OKLAHOMA,85,180,2635"
"55,WI,WISCONSIN,82,183,4736"
"28,MS,MISSISSIPPI,77,155,2906"
"10,DE,DELAWARE,67,129,2382"
"11,DC,DISTRICT OF COLUMBIA,65,112,11946"
"32,NV,NEVADA,62,116,2590"
"05,AR,ARKANSAS,58,111,1747"
"20,KS,KANSAS,57,134,2334"
"41,OR,OREGON,48,98,1937"
"31,NE,NEBRASKA,45,75,1617"
"35,NM,NEW MEXICO,45,87,1588"
"49,UT,UTAH,43,105,1485"
"02,AK,ALASKA,41,79,1487"
"19,IA,IOWA,41,97,1868"
"27,MN,MINNESOTA,41,96,1917"
"23,ME,MAINE,40,87,1435"
"15,HI,HAWAII,37,64,1106"
"16,ID,IDAHO,33,55,751"
"33,NH,NEW HAMPSHIRE,32,55,1201"
"30,MT,MONTANA,24,42,816"
"38,ND,NORTH DAKOTA,22,47,519"
"46,SD,SOUTH DAKOTA,21,52,853"
"50,VT,VERMONT,21,38,595"
"56,WY,WYOMING,18,40,941"
"44,RI,RHODE ISLAND,16,23,482"
"44,,,,,"
