"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 09-CONNECTICUT,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,CT,CT Total Mig - US & For,38256,68038,2657640"
"97,CT,CT Total Mig - US,35794,64442,2565402"
"98,CT,CT Total Mig - Foreign,2462,3596,92238"
"09,CT,CT Non-Migrants,1289941,2720319,100383499"
"36,NY,NEW YORK,9919,18663,927969"
"25,MA,MASSACHUSETTS,4435,7206,247123"
"12,FL,FLORIDA,2962,5134,129865"
"57,FR,Foreign,2462,3596,92238"
"34,NJ,NEW JERSEY,2068,3899,182099"
"06,CA,CALIFORNIA,1753,3157,136888"
"44,RI,RHODE ISLAND,1516,2755,76996"
"42,PA,PENNSYLVANIA,1319,2204,104854"
"51,VA,VIRGINIA,958,1821,62984"
"48,TX,TEXAS,822,1516,61025"
"37,NC,NORTH CAROLINA,778,1458,38340"
"13,GA,GEORGIA,686,1366,52482"
"17,IL,ILLINOIS,652,1225,72132"
"24,MD,MARYLAND,647,1171,47756"
"33,NH,NEW HAMPSHIRE,561,888,28478"
"39,OH,OHIO,546,1031,48963"
"23,ME,MAINE,499,849,18738"
"26,MI,MICHIGAN,467,862,33456"
"45,SC,SOUTH CAROLINA,462,884,17817"
"08,CO,COLORADO,391,639,23029"
"50,VT,VERMONT,384,573,16966"
"53,WA,WASHINGTON,369,748,24839"
"04,AZ,ARIZONA,357,607,24034"
"18,IN,INDIANA,269,511,14541"
"47,TN,TENNESSEE,224,430,14261"
"22,LA,LOUISIANA,216,360,6778"
"27,MN,MINNESOTA,207,380,15772"
"55,WI,WISCONSIN,207,358,14539"
"29,MO,MISSOURI,191,348,11183"
"15,HI,HAWAII,157,340,6706"
"11,DC,DISTRICT OF COLUMBIA,152,197,9663"
"32,NV,NEVADA,141,238,6962"
"21,KY,KENTUCKY,130,229,6090"
"41,OR,OREGON,128,211,6295"
"49,UT,UTAH,127,273,4904"
"01,AL,ALABAMA,122,224,12439"
"10,DE,DELAWARE,122,211,9133"
"20,KS,KANSAS,114,208,6986"
"19,IA,IOWA,102,179,7423"
"40,OK,OKLAHOMA,97,157,4638"
"28,MS,MISSISSIPPI,75,135,5699"
"31,NE,NEBRASKA,73,139,3387"
"35,NM,NEW MEXICO,71,109,4163"
"05,AR,ARKANSAS,65,123,4347"
"54,WV,WEST VIRGINIA,56,86,2739"
"02,AK,ALASKA,50,86,1864"
"16,ID,IDAHO,40,73,3749"
"56,WY,WYOMING,29,51,1296"
"46,SD,SOUTH DAKOTA,28,52,1620"
"30,MT,MONTANA,25,38,614"
"38,ND,NORTH DAKOTA,25,40,778"
"38,,,,,"
