"MONTANA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Montana (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"30.0","96.0","MT","MT Total Mig - US & For","14219.0","25206.0","509922.0"
"30.0","97.0","MT","MT Total Mig - US","13933.0","24676.0","501259.0"
"30.0","98.0","MT","MT Total Mig - Foreign","286.0","530.0","8663.0"
"30.0","30.0","MT","MT Non-Migrants","364834.0","748401.0","17869309.0"
"30.0","53.0","WA","WASHINGTON","1611.0","2771.0","54383.0"
"30.0","6.0","CA","CALIFORNIA","1113.0","1837.0","46488.0"
"30.0","8.0","CO","COLORADO","917.0","1552.0","31768.0"
"30.0","41.0","OR","OREGON","862.0","1477.0","26965.0"
"30.0","16.0","ID","IDAHO","807.0","1559.0","29776.0"
"30.0","56.0","WY","WYOMING","730.0","1376.0","29658.0"
"30.0","38.0","ND","NORTH DAKOTA","729.0","1429.0","31203.0"
"30.0","48.0","TX","TEXAS","716.0","1251.0","23125.0"
"30.0","4.0","AZ","ARIZONA","681.0","1180.0","26186.0"
"30.0","12.0","FL","FLORIDA","529.0","805.0","16173.0"
"30.0","49.0","UT","UTAH","380.0","792.0","13937.0"
"30.0","27.0","MN","MINNESOTA","340.0","581.0","12768.0"
"30.0","32.0","NV","NEVADA","330.0","556.0","14614.0"
"30.0","2.0","AK","ALASKA","293.0","523.0","12404.0"
"30.0","57.0","FR","Foreign","286.0","530.0","8663.0"
"30.0","46.0","SD","SOUTH DAKOTA","221.0","414.0","7096.0"
"30.0","36.0","NY","NEW YORK","220.0","299.0","5697.0"
"30.0","51.0","VA","VIRGINIA","203.0","353.0","9052.0"
"30.0","37.0","NC","NORTH CAROLINA","191.0","354.0","5880.0"
"30.0","13.0","GA","GEORGIA","190.0","311.0","5532.0"
"30.0","35.0","NM","NEW MEXICO","183.0","381.0","7609.0"
"30.0","26.0","MI","MICHIGAN","179.0","306.0","5033.0"
"30.0","42.0","PA","PENNSYLVANIA","175.0","318.0","7409.0"
"30.0","17.0","IL","ILLINOIS","158.0","244.0","5295.0"
"30.0","55.0","WI","WISCONSIN","157.0","268.0","4354.0"
"30.0","29.0","MO","MISSOURI","153.0","289.0","4157.0"
"30.0","47.0","TN","TENNESSEE","138.0","248.0","5335.0"
"30.0","31.0","NE","NEBRASKA","136.0","278.0","5270.0"
"30.0","39.0","OH","OHIO","132.0","230.0","4254.0"
"30.0","40.0","OK","OKLAHOMA","131.0","281.0","4324.0"
"30.0","15.0","HI","HAWAII","108.0","221.0","3985.0"
"30.0","20.0","KS","KANSAS","106.0","216.0","3012.0"
"30.0","25.0","MA","MASSACHUSETTS","104.0","147.0","3936.0"
"30.0","19.0","IA","IOWA","100.0","174.0","2911.0"
"30.0","45.0","SC","SOUTH CAROLINA","94.0","181.0","2751.0"
"30.0","18.0","IN","INDIANA","91.0","172.0","3160.0"
"30.0","22.0","LA","LOUISIANA","84.0","179.0","3498.0"
"30.0","24.0","MD","MARYLAND","79.0","133.0","2994.0"
"30.0","34.0","NJ","NEW JERSEY","69.0","124.0","3640.0"
"30.0","5.0","AR","ARKANSAS","61.0","130.0","1797.0"
"30.0","21.0","KY","KENTUCKY","59.0","111.0","2047.0"
"30.0","1.0","AL","ALABAMA","55.0","109.0","2210.0"
"30.0","33.0","NH","NEW HAMPSHIRE","53.0","83.0","2169.0"
"30.0","28.0","MS","MISSISSIPPI","49.0","95.0","883.0"
"30.0","23.0","ME","MAINE","45.0","69.0","1282.0"
"30.0","9.0","CT","CONNECTICUT","41.0","58.0","991.0"
"30.0","11.0","DC","DISTRICT OF COLUMBIA","38.0","47.0","1151.0"
"30.0","50.0","VT","VERMONT","35.0","51.0","811.0"
"30.0","54.0","WV","WEST VIRGINIA","30.0","66.0","1383.0"
"30.0","10.0","DE","DELAWARE","18.0","32.0","617.0"
"30.0","44.0","RI","RHODE ISLAND","9.0","15.0","286.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
