"TENNESSEE OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Tennessee (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"47.0","96.0","TN","TN Total Mig - US & For","67117.0","131434.0","2702041.0"
"47.0","97.0","TN","TN Total Mig - US","65801.0","128916.0","2650133.0"
"47.0","98.0","TN","TN Total Mig - Foreign","1316.0","2518.0","51909.0"
"47.0","47.0","TN","TN Non-Migrants","2205535.0","4856950.0","111101177.0"
"47.0","12.0","FL","FLORIDA","7291.0","13083.0","289496.0"
"47.0","13.0","GA","GEORGIA","5981.0","11723.0","225262.0"
"47.0","28.0","MS","MISSISSIPPI","4500.0","9581.0","153004.0"
"47.0","48.0","TX","TEXAS","4406.0","9134.0","200403.0"
"47.0","21.0","KY","KENTUCKY","4179.0","8879.0","136702.0"
"47.0","1.0","AL","ALABAMA","3259.0","6698.0","132830.0"
"47.0","37.0","NC","NORTH CAROLINA","3164.0","6225.0","141445.0"
"47.0","51.0","VA","VIRGINIA","3000.0","5893.0","135808.0"
"47.0","6.0","CA","CALIFORNIA","2683.0","4915.0","111726.0"
"47.0","39.0","OH","OHIO","2042.0","3991.0","85414.0"
"47.0","17.0","IL","ILLINOIS","2016.0","3706.0","78451.0"
"47.0","26.0","MI","MICHIGAN","1968.0","3893.0","73526.0"
"47.0","5.0","AR","ARKANSAS","1769.0","3519.0","59457.0"
"47.0","18.0","IN","INDIANA","1641.0","3311.0","60467.0"
"47.0","45.0","SC","SOUTH CAROLINA","1580.0","3135.0","72108.0"
"47.0","36.0","NY","NEW YORK","1518.0","2528.0","53677.0"
"47.0","57.0","FR","Foreign","1316.0","2518.0","51909.0"
"47.0","29.0","MO","MISSOURI","1309.0","2606.0","51771.0"
"47.0","22.0","LA","LOUISIANA","1138.0","2277.0","41961.0"
"47.0","42.0","PA","PENNSYLVANIA","1103.0","2087.0","47935.0"
"47.0","8.0","CO","COLORADO","1091.0","2017.0","51606.0"
"47.0","53.0","WA","WASHINGTON","874.0","1816.0","40340.0"
"47.0","24.0","MD","MARYLAND","840.0","1631.0","46222.0"
"47.0","4.0","AZ","ARIZONA","839.0","1582.0","34274.0"
"47.0","40.0","OK","OKLAHOMA","665.0","1336.0","23890.0"
"47.0","55.0","WI","WISCONSIN","610.0","1203.0","26101.0"
"47.0","34.0","NJ","NEW JERSEY","517.0","1010.0","25721.0"
"47.0","25.0","MA","MASSACHUSETTS","501.0","837.0","21023.0"
"47.0","20.0","KS","KANSAS","454.0","981.0","17758.0"
"47.0","27.0","MN","MINNESOTA","445.0","899.0","22146.0"
"47.0","54.0","WV","WEST VIRGINIA","427.0","844.0","14423.0"
"47.0","32.0","NV","NEVADA","422.0","743.0","17382.0"
"47.0","41.0","OR","OREGON","385.0","671.0","21783.0"
"47.0","19.0","IA","IOWA","335.0","733.0","14106.0"
"47.0","15.0","HI","HAWAII","298.0","612.0","11602.0"
"47.0","35.0","NM","NEW MEXICO","281.0","532.0","13051.0"
"47.0","9.0","CT","CONNECTICUT","251.0","472.0","13442.0"
"47.0","49.0","UT","UTAH","237.0","546.0","10074.0"
"47.0","2.0","AK","ALASKA","225.0","468.0","8489.0"
"47.0","11.0","DC","DISTRICT OF COLUMBIA","215.0","267.0","10351.0"
"47.0","31.0","NE","NEBRASKA","203.0","399.0","5897.0"
"47.0","30.0","MT","MONTANA","159.0","300.0","7072.0"
"47.0","16.0","ID","IDAHO","147.0","318.0","6825.0"
"47.0","33.0","NH","NEW HAMPSHIRE","135.0","232.0","6273.0"
"47.0","23.0","ME","MAINE","131.0","237.0","4542.0"
"47.0","46.0","SD","SOUTH DAKOTA","111.0","227.0","5116.0"
"47.0","56.0","WY","WYOMING","110.0","188.0","3475.0"
"47.0","10.0","DE","DELAWARE","103.0","181.0","6576.0"
"47.0","38.0","ND","NORTH DAKOTA","88.0","160.0","3227.0"
"47.0","50.0","VT","VERMONT","82.0","143.0","2783.0"
"47.0","44.0","RI","RHODE ISLAND","73.0","147.0","3117.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
