"KENTUCKY OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Kentucky (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"21.0","96.0","KY","KY Total Mig - US & For","41468.0","82751.0","1674472.0"
"21.0","97.0","KY","KY Total Mig - US","40699.0","81074.0","1642399.0"
"21.0","98.0","KY","KY Total Mig - Foreign","769.0","1677.0","32073.0"
"21.0","21.0","KY","KY Non-Migrants","1480394.0","3269912.0","74601895.0"
"21.0","39.0","OH","OHIO","5128.0","9470.0","188826.0"
"21.0","47.0","TN","TENNESSEE","4662.0","9880.0","166229.0"
"21.0","18.0","IN","INDIANA","4505.0","8943.0","156552.0"
"21.0","12.0","FL","FLORIDA","3986.0","6980.0","181567.0"
"21.0","48.0","TX","TEXAS","2430.0","5376.0","102393.0"
"21.0","13.0","GA","GEORGIA","1707.0","3739.0","68995.0"
"21.0","17.0","IL","ILLINOIS","1527.0","2897.0","59391.0"
"21.0","6.0","CA","CALIFORNIA","1400.0","2496.0","55551.0"
"21.0","37.0","NC","NORTH CAROLINA","1358.0","2910.0","59316.0"
"21.0","51.0","VA","VIRGINIA","1088.0","2267.0","48283.0"
"21.0","26.0","MI","MICHIGAN","1075.0","2196.0","42643.0"
"21.0","1.0","AL","ALABAMA","846.0","1855.0","36271.0"
"21.0","36.0","NY","NEW YORK","846.0","1520.0","29965.0"
"21.0","29.0","MO","MISSOURI","811.0","1724.0","32406.0"
"21.0","45.0","SC","SOUTH CAROLINA","773.0","1554.0","39571.0"
"21.0","57.0","FR","Foreign","769.0","1677.0","32073.0"
"21.0","42.0","PA","PENNSYLVANIA","709.0","1442.0","34103.0"
"21.0","54.0","WV","WEST VIRGINIA","678.0","1353.0","25059.0"
"21.0","8.0","CO","COLORADO","581.0","1175.0","25476.0"
"21.0","4.0","AZ","ARIZONA","556.0","1113.0","23751.0"
"21.0","53.0","WA","WASHINGTON","539.0","1124.0","22936.0"
"21.0","22.0","LA","LOUISIANA","398.0","834.0","16019.0"
"21.0","24.0","MD","MARYLAND","390.0","750.0","19928.0"
"21.0","28.0","MS","MISSISSIPPI","353.0","744.0","14616.0"
"21.0","55.0","WI","WISCONSIN","341.0","636.0","14311.0"
"21.0","40.0","OK","OKLAHOMA","314.0","726.0","12189.0"
"21.0","5.0","AR","ARKANSAS","312.0","652.0","13067.0"
"21.0","20.0","KS","KANSAS","293.0","746.0","13963.0"
"21.0","34.0","NJ","NEW JERSEY","257.0","477.0","17653.0"
"21.0","25.0","MA","MASSACHUSETTS","252.0","437.0","11148.0"
"21.0","27.0","MN","MINNESOTA","243.0","471.0","9783.0"
"21.0","32.0","NV","NEVADA","214.0","355.0","9123.0"
"21.0","41.0","OR","OREGON","209.0","387.0","8258.0"
"21.0","19.0","IA","IOWA","207.0","461.0","11441.0"
"21.0","15.0","HI","HAWAII","196.0","461.0","6719.0"
"21.0","49.0","UT","UTAH","173.0","372.0","7310.0"
"21.0","2.0","AK","ALASKA","172.0","424.0","7860.0"
"21.0","35.0","NM","NEW MEXICO","155.0","280.0","6559.0"
"21.0","9.0","CT","CONNECTICUT","139.0","260.0","8371.0"
"21.0","31.0","NE","NEBRASKA","124.0","254.0","4837.0"
"21.0","11.0","DC","DISTRICT OF COLUMBIA","115.0","139.0","5051.0"
"21.0","16.0","ID","IDAHO","91.0","191.0","3501.0"
"21.0","30.0","MT","MONTANA","81.0","151.0","3076.0"
"21.0","23.0","ME","MAINE","80.0","172.0","3529.0"
"21.0","33.0","NH","NEW HAMPSHIRE","71.0","101.0","2374.0"
"21.0","46.0","SD","SOUTH DAKOTA","66.0","137.0","3350.0"
"21.0","56.0","WY","WYOMING","63.0","122.0","2277.0"
"21.0","10.0","DE","DELAWARE","58.0","115.0","2678.0"
"21.0","50.0","VT","VERMONT","56.0","73.0","1362.0"
"21.0","38.0","ND","NORTH DAKOTA","41.0","80.0","1534.0"
"21.0","44.0","RI","RHODE ISLAND","30.0","52.0","1231.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
