"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,49-Utah,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,Utah,26880,61674,731795"
"06,Ca,California,6822,16370,200649"
"57,FR,Foreign,1752,3279,28251"
"16,Id,Idaho,1745,3926,35863"
"04,Az,Arizona,1667,4090,37238"
"32,Nv,Nevada,1624,3844,39299"
"08,Co,Colorado,1255,2768,33812"
"48,Tx,Texas,1154,2897,42737"
"53,Wa,Washington,1136,2678,30001"
"56,Wy,Wyoming,679,1545,16499"
"41,Or,Oregon,643,1448,14351"
"12,Fl,Florida,584,1353,18087"
"35,NM,New Mexico,506,1329,11579"
"17,Il,Illinois,439,920,15480"
"36,NY,New York,438,865,13599"
"51,Va,Virginia,409,921,14974"
"39,Oh,Ohio,353,833,12459"
"30,Mt,Montana,322,705,8577"
"26,Mi,Michigan,320,663,8694"
"42,Pa,Pennsylvania,313,702,10225"
"15,Hi,Hawaii,271,663,6956"
"29,Mo,Missouri,245,515,7108"
"37,NC,North Carolina,240,550,6424"
"13,Ga,Georgia,236,504,8335"
"27,Mn,Minnesota,227,429,5521"
"24,Md,Maryland,223,451,7378"
"18,In,Indiana,216,478,6373"
"40,Ok,Oklahoma,211,541,6265"
"02,Ak,Alaska,207,478,7298"
"34,NJ,New Jersey,205,469,8891"
"55,Wi,Wisconsin,203,383,4798"
"25,Ma,Massachusetts,199,354,5724"
"20,Ks,Kansas,182,477,5572"
"45,SC,South Carolina,166,434,4591"
"19,Ia,Iowa,164,324,5326"
"22,La,Louisiana,158,423,5161"
"31,Ne,Nebraska,153,384,4047"
"09,Ct,Connecticut,152,284,6124"
"47,Tn,Tennessee,138,313,3384"
"01,Al,Alabama,136,362,4519"
"21,Ky,Kentucky,105,258,3221"
"33,NH,New Hampshire,94,185,1966"
"05,Ar,Arkansas,93,238,2183"
"28,Ms,Mississippi,87,209,2065"
"46,SD,South Dakota,86,192,1817"
"23,Me,Maine,81,152,1812"
"38,ND,North Dakota,73,185,2001"
"50,Vt,Vermont,51,76,1109"
"44,RI,Rhode Island,37,58,729"
"54,WV,West Virginia,33,63,665"
"11,DC,District of Columbia,24,42,597"
"10,De,Delaware,23,64,1461"
"49,Ut S,tate Non-Migrant,531047,1462291,17792104"
