"1992 - 1993  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,38-NorthDakota,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"63,XX,North Dakota,9961,19737,207635"
"27,Mn,Minnesota,2804,4774,54162"
"57,FR,Foreign,783,1712,13457"
"06,Ca,California,650,1296,15393"
"46,SD,South Dakota,585,1177,11297"
"48,Tx,Texas,457,1084,10897"
"30,Mt,Montana,446,914,8077"
"53,Wa,Washington,279,533,5465"
"08,Co,Colorado,264,505,6110"
"04,Az,Arizona,245,515,5378"
"12,Fl,Florida,214,408,3725"
"26,Mi,Michigan,192,451,4523"
"55,Wi,Wisconsin,188,365,4236"
"17,Il,Illinois,187,397,4918"
"19,Ia,Iowa,167,343,3717"
"31,Ne,Nebraska,153,356,4453"
"56,Wy,Wyoming,133,263,3485"
"39,Oh,Ohio,122,238,2317"
"42,Pa,Pennsylvania,118,204,2211"
"29,Mo,Missouri,117,253,2673"
"51,Va,Virginia,115,222,2846"
"37,NC,North Carolina,112,219,2254"
"36,NY,New York,109,187,2160"
"41,Or,Oregon,105,220,2123"
"32,Nv,Nevada,104,206,2075"
"22,La,Louisiana,96,227,1810"
"18,In,Indiana,93,196,1787"
"40,Ok,Oklahoma,90,202,2069"
"02,Ak,Alaska,83,217,2235"
"20,Ks,Kansas,80,189,2175"
"13,Ga,Georgia,71,162,1581"
"16,Id,Idaho,71,161,1321"
"45,SC,South Carolina,68,166,1372"
"05,Ar,Arkansas,64,155,1320"
"24,Md,Maryland,56,109,1293"
"35,NM,New Mexico,56,127,1422"
"21,Ky,Kentucky,55,128,1084"
"49,Ut,Utah,52,128,1082"
"25,Ma,Massachusetts,51,104,1129"
"28,Ms,Mississippi,50,106,1105"
"01,Al,Alabama,49,93,1548"
"47,Tn,Tennessee,47,86,746"
"34,NJ,New Jersey,40,74,1222"
"15,Hi,Hawaii,35,75,711"
"33,NH,New Hampshire,22,39,848"
"54,WV,West Virginia,18,31,414"
"23,Me,Maine,18,28,340"
"09,Ct,Connecticut,18,28,346"
"44,RI,Rhode Island,10,16,227"
"11,DC,District of Columbia,9,20,204"
"10,De,Delaware,7,15,126"
"50,Vt,Vermont,3,13,166"
"38,ND S,tate Non-Migrant,224627,521264,6856110"
