"1993 - 1994 State To State Migration Flows _ OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"FROM:,,MASSACHUSETTS,NUMBER OF,NUMBER OF,TOTAL MONEY"
" ,,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"25, ,Total Outflow,66374,114308,2326392"
"12,Fl,Florida,8515,15015,278242"
"33,NH,New Hampshire,7825,14480,271544"
"36,NY,New York,5596,8341,188607"
"6,Ca,California,5137,7529,185434"
"9,Ct,Connecticut,3811,6349,151556"
"44,RI,Rhode Island,2845,4811,85532"
"57,FR,Foreign,2695,4888,95053"
"51,Va,Virginia,2118,3854,78411"
"23,Me,Maine,2073,3669,64791"
"48,Tx,Texas,1893,3559,77011"
"34,NJ,New Jersey,1850,3202,82837"
"42,Pa,Pennsylvania,1849,3452,76918"
"37,NC,North Carolina,1779,3310,54842"
"13,Ga,Georgia,1583,2914,62195"
"24,Md,Maryland,1386,2403,51946"
"17,Il,Illinois,1308,2105,54842"
"4,Az,Arizona,1273,2373,39703"
"8,Co,Colorado,1262,1912,39380"
"50,Vt,Vermont,1123,1838,30799"
"39,Oh,Ohio,959,1846,42733"
"53,Wa,Washington,934,1452,28694"
"26,Mi,Michigan,732,1362,27698"
"45,SC,South Carolina,672,1315,21294"
"11,DC,District of Columbia,632,758,22141"
"47,Tn,Tennessee,521,994,19460"
"27,Mn,Minnesota,473,819,21310"
"41,Or,Oregon,465,728,16320"
"18,In,Indiana,432,805,14972"
"29,Mo,Missouri,391,668,13024"
"35,NM,New Mexico,370,553,9881"
"32,Nv,Nevada,369,602,14781"
"55,Wi,Wisconsin,354,629,12436"
"15,Hi,Hawaii,334,544,7394"
"21,Ky,Kentucky,317,612,11931"
"1,Al,Alabama,292,613,9465"
"22,La,Louisiana,276,482,6815"
"20,Ks,Kansas,222,434,9647"
"49,Ut,Utah,212,385,6153"
"40,Ok,Oklahoma,181,320,4099"
"19,Ia,Iowa,170,332,5961"
"10,De,Delaware,153,257,4541"
"2,Ak,Alaska,148,251,3201"
"28,Ms,Mississippi,147,291,4316"
"30,Mt,Montana,114,162,2291"
"5,Ar,Arkansas,110,262,3291"
"16,Id,Idaho,103,183,3184"
"31,Ne,Nebraska,102,206,3234"
"54,WV,West Virginia,95,167,2394"
"56,Wy,Wyoming,89,122,1862"
"46,SD,South Dakota,43,80,1275"
"38,ND,North Dakota,41,70,951"
"25,Ma,State Non-Migrant,2200673,4542056,88287652"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
