"1994 - 1995 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"TO:,DELAWARE,,,,,"
",,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME,"
"10, ,Total Inflow,13008,25476,453880,"
"42,Pa,Pennsylvania,3444,6431,113242,"
"24,Md,Maryland,2202,4176,64783,"
"34,NJ,New Jersey,1205,2254,41643,"
"36,NY,New York,866,1773,36356,"
"57,FR,Foreign,644,1358,41041,"
"51,Va,Virginia,541,1040,19017,"
"12,Fl,Florida,532,973,10941,"
"6,Ca,California,386,791,12570,"
"48,Tx,Texas,321,721,14476,"
"37,NC,North Carolina,266,539,9312,"
"45,SC,South Carolina,231,511,5800,"
"39,Oh,Ohio,199,401,8480,"
"13,Ga,Georgia,184,391,5697,"
"25,Ma,Massachusetts,159,286,6971,"
"17,Il,Illinois,139,295,5812,"
"26,Mi,Michigan,128,268,5747,"
"9,Ct,Connecticut,125,237,5402,"
"54,WV,West Virginia,87,165,3322,"
"47,Tn,Tennessee,83,160,2826,"
"8,Co,Colorado,82,181,1731,"
"18,In,Indiana,80,174,3543,"
"11,DC,District of Columbia,79,108,2768,"
"4,Az,Arizona,74,150,2694,"
"40,Ok,Oklahoma,66,169,2474,"
"23,Me,Maine,65,152,2065,"
"53,Wa,Washington,63,148,1839,"
"1,Al,Alabama,56,127,2066,"
"21,Ky,Kentucky,54,102,1440,"
"22,La,Louisiana,53,120,1596,"
"28,Ms,Mississippi,46,96,1040,"
"15,Hi,Hawaii,45,89,1108,"
"20,Ks,Kansas,45,119,1796,"
"29,Mo,Missouri,45,97,1330,"
"55,Wi,Wisconsin,40,71,1385,"
"27,Mn,Minnesota,38,73,1371,"
"44,RI,Rhode Island,35,75,962,"
"33,NH,New Hampshire,34,58,1189,"
"2,Ak,Alaska,30,70,684,"
"19,Ia,Iowa,27,69,1203,"
"35,NM,New Mexico,27,64,696,"
"31,Ne,Nebraska,25,57,811,"
"50,Vt,Vermont,24,51,552,"
"5,Ar,Arkansas,23,42,389,"
"32,Nv,Nevada,22,32,387,"
"49,Ut,Utah,21,53,1187,"
"41,Or,Oregon,20,44,521,"
"38,ND,North Dakota,14,43,379,"
"30,Mt,Montana,10,19,178,"
"56,Wy,Wyoming,9,24,168,"
"16,Id,Idaho,8,21,754,"
"46,SD,South Dakota,6,8,136,"
"10,De,State Non-Migrant,259331,564338,10114378,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,         "
