"1994 - 1995 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"TO:,FOREIGN,,,,,"
",,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME,"
"57, ,Total Inflow,112959,225336,3288310,"
"6,Ca,California,14708,28562,433961,"
"48,Tx,Texas,9320,19341,262843,"
"12,Fl,Florida,7770,15490,193764,"
"51,Va,Virginia,7127,15818,237275,"
"36,NY,New York,7057,13217,292206,"
"13,Ga,Georgia,4377,9229,104817,"
"37,NC,North Carolina,4258,8922,98224,"
"53,Wa,Washington,3405,6924,92010,"
"17,Il,Illinois,3362,6238,108954,"
"24,Md,Maryland,3115,6743,109034,"
"42,Pa,Pennsylvania,2916,5268,82075,"
"34,NJ,New Jersey,2853,6112,123580,"
"25,Ma,Massachusetts,2523,4535,81489,"
"8,Co,Colorado,2502,5329,67100,"
"39,Oh,Ohio,2370,4159,68025,"
"26,Mi,Michigan,2355,4263,75970,"
"45,SC,South Carolina,2148,4422,51969,"
"4,Az,Arizona,1944,3951,51643,"
"15,Hi,Hawaii,1820,3448,45880,"
"1,Al,Alabama,1703,3658,41245,"
"40,Ok,Oklahoma,1672,3686,37698,"
"21,Ky,Kentucky,1539,3201,32502,"
"9,Ct,Connecticut,1519,2862,69627,"
"20,Ks,Kansas,1493,3448,38001,"
"22,La,Louisiana,1463,2897,33638,"
"29,Mo,Missouri,1426,2869,44680,"
"47,Tn,Tennessee,1399,2719,33483,"
"35,NM,New Mexico,1179,2512,27252,"
"18,In,Indiana,1116,2006,30332,"
"28,Ms,Mississippi,997,1849,20109,"
"27,Mn,Minnesota,927,1533,25718,"
"11,DC,District of Columbia,925,1814,43053,"
"41,Or,Oregon,904,1555,21386,"
"55,Wi,Wisconsin,865,1432,20482,"
"32,Nv,Nevada,781,1540,19682,"
"31,Ne,Nebraska,609,1247,14781,"
"49,Ut,Utah,596,1381,15743,"
"5,Ar,Arkansas,587,1063,12674,"
"23,Me,Maine,570,1078,12005,"
"38,ND,North Dakota,569,1169,10844,"
"2,Ak,Alaska,544,1060,15687,"
"16,Id,Idaho,525,990,11700,"
"19,Ia,Iowa,491,817,10717,"
"30,Mt,Montana,393,700,7059,"
"44,RI,Rhode Island,384,794,11281,"
"33,NH,New Hampshire,373,636,12162,"
"46,SD,South Dakota,360,758,7440,"
"10,De,Delaware,334,742,10422,"
"54,WV,West Virginia,327,550,5892,"
"56,Wy,Wyoming,259,489,5381,"
"50,Vt,Vermont,200,310,4815,"
"57,FR,State Non-Migrant,386664,821043,13210417,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,         "
