"1994 - 1995 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"TO:,DISTRICT OF COLUMBIA,,,,,"
",,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME,"
"11, ,Total Inflow,21574,31971,607448,"
"24,Md,Maryland,6392,11534,170498,"
"51,Va,Virginia,3309,4995,111611,"
"57,FR,Foreign,2572,3503,58242,"
"36,NY,New York,1246,1536,44383,"
"6,Ca,California,1174,1531,35133,"
"42,Pa,Pennsylvania,665,814,18145,"
"25,Ma,Massachusetts,628,722,17310,"
"12,Fl,Florida,482,660,12430,"
"48,Tx,Texas,456,664,14660,"
"34,NJ,New Jersey,454,533,11570,"
"37,NC,North Carolina,389,583,7206,"
"17,Il,Illinois,379,456,10971,"
"39,Oh,Ohio,316,367,7090,"
"13,Ga,Georgia,288,414,8157,"
"9,Ct,Connecticut,255,295,8763,"
"26,Mi,Michigan,222,264,7376,"
"8,Co,Colorado,181,224,5292,"
"53,Wa,Washington,147,197,4519,"
"45,SC,South Carolina,136,222,2729,"
"27,Mn,Minnesota,130,155,2998,"
"29,Mo,Missouri,130,158,2987,"
"4,Az,Arizona,108,141,2151,"
"18,In,Indiana,106,128,4249,"
"22,La,Louisiana,105,152,2854,"
"55,Wi,Wisconsin,102,114,2187,"
"47,Tn,Tennessee,98,130,2482,"
"10,De,Delaware,90,112,2442,"
"44,RI,Rhode Island,75,93,1911,"
"41,Or,Oregon,69,87,3507,"
"33,NH,New Hampshire,67,73,1599,"
"35,NM,New Mexico,64,84,2202,"
"1,Al,Alabama,63,96,1747,"
"23,Me,Maine,61,82,1717,"
"15,Hi,Hawaii,61,96,2194,"
"19,Ia,Iowa,59,63,1193,"
"20,Ks,Kansas,58,84,1816,"
"21,Ky,Kentucky,45,57,1085,"
"40,Ok,Oklahoma,43,71,1552,"
"54,WV,West Virginia,40,61,971,"
"5,Ar,Arkansas,40,52,1008,"
"28,Ms,Mississippi,38,49,613,"
"31,Ne,Nebraska,35,56,1029,"
"32,Nv,Nevada,35,45,789,"
"50,Vt,Vermont,33,42,902,"
"49,Ut,Utah,32,48,986,"
"2,Ak,Alaska,27,39,753,"
"16,Id,Idaho,20,25,472,"
"56,Wy,Wyoming,14,19,291,"
"30,Mt,Montana,14,20,286,"
"38,ND,North Dakota,11,15,200,"
"46,SD,South Dakota,10,10,190,"
"11,DC,State Non-Migrant,203048,370208,6830017,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,         "
