"1994 - 1995 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"TO:,GEORGIA,,,,,"
",,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME,"
"13, ,Total Inflow,120493,245698,3812376,"
"12,Fl,Florida,18778,37125,534261,"
"1,Al,Alabama,7388,14956,189827,"
"6,Ca,California,6920,14777,253989,"
"48,Tx,Texas,6901,15333,226490,"
"36,NY,New York,6635,12737,209008,"
"57,FR,Foreign,6624,14496,161337,"
"45,SC,South Carolina,6491,12973,179221,"
"37,NC,North Carolina,6317,12522,250352,"
"47,Tn,Tennessee,5935,11979,176946,"
"51,Va,Virginia,4719,9763,170061,"
"39,Oh,Ohio,3817,7334,132278,"
"17,Il,Illinois,3492,7230,141823,"
"34,NJ,New Jersey,3146,6434,133997,"
"42,Pa,Pennsylvania,2932,5646,96875,"
"26,Mi,Michigan,2449,4708,73144,"
"24,Md,Maryland,2215,4395,82698,"
"22,La,Louisiana,2071,4323,55765,"
"21,Ky,Kentucky,1774,3759,54970,"
"25,Ma,Massachusetts,1719,3149,63871,"
"9,Ct,Connecticut,1667,3368,74994,"
"18,In,Indiana,1627,3231,50069,"
"28,Ms,Mississippi,1591,3199,37030,"
"29,Mo,Missouri,1479,3021,47229,"
"8,Co,Colorado,1334,2750,42799,"
"53,Wa,Washington,1231,2734,37005,"
"4,Az,Arizona,921,2008,29425,"
"20,Ks,Kansas,905,2283,31344,"
"40,Ok,Oklahoma,896,1959,23168,"
"55,Wi,Wisconsin,858,1634,27953,"
"15,Hi,Hawaii,783,1953,21542,"
"5,Ar,Arkansas,709,1496,20840,"
"27,Mn,Minnesota,675,1358,26144,"
"54,WV,West Virginia,558,1062,12790,"
"2,Ak,Alaska,513,1248,12763,"
"19,Ia,Iowa,426,790,13009,"
"35,NM,New Mexico,367,773,9109,"
"11,DC,District of Columbia,363,569,11095,"
"41,Or,Oregon,353,680,9753,"
"33,NH,New Hampshire,345,671,12328,"
"31,Ne,Nebraska,333,707,11173,"
"49,Ut,Utah,333,790,13331,"
"32,Nv,Nevada,332,644,9388,"
"23,Me,Maine,292,578,7421,"
"44,RI,Rhode Island,291,557,9446,"
"10,De,Delaware,269,509,8163,"
"16,Id,Idaho,160,363,3836,"
"38,ND,North Dakota,121,267,3037,"
"50,Vt,Vermont,121,222,2875,"
"30,Mt,Montana,119,223,2460,"
"46,SD,South Dakota,106,232,2148,"
"56,Wy,Wyoming,92,180,1796,"
"13,Ga,State Non-Migrant,2335771,5274236,82200448,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,         "
