"1994 - 1995 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"TO:,CONNECTICUT,,,,,"
",,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME,"
"9, ,Total Inflow,35221,64065,1735618,"
"36,NY,New York,8578,15818,577432,"
"25,Ma,Massachusetts,3928,6436,153973,"
"12,Fl,Florida,2594,4572,82985,"
"6,Ca,California,2155,4068,117300,"
"34,NJ,New Jersey,1884,3500,123601,"
"57,FR,Foreign,1804,2908,71373,"
"42,Pa,Pennsylvania,1329,2461,70916,"
"44,RI,Rhode Island,1130,1884,37582,"
"51,Va,Virginia,1059,2188,40826,"
"48,Tx,Texas,839,1702,54399,"
"37,NC,North Carolina,707,1301,19478,"
"45,SC,South Carolina,690,1681,19918,"
"17,Il,Illinois,668,1329,51459,"
"24,Md,Maryland,632,1148,31220,"
"13,Ga,Georgia,608,1220,23572,"
"39,Oh,Ohio,599,1109,30263,"
"33,NH,New Hampshire,596,1051,20952,"
"23,Me,Maine,541,999,13067,"
"8,Co,Colorado,397,649,16273,"
"26,Mi,Michigan,383,719,19472,"
"50,Vt,Vermont,369,573,9812,"
"53,Wa,Washington,300,572,12150,"
"4,Az,Arizona,288,471,8497,"
"29,Mo,Missouri,209,396,8968,"
"18,In,Indiana,208,375,9199,"
"11,DC,District of Columbia,206,283,8128,"
"27,Mn,Minnesota,206,376,11252,"
"47,Tn,Tennessee,201,385,9315,"
"55,Wi,Wisconsin,182,311,9413,"
"15,Hi,Hawaii,173,359,4603,"
"22,La,Louisiana,149,285,5279,"
"41,Or,Oregon,139,232,4624,"
"1,Al,Alabama,133,250,4154,"
"21,Ky,Kentucky,130,242,6026,"
"20,Ks,Kansas,122,237,10438,"
"40,Ok,Oklahoma,104,183,3795,"
"10,De,Delaware,101,200,5414,"
"32,Nv,Nevada,100,175,3868,"
"35,NM,New Mexico,91,143,3072,"
"28,Ms,Mississippi,90,172,2209,"
"19,Ia,Iowa,90,179,5240,"
"49,Ut,Utah,84,168,2721,"
"31,Ne,Nebraska,67,125,2163,"
"54,WV,West Virginia,63,114,1627,"
"5,Ar,Arkansas,60,107,1348,"
"30,Mt,Montana,53,76,1057,"
"2,Ak,Alaska,52,89,1076,"
"16,Id,Idaho,50,103,2180,"
"56,Wy,Wyoming,40,57,1036,"
"46,SD,South Dakota,24,45,469,"
"38,ND,North Dakota,16,39,424,"
"9,Ct,State Non-Migrant,1209762,2539958,58713546,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,         "
