,State,Year,NOR(I),NOE(I),NOR(O),NOE(O)
86,KY,2005,42459,86301,39764,78360
87,TX,2005,228934,497625,160307,328077
88,NY,2005,134554,213603,207250,383235
89,AR,2005,33838,72526,27455,56466
90,HI,2005,24644,46392,23887,49348
91,WV,2005,19058,38294,18495,34497
92,RI,2005,12295,20730,17049,30730
93,AK,2005,14616,28630,14990,30159
94,OH,2005,73759,142377,99466,180135
95,OR,2005,55694,102605,42674,78227
96,FL,2005,277984,521112,214846,402198
97,PA,2005,102205,196892,109959,192753
98,MD,2005,77007,137899,83839,157777
99,NM,2005,30861,62082,27563,54974
100,MI,2005,50513,96424,81374,148535
101,NE,2005,18691,37638,21901,42520
102,AZ,2006,105104,202706,76482,148816
103,NY,2006,137761,217874,203913,367976
104,KY,2006,42820,86737,38097,75081
105,WA,2006,85003,160676,78028,149010
106,KS,2006,35349,72973,38298,75931
107,PA,2006,99759,188015,109684,191391
108,NE,2006,18481,37117,22035,42649
109,TX,2006,214272,461085,174691,357094
110,OK,2006,39944,84974,37177,76664
111,ID,2006,25638,55327,20067,40985
112,TN,2006,81200,163593,63468,125276
113,IA,2006,28094,54950,30979,56644
114,ME,2006,14570,25899,14546,24404
115,MN,2006,43514,77932,45679,80804
116,OR,2006,52865,94914,43199,79181
117,NH,2006,20459,34880,22045,36837
118,VA,2006,116921,220849,122499,237549
119,IN,2006,56447,113748,59788,112672
120,SD,2006,11371,21952,11187,20215
121,FL,2006,241692,443879,227388,427684
122,NJ,2006,76751,137606,105768,196008
123,WI,2006,42498,81002,48692,85355
124,LA,2006,49085,102400,42980,88401
125,IL,2006,100067,177872,116419,218027
126,CO,2006,78609,148395,65775,124340
127,AL,2006,45469,96146,40071,80743
128,WY,2006,13223,26078,11084,20744
129,MT,2006,16235,30513,14037,25264
130,MO,2006,60813,118525,58599,111105
131,NV,2006,63010,118803,46767,88707
132,CT,2006,34293,60978,43270,75577
133,OH,2006,73353,140424,99929,180765
134,NC,2006,137112,277346,101273,198815
135,MA,2006,60804,94442,75809,124828
136,NM,2006,30337,60963,28370,56171
137,VT,2006,8933,14597,10397,16238
138,SC,2006,66973,133518,48617,94285
139,MI,2006,48457,91690,87173,159690
140,HI,2006,21886,40261,24463,49188
141,AK,2006,13940,27209,14954,30016
142,UT,2006,32728,75302,27340,60443
143,DE,2006,15190,28500,13167,24261
144,AR,2006,31547,66971,28345,58237
145,MS,2006,30281,63732,29828,60858
146,RI,2006,12128,20569,16559,29198
147,ND,2006,9192,16512,10554,19093
148,CA,2006,207960,357500,276414,562517
149,GA,2006,133595,276570,100208,203875
150,WV,2006,18251,36338,17581,32685
151,DC,2006,23761,31745,23543,37403
152,MD,2006,73098,129107,83406,155643
153,MN,1992,43975,83989,37766,68900
154,UT,1992,26880,61674,19362,45521
155,OR,1992,51485,102570,35201,68756
156,HI,1992,28032,54928,27035,59419
157,AL,1992,47503,106325,39014,84173
158,DC,1992,22411,34567,26708,47204
159,CO,1992,87565,173346,59349,119994
160,WV,1992,19287,41006,16961,33469
161,WI,1992,43659,86733,38808,70304
162,VT,1992,8694,15499,8614,14684
163,DE,1992,12238,23854,10609,21024
164,ME,1992,13877,26986,15339,28653
165,ND,1992,9961,19737,10628,21501
166,NJ,1992,74088,141858,90863,171741
167,OH,1992,81917,164435,88499,170199
168,NY,1992,111721,190365,172503,323915
169,MA,1992,56749,92664,69209,119348
