,State,Year,NOR(I),NOE(I),NOR(O),NOE(O)
604,MT,1995,15455,30895,13988,27203
605,HI,1995,22105,43920,25722,54359
606,VA,1995,113168,226285,107274,215959
607,DE,1995,12453,23826,10880,21219
608,NC,1995,118952,240626,85138,173409
609,MD,1995,68915,130820,71953,137560
610,NM,1995,32407,67836,30307,64504
611,OH,1995,82961,162558,90090,170554
612,SC,1993,50650,105867,45749,97583
613,CT,1993,32765,60222,45825,82784
614,KY,1993,43381,91853,38010,79204
615,FL,1993,232171,450837,172385,337645
616,DE,1993,12542,24583,10645,20950
617,NJ,1993,72179,138459,88575,166475
618,RI,1993,10648,19253,14025,26247
619,UT,1993,27155,62044,19906,46060
620,MS,1993,31013,67656,26799,57177
621,MI,1993,57850,115932,72794,138288
622,OK,1993,41111,90646,39338,85234
623,IN,1993,56535,118003,54068,106861
624,AL,1993,45166,99797,40013,85341
625,VT,1993,9079,16189,8877,14966
626,NH,1993,20718,38269,19251,34122
627,ME,1993,13627,25915,15534,28975
628,NY,1993,109394,185083,176768,335227
629,AZ,1993,95113,192511,59102,121848
630,KS,1993,39168,84845,38533,82309
631,HI,1993,25397,48917,25529,54223
632,CO,1993,86089,169440,61563,122882
633,MN,1993,42779,81200,39283,71967
634,MD,1993,71569,137427,70331,136975
635,ND,1993,9773,19549,10475,21090
636,AK,1993,15970,32454,15715,34092
637,TN,1993,74079,158053,53736,111972
638,IL,1993,93362,177649,115103,227989
639,VA,1993,115360,233660,105251,216663
640,NM,1993,35354,76358,27416,60676
641,MT,1993,16360,33670,12752,24998
642,IA,1993,28112,57171,31400,59791
643,GA,1993,116800,242027,80465,168130
644,OR,1993,49753,97944,36675,71325
645,CA,1993,189073,344116,320472,674796
646,NC,1993,111115,228102,79073,164947
647,NE,1993,20015,42880,20539,42718
648,DC,1993,21420,32769,26659,47473
649,PA,1993,85442,167308,95899,176363
650,WI,1993,41164,82280,40008,73262
651,OH,1993,78115,156038,89856,171760
652,WV,1993,17770,37036,17591,34517
653,TX,1993,192961,423431,158814,347364
654,ID,1993,23892,53961,16176,34811
655,MO,1993,62581,128587,55221,111549
656,SD,1993,11355,23252,10455,21137
657,NV,1993,53582,106346,29105,56796
658,MA,1993,59024,96551,66374,114308
659,WY,1993,11178,24015,10501,21528
660,WA,1993,82970,166275,67884,137728
661,AR,1993,33680,74709,26822,57955
662,LA,1993,40694,87789,42958,93412
663,MS,1991,28218,62066,28242,60091
664,MA,1991,51658,84860,76152,129074
665,ME,1991,13543,26061,16529,30890
666,MN,1991,40925,77062,38568,69731
667,WI,1991,42511,84449,38578,69547
668,ND,1991,9336,18151,10454,20934
669,NV,1991,44874,86785,31678,62032
670,AL,1991,46542,102913,,
671,NY,1991,110454,190760,178670,332310
672,SD,1991,11128,22972,10160,20429
673,KS,1991,40093,86107,36753,78378
674,WA,1991,92283,185242,62592,126464
675,NE,1991,20540,43928,20744,42726
676,DC,1991,21782,33401,27200,47311
677,OK,1991,44697,98392,39741,85947
678,UT,1991,25255,57229,19490,45721
679,OR,1991,49812,98491,36917,71599
680,NJ,1991,74712,140581,94315,177826
681,CT,1991,32886,59120,50932,91515
682,VT,1991,8253,14282,8673,14688
683,IL,1991,97177,183952,113789,223754
684,AZ,1991,81208,164093,63456,130324
685,TX,1991,185320,405660,164705,358520
686,TN,1991,69635,148111,54480,112652
687,WY,1991,11290,23985,10438,21697
688,FL,1991,241395,467487,184713,356413
689,ID,1991,21994,49495,16084,34438
690,VA,1991,119577,240697,103647,211080
691,DE,1991,12431,24194,10716,21056
692,KY,1991,44724,94795,36614,76366
693,WV,1991,19506,40646,18006,35588
694,MT,1991,15683,32268,12505,24217
695,MD,1991,72208,137091,71832,138978
696,GA,1991,109107,228903,83240,173525
697,PA,1991,90135,175474,98146,180403
698,RI,1991,11046,20017,14249,26742
699,NM,1991,32839,72759,27711,61497
700,MI,1991,58404,115154,74194,138571
701,CA,1991,236007,429962,281887,577023
702,IN,1991,55953,115994,54139,105433
703,MO,1991,57093,117306,57217,114444
704,AK,1991,18803,39702,16028,34336
705,HI,1991,28167,54272,25420,54155
706,AR,1991,32095,71169,27951,59690
707,SC,1991,52281,109795,45674,97182
708,LA,1991,43597,92626,45084,97527
709,NC,1991,103141,210420,76509,157748
710,CO,1991,82368,163823,58376,117374
711,IA,1991,29001,59172,30297,57047
712,OH,1991,83635,167213,88084,168434
713,NH,1991,19790,36187,21233,37994
714,ND,2000,8498,15309,11719,21767
715,VA,2000,125679,238519,112519,214582
716,HI,2000,24036,45432,23214,47362
717,WA,2000,88606,166261,79063,151974
718,MN,2000,49711,90098,46247,81840
719,AR,2000,29808,62874,30008,61512
720,KS,2000,37317,75010,42580,85661
721,AZ,2000,100496,189668,75138,143187
722,WV,2000,17858,34807,20663,38380
723,NV,2000,58344,109622,38937,72154
724,CT,2000,39182,70090,43809,75558
725,MA,2000,77782,119024,77424,128607
726,OH,2000,83763,157522,100436,183321
727,NM,2000,28628,58137,32430,65585
728,MT,2000,15084,28364,16127,28990
729,NY,2000,143903,223523,190314,340850
730,MI,2000,65394,124401,76676,138305
731,KY,2000,44118,88096,43705,86207
732,IL,2000,104233,184133,128424,240447
733,OR,2000,53049,95705,46270,85708
734,DC,2000,25243,35717,23754,38656
735,UT,2000,27817,58511,30171,66062
736,SD,2000,10753,20726,11899,22178
737,TX,2000,201363,407015,179860,366941
738,WI,2000,45717,87412,47478,83311
739,WY,2000,10777,20983,12175,23174
740,ID,2000,21950,46523,20432,41282
741,NJ,2000,87377,157645,97175,173955
742,IA,2000,28601,55531,35961,65571
743,PA,2000,95506,175957,109246,190118
744,AK,2000,13779,27142,14539,29540
745,MS,2000,29033,59477,32429,65274
746,IN,2000,57459,113244,62924,117357
747,FL,2000,263746,488310,190943,347404
748,OK,2000,39401,82707,43357,89103
749,NC,2000,119378,228406,100564,195718
750,RI,2000,15104,26167,14029,23907
751,NH,2000,25414,46493,21424,35821
752,VT,2000,10511,17472,10257,16439
753,DE,2000,14234,26068,12675,23307
754,MO,2000,62494,120457,61773,117058
755,TN,2000,71555,142163,67223,133530
756,ME,2000,16517,30056,14937,24863
757,CA,2000,265793,447702,245677,471816
758,LA,2000,35414,69210,45771,91481
759,SC,2000,56024,108343,51397,98179
760,CO,2000,93455,171814,71907,135204
761,NE,2000,19916,39639,24027,46776
762,GA,2000,131359,253291,103647,204607
763,MD,2000,82129,148520,74458,135731
764,AL,2000,40762,85133,44961,90288
765,MI,1996,63522,124481,72659,135167
766,GA,1996,122203,248050,93088,187641
767,NE,1996,20731,43526,22779,45734
768,NC,1996,121279,239998,89062,179252
769,WV,1996,17590,35633,20133,38807
770,VA,1996,116266,229353,109226,218437
771,AZ,1996,97202,187522,67133,131875
772,MS,1996,30665,65038,29567,60850
773,WI,1996,41691,82002,45162,82626
774,ND,1996,9171,17981,11290,22269
775,CO,1996,85625,160407,66357,128729
776,KY,1996,43689,91018,40795,83135
777,HI,1996,21653,42235,24794,51551
778,NH,1996,22560,41300,20424,35771
779,OR,1996,51996,97656,40873,77205
780,AL,1996,45732,98227,42206,87804
781,CA,1996,228764,396095,247534,501645
782,TX,1996,190354,399159,168365,357149
783,UT,1996,27519,59370,24110,54096
784,PA,1996,83794,159112,106257,192681
785,MA,1996,67156,106990,67764,114173
786,TN,1996,76342,155860,62082,126590
787,DC,1996,20674,30813,24941,42771
788,NM,1996,30639,62606,31883,66866
789,NY,1996,115811,187637,190064,350411
790,IA,1996,28684,57365,33625,63458
791,CT,1996,35624,64742,45841,81848
792,AK,1996,14212,28545,15190,31979
793,ME,1996,14348,27059,15068,26316
794,OH,1996,83283,161335,96232,181078
795,DE,1996,12966,24442,11381,21790
796,WY,1996,10023,20388,11478,23199
797,KS,1996,38360,80548,39330,81886
798,SC,1996,55564,112852,45377,90596
799,WA,1996,87565,170956,71293,140169
800,IL,1996,97206,181194,122718,236286
801,LA,1996,37064,76001,43185,89699
802,MN,1996,44580,84679,44388,81090
803,MT,1996,14569,28148,15513,29917
804,ID,1996,21717,47155,18695,38775
805,AR,1996,31377,67748,29635,62576
806,RI,1996,11641,20499,13667,24644
807,IN,1996,58345,118909,59329,115523
808,MD,1996,70915,133773,74091,140937
809,NJ,1996,76004,142434,93813,173687
810,OK,1996,42232,91479,41136,87101
811,FL,1996,245522,465693,180038,342940
812,SD,1996,9933,19899,11960,23615
813,NV,1996,57355,111245,33381,63691
814,MO,1996,63202,127201,58367,114533
815,VT,1996,9177,15692,9631,15961
816,AK,2001,14634,29497,14052,28522
817,NJ,2001,87443,158162,97564,176114
818,NV,2001,58006,109837,40628,75415
819,OH,2001,82237,152750,96883,176643
820,LA,2001,37193,72228,42484,84716
821,IN,2001,56827,110621,61742,115757
822,NH,2001,24720,44495,21689,36644
823,DC,2001,23484,33275,24648,40330
824,HI,2001,25139,47091,22611,45808
825,WA,2001,85685,159342,77748,148062
826,SC,2001,56506,109844,49741,94443
827,TX,2001,196447,398262,174817,352335
828,IA,2001,28443,54823,34371,63363
829,MI,2001,62612,117674,75755,137748
830,AL,2001,40994,84568,43025,86851
831,CO,2001,84950,154879,76583,143176
832,NY,2001,142696,224554,194134,349429
833,KY,2001,44319,87842,42098,83113
834,NC,2001,116753,222207,100327,194687
835,MT,2001,15761,29628,15735,28504
836,OR,2001,52902,94890,43938,79996
837,NM,2001,31068,62084,28795,58616
838,MN,2001,46342,82757,47695,85415
839,NE,2001,20157,40212,23301,45373
840,GA,2001,123810,240424,103539,204358
841,KS,2001,38130,77163,41486,84186
842,WI,2001,45551,86270,46287,81116
843,ME,2001,17306,31367,14453,24120
844,MS,2001,29749,60455,31688,63801
845,TN,2001,71285,141043,64416,127250
846,MD,2001,83742,150639,73598,134447
847,ID,2001,22035,46157,20133,40488
848,MO,2001,63138,121585,61072,115684
849,UT,2001,27357,56900,29197,64299
850,FL,2001,274588,510424,191507,347559
851,OK,2001,40999,84729,40303,82590
852,AZ,2001,101093,191551,74521,140774
853,CA,2001,240139,407757,260174,494493
854,VT,2001,10512,17312,10040,15979
855,ND,2001,8818,16014,11071,20234
856,CT,2001,40096,71022,42246,73010
857,RI,2001,15683,27348,14134,24296
858,PA,2001,100039,184636,105038,183876
859,IL,2001,100309,177085,126190,235811
860,DE,2001,14578,26849,12327,22957
861,WY,2001,12026,23728,11342,21251
862,VA,2001,126095,238157,111993,214188
863,MA,2001,72444,110127,81305,136473
864,AR,2001,30120,62464,29493,60415
865,WV,2001,19614,38414,18760,34998
866,SD,2001,10869,20739,11960,22224
867,SD,1994,11739,24079,11178,22491
868,CA,1994,198917,353108,302694,628896
869,NJ,1994,76092,144626,91714,170868
870,WI,1994,43035,86128,41482,75520
871,LA,1994,40370,83784,41936,88365
872,AL,1994,45371,98322,42159,88494
873,RI,1994,11052,19892,14660,27183
874,NC,1994,118754,240838,83713,169504
875,MD,1994,72701,138222,72115,137687
876,IN,1994,60108,123956,56287,110595
877,OH,1994,85201,168029,92277,175469
878,ID,1994,23282,51953,17322,36883
879,SC,1994,53951,111230,48046,100705
880,NH,1994,22332,40986,19934,35252
881,OR,1994,51743,100761,37446,72509
882,AZ,1994,101506,202232,62602,125418
883,KS,1994,38602,82942,40214,85317
884,UT,1994,27267,60890,22378,51036
885,NM,1994,34744,73363,29508,63945
886,TN,1994,77631,161880,56549,116102
887,WY,1994,11376,23467,11246,22981
888,AR,1994,34166,74697,26901,56316
889,DE,1994,13008,25476,11193,21749
890,NV,1994,54030,105624,32538,62371
891,WA,1994,87044,173899,69079,138588
892,MT,1994,16628,33630,13141,25678
893,MS,1994,31420,67454,28410,59416
894,DC,1994,21574,31971,27219,47053
895,MA,1994,63020,100813,69160,118337
896,KY,1994,44338,93214,40270,82883
897,MN,1994,43745,82800,41034,74495
898,MO,1994,63759,130307,56273,111060
899,IA,1994,29479,59770,31635,59500
900,AK,1994,14549,29432,17154,37094
901,PA,1994,87531,167845,101919,186892
902,NY,1994,114890,189208,187090,351237
903,VA,1994,117269,235748,109094,220884
904,WV,1994,18546,38445,18832,36232
905,HI,1994,24194,47986,26917,56232
906,IL,1994,98259,185949,118129,231095
907,OK,1994,41632,91338,40763,87499
908,ND,1994,10764,21648,11243,22588
909,GA,1994,120493,245698,86801,176821
910,FL,1994,239487,458612,181525,351575
911,NE,1994,21682,46321,21155,43453
912,VT,1994,9362,16541,9139,15362
913,ME,1994,14206,26922,15349,28307
914,CT,1994,35221,64065,46476,83096
915,CO,1994,88633,172074,65912,130900
916,MI,1994,65948,130526,70757,132184
917,TX,1994,188255,403797,167105,360478
918,IL,1998,102659,186300,125262,239627
919,TX,1998,197297,404855,175287,363449
920,AK,1998,13994,28207,15068,31402
921,AR,1998,30367,64786,30259,62683
922,NM,1998,29567,60486,34061,71004
923,ID,1998,21256,45231,19179,39292
924,WI,1998,44832,86929,45920,82375
925,IA,1998,29655,59346,33790,62738
926,DE,1998,14176,26494,11862,22242
927,WY,1998,10350,20608,11884,23339
928,LA,1998,37139,73879,43556,87607
929,MN,1998,48893,91243,44347,79933
930,NV,1998,56162,106072,37362,70328
931,UT,1998,26947,56905,28447,63091
932,DC,1998,23954,34429,23831,39904
933,MD,1998,74811,138090,74014,138290
934,NE,1998,20852,42697,23802,47637
935,CT,1998,37959,68166,43575,76927
936,IN,1998,58223,117189,60712,116091
937,PA,1998,90804,170151,106514,190199
938,FL,1998,239081,448708,193706,359749
939,OR,1998,50733,93358,45535,85103
940,GA,1998,128557,254829,95531,191960
941,SD,1998,10634,21099,11884,22766
942,WV,1998,17812,35582,20180,38293
943,NH,1998,23823,43862,20922,35740
944,MA,1998,72181,112516,70815,118460
945,MO,1998,61850,122650,60423,117213
946,KS,1998,39317,81719,41111,84064
947,AL,1998,42907,90605,44306,91064
948,NY,1998,133494,212758,182134,330094
949,VT,1998,9721,16529,9895,16080
950,AZ,1998,98090,186545,70630,136242
951,MT,1998,14968,28871,15518,28930
952,ND,1998,8828,16766,12035,23598
953,MI,1998,65298,127861,73833,135702
954,OK,1998,40710,87016,42288,88145
955,CA,1998,241352,415323,240877,470359
956,HI,1998,20525,39074,25454,52955
957,SC,1998,58813,116786,47930,93923
958,CO,1998,90938,170416,68569,130896
959,ME,1998,15285,28042,14782,25284
960,KY,1998,45028,92540,42407,86114
961,WA,1998,85094,161556,78100,152597
962,OH,1998,84953,162719,98259,182663
963,TN,1998,74199,150492,64816,131080
964,RI,1998,13220,23272,13405,23411
965,VA,1998,121376,236004,108597,212854
966,NJ,1998,81591,150742,93878,170613
967,NC,1998,121795,236916,96143,190490
968,MS,1998,30457,63814,30629,62472
969,VA,2010,112679.0,214713.0,108379.0,205891.0
970,DC,2010,28204.0,37682.0,23840.0,35886.0
971,AR,2010,29511.0,60755.0,28352.0,57111.0
972,UT,2010,27450.0,60220.0,28584.0,64623.0
973,FL,2010,263968.0,448771.0,202928.0,364715.0
974,GA,2010,116870.0,227748.0,111863.0,221836.0
975,NM,2010,27517.0,55945.0,27152.0,53008.0
976,RI,2010,11730.0,19691.0,14289.0,23959.0
977,MT,2010,14478.0,26529.0,13933.0,24676.0
978,AZ,2010,83528.0,158038.0,80278.0,162164.0
979,HI,2010,23981.0,46639.0,23278.0,47652.0
980,MD,2010,72082.0,129109.0,73188.0,128947.0
981,ME,2010,13114.0,22210.0,13701.0,21953.0
982,NC,2010,114845.0,226709.0,101963.0,201396.0
983,NE,2010,18990.0,37435.0,20264.0,39014.0
984,OR,2010,48426.0,84662.0,42231.0,76798.0
985,NH,2010,18136.0,30221.0,20205.0,32003.0
986,ND,2010,12398.0,22576.0,10084.0,18326.0
987,SD,2010,12040.0,22060.0,11361.0,20353.0
988,OH,2010,70928.0,132463.0,90160.0,161486.0
989,OK,2010,37795.0,79695.0,36286.0,74127.0
990,WI,2010,39974.0,73884.0,45464.0,79212.0
991,IL,2010,91245.0,160779.0,116056.0,209921.0
992,DE,2010,13862.0,25339.0,12576.0,22859.0
993,TX,2010,210595.0,431973.0,169226.0,339560.0
994,MI,2010,56552.0,104529.0,74774.0,133367.0
995,PA,2010,94657.0,169923.0,103678.0,175692.0
996,WV,2010,17520.0,33030.0,17290.0,31302.0
997,TN,2010,71924.0,141345.0,65801.0,128916.0
998,SC,2010,58319.0,113840.0,51582.0,98618.0
999,CO,2010,79219.0,145535.0,67609.0,127873.0
1000,IN,2010,50934.0,100414.0,56618.0,106864.0
1001,KS,2010,33661.0,68911.0,38744.0,76973.0
1002,WY,2010,12259.0,23253.0,12565.0,23874.0
1003,MO,2010,55637.0,106395.0,60740.0,115708.0
1004,CA,2010,215214.0,383709.0,223858.0,412899.0
1005,IA,2010,28198.0,54032.0,30417.0,55759.0
1006,AK,2010,16156.0,30965.0,16007.0,32656.0
1007,MS,2010,27655.0,56709.0,29441.0,58960.0
1008,VT,2010,8586.0,13488.0,9359.0,14112.0
1009,AL,2010,42880.0,89794.0,43563.0,88001.0
1010,NY,2010,148487.0,232431.0,176864.0,300555.0
1011,WA,2010,84338.0,161811.0,75099.0,142475.0
1012,NJ,2010,74343.0,132568.0,93872.0,161047.0
1013,NV,2010,46479.0,85959.0,47545.0,91923.0
1014,ID,2010,20993.0,43680.0,21023.0,43529.0
1015,MN,2010,41038.0,73463.0,45173.0,77893.0
1016,MA,2010,61868.0,95891.0,67098.0,104986.0
1017,LA,2010,38815.0,77576.0,38907.0,76256.0
1018,KY,2010,40604.0,82257.0,40699.0,81074.0
1019,CT,2010,33044.0,57548.0,39759.0,66114.0
1020,NC,1999,121122,233807,98355,193275
1021,MN,1999,49529,91033,44776,80403
1022,HI,1999,21589,40120,24402,50428
1023,NE,1999,20244,41021,23781,47220
1024,GA,1999,138164,263123,99246,198215
1025,TX,1999,197948,404246,178470,365607
1026,TN,1999,74317,148942,65781,131290
1027,IA,1999,29132,57322,34422,63378
1028,WI,1999,46043,88942,45409,80482
1029,ND,1999,8429,15681,11650,22045
1030,FL,1999,248066,461488,193024,356119
1031,MI,1999,67452,129731,73724,134570
1032,RI,1999,14292,25188,13414,23219
1033,NJ,1999,83895,153151,96470,174759
1034,UT,1999,27381,57528,29014,64006
1035,AK,1999,13238,26160,15056,30901
1036,AL,1999,42484,89127,45291,92405
1037,DE,1999,14352,26513,12086,22510
1038,IL,1999,102905,185077,128306,242746
1039,IN,1999,59122,117148,60696,114516
1040,MO,1999,63321,125122,61599,117636
1041,WV,1999,17804,35108,20475,38412
1042,OR,1999,49621,90653,47243,87472
1043,NV,1999,58339,110075,38768,72494
1044,SD,1999,10766,20971,11526,21546
1045,NY,1999,138024,216768,185115,333073
1046,MD,1999,77935,143226,74201,137591
1047,WA,1999,85036,159371,81531,159032
1048,MA,1999,72772,112773,74231,122923
1049,VT,1999,10351,17444,9758,15837
1050,MT,1999,15388,29442,15684,28531
1051,CO,1999,89244,165004,71384,134194
1052,ME,1999,16566,30459,14435,24657
1053,WY,1999,10779,21402,11764,22587
1054,KY,1999,44552,90614,42922,85117
1055,CT,1999,39333,70686,43526,75569
1056,PA,1999,93702,174333,108013,190833
1057,MS,1999,30551,63443,31228,63268
1058,OH,1999,84546,160846,98701,180953
1059,SC,1999,57885,113219,50063,95695
1060,NM,1999,29834,60905,32656,66938
1061,OK,1999,39386,83245,43343,89776
1062,NH,1999,24668,44983,20837,35456
1063,VA,1999,127196,243494,107892,209319
1064,ID,1999,21906,46778,19652,40240
1065,AZ,1999,100372,191560,73765,141670
1066,KS,1999,37959,77823,41324,83866
1067,DC,1999,23881,34278,24353,40489
1068,AR,1999,31141,65446,29338,59853
1069,CA,1999,251035,426328,246887,481135
1070,LA,1999,35699,70580,45504,91484
