"1990 - 1991 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,50-Vermont,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,9405,,16248,"
"36,Ny,New York,1243,13.22,2259,13.9"
"33,Nh,New Hampshire,1225,13.02,2166,13.33"
"12,Fl,Florida,994,10.57,1725,10.62"
"25,Ma,Massachusetts,984,10.46,1502,9.24"
"06,Ca,California,497,5.28,734,4.52"
"09,Ct,Connecticut,424,4.51,695,4.28"
"23,Me,Maine,274,2.91,532,3.27"
"57,FR,Foreign,260,2.76,430,2.65"
"51,Va,Virginia,257,2.73,464,2.86"
"37,Nc,North Carolina,246,2.62,465,2.86"
"42,Pa,Pennsylvania,242,2.57,440,2.71"
"08,Co,Colorado,241,2.56,342,2.1"
"34,Nj,New Jersey,229,2.43,395,2.43"
"48,Tx,Texas,196,2.08,394,2.42"
"53,Wa,Washington,174,1.85,289,1.78"
"39,Oh,Ohio,156,1.66,324,1.99"
"04,Az,Arizona,142,1.51,225,1.38"
"24,Md,Maryland,138,1.47,219,1.35"
"45,Sc,South Carolina,113,1.2,221,1.36"
"13,Ga,Georgia,112,1.19,205,1.26"
"44,Ri,Rhode Island,95,1.01,156,0.96"
"17,Il,Illinois,90,0.96,144,0.89"
"41,Or,Oregon,87,0.93,138,0.85"
"26,Mi,Michigan,72,0.77,157,0.97"
"27,Mn,Minnesota,70,0.74,141,0.87"
"47,Tn,Tennessee,62,0.66,139,0.86"
"49,Ut,Utah,55,0.58,83,0.51"
"32,Nv,Nevada,51,0.54,87,0.54"
"15,Hi,Hawaii,48,0.51,75,0.46"
"55,Wi,Wisconsin,48,0.51,74,0.46"
"18,In,Indiana,48,0.51,81,0.5"
"35,Nm,New Mexico,43,0.46,66,0.41"
"22,La,Louisiana,40,0.43,68,0.42"
"56,Wy,Wyoming,37,0.39,48,0.3"
"02,Ak,Alaska,37,0.39,63,0.39"
"11,Dc,District of Columbia,36,0.38,41,0.25"
"21,Ky,Kentucky,33,0.35,61,0.38"
"16,Id,Idaho,33,0.35,50,0.31"
"19,Ia,Iowa,32,0.34,63,0.39"
"54,Wv,West Virginia,29,0.31,72,0.44"
"30,Mt,Montana,28,0.3,57,0.35"
"01,Al,Alabama,28,0.3,55,0.34"
"29,Mo,Missouri,25,0.27,57,0.35"
"40,Ok,Oklahoma,25,0.27,43,0.26"
"20,Ks,Kansas,23,0.24,46,0.28"
"10,De,Delaware,19,0.2,34,0.21"
"28,Ms,Mississippi,18,0.19,33,0.2"
"31,Ne,Nebraska,17,0.18,35,0.22"
"05,Ar,Arkansas,15,0.16,26,0.16"
"38,Nd,North Dakota,9,0.1,12,0.07"
"46,Sd,South Dakota,5,0.05,17,0.1"
"50,,State Non-Migrant,209020,,456315,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
