"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,SOUTH CAROLINA,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"45, ,Total Outflow,48046,100705,1325239, "
"37,NC,North Carolina,9240,18316,250731,"
"13,Ga,Georgia,6491,12973,179221,"
"12,Fl,Florida,4587,9584,129449,"
"51,Va,Virginia,3092,7259,91734,"
"57,FR,Foreign,2148,4422,51969,"
"48,Tx,Texas,1899,4310,55717,"
"47,Tn,Tennessee,1787,3875,56282,"
"6,Ca,California,1436,2987,38024,"
"39,Oh,Ohio,1357,2891,40165,"
"36,NY,New York,1336,2496,29551,"
"42,Pa,Pennsylvania,1106,2253,30868,"
"1,Al,Alabama,1006,2272,32784,"
"24,Md,Maryland,840,1679,20703,"
"17,Il,Illinois,802,1703,22461,"
"26,Mi,Michigan,734,1517,20864,"
"9,Ct,Connecticut,690,1681,19918,"
"21,Ky,Kentucky,662,1435,17528,"
"34,NJ,New Jersey,626,1232,14408,"
"18,In,Indiana,618,1370,19700,"
"53,Wa,Washington,613,1421,16558,"
"22,La,Louisiana,538,1146,13037,"
"8,Co,Colorado,536,1021,13594,"
"28,Ms,Mississippi,455,1088,12938,"
"54,WV,West Virginia,437,903,10131,"
"25,Ma,Massachusetts,417,785,11370,"
"4,Az,Arizona,407,809,10442,"
"29,Mo,Missouri,404,937,11557,"
"40,Ok,Oklahoma,377,874,9854,"
"15,Hi,Hawaii,316,737,8383,"
"5,Ar,Arkansas,269,625,7636,"
"55,Wi,Wisconsin,245,556,8985,"
"10,De,Delaware,231,511,5800,"
"20,Ks,Kansas,223,504,5889,"
"35,NM,New Mexico,192,441,5315,"
"27,Mn,Minnesota,177,385,5377,"
"32,Nv,Nevada,166,326,3757,"
"19,Ia,Iowa,166,370,5275,"
"41,Or,Oregon,148,285,4386,"
"23,Me,Maine,144,359,4444,"
"2,Ak,Alaska,144,328,3289,"
"49,Ut,Utah,137,312,4578,"
"11,DC,District of Columbia,136,222,2729,"
"33,NH,New Hampshire,130,241,3182,"
"44,RI,Rhode Island,118,287,2996,"
"31,Ne,Nebraska,112,246,2738,"
"16,Id,Idaho,70,151,1795,"
"30,Mt,Montana,68,148,2371,"
"50,Vt,Vermont,64,116,1233,"
"38,ND,North Dakota,52,113,1370,"
"56,Wy,Wyoming,50,105,1250,"
"46,SD,South Dakota,47,98,903,"
"45,SC,State Non-Migrant,1259164,2818102,39129135,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
