"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,TENNESSEE,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"47, ,Total Outflow,56549,116102,1667948, "
"13,Ga,Georgia,5935,11979,176946,"
"12,Fl,Florida,4885,9580,140119,"
"28,Ms,Mississippi,4246,8858,114488,"
"21,Ky,Kentucky,4222,9756,106114,"
"48,Tx,Texas,3322,7004,131810,"
"37,NC,North Carolina,2936,5892,86634,"
"1,Al,Alabama,2894,5881,83406,"
"51,Va,Virginia,2545,5249,69395,"
"6,Ca,California,2085,3881,54270,"
"5,Ar,Arkansas,1782,3711,54619,"
"39,Oh,Ohio,1774,3736,52969,"
"17,Il,Illinois,1735,3515,50620,"
"26,Mi,Michigan,1580,3324,48400,"
"18,In,Indiana,1487,3132,40186,"
"57,FR,Foreign,1399,2719,33483,"
"45,SC,South Carolina,1393,2973,45093,"
"29,Mo,Missouri,1247,2575,37004,"
"22,La,Louisiana,969,2008,27945,"
"36,NY,New York,886,1618,34302,"
"42,Pa,Pennsylvania,795,1641,26136,"
"8,Co,Colorado,770,1461,24170,"
"4,Az,Arizona,728,1406,20175,"
"40,Ok,Oklahoma,662,1444,16055,"
"53,Wa,Washington,638,1313,18629,"
"24,Md,Maryland,574,1121,17596,"
"55,Wi,Wisconsin,437,940,12949,"
"34,NJ,New Jersey,392,768,16109,"
"25,Ma,Massachusetts,383,691,12416,"
"20,Ks,Kansas,378,853,12977,"
"27,Mn,Minnesota,367,771,13296,"
"54,WV,West Virginia,337,689,7986,"
"19,Ia,Iowa,286,619,8822,"
"15,Hi,Hawaii,257,577,5388,"
"35,NM,New Mexico,251,466,7027,"
"41,Or,Oregon,226,439,6002,"
"32,Nv,Nevada,222,407,5792,"
"9,Ct,Connecticut,201,385,9315,"
"31,Ne,Nebraska,166,349,4861,"
"49,Ut,Utah,164,367,5917,"
"2,Ak,Alaska,139,321,3797,"
"23,Me,Maine,119,260,2761,"
"33,NH,New Hampshire,100,199,4475,"
"11,DC,District of Columbia,98,130,2482,"
"16,Id,Idaho,86,207,2817,"
"30,Mt,Montana,84,186,2250,"
"10,De,Delaware,83,160,2826,"
"56,Wy,Wyoming,76,144,2158,"
"46,SD,South Dakota,58,126,1348,"
"44,RI,Rhode Island,54,98,1666,"
"38,ND,North Dakota,49,100,850,"
"50,Vt,Vermont,47,73,1097,"
"47,Tn,State Non-Migrant,1820944,4049108,60555731,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
