"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,NORTH CAROLINA,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"37, ,Total Outflow,83713,169504,2406718, "
"45,SC,South Carolina,8552,17296,250120,"
"51,Va,Virginia,8365,16881,226009,"
"12,Fl,Florida,7908,15499,235197,"
"13,Ga,Georgia,6317,12522,250352,"
"48,Tx,Texas,4338,9407,128712,"
"57,FR,Foreign,4258,8922,98224,"
"6,Ca,California,3468,6785,96709,"
"47,Tn,Tennessee,3330,6953,101981,"
"36,NY,New York,3018,5315,70140,"
"39,Oh,Ohio,2718,5570,72488,"
"42,Pa,Pennsylvania,2520,4979,70154,"
"24,Md,Maryland,2202,4186,57704,"
"17,Il,Illinois,1746,3521,62071,"
"26,Mi,Michigan,1725,3415,45347,"
"34,NJ,New Jersey,1564,3032,46230,"
"1,Al,Alabama,1500,3388,42679,"
"54,WV,West Virginia,1497,3187,28274,"
"21,Ky,Kentucky,1318,2845,37392,"
"18,In,Indiana,1275,2767,37293,"
"8,Co,Colorado,1247,2502,37615,"
"4,Az,Arizona,1165,2394,32186,"
"53,Wa,Washington,1072,2132,29994,"
"25,Ma,Massachusetts,1065,1927,35274,"
"22,La,Louisiana,1000,2140,25004,"
"29,Mo,Missouri,981,2162,30201,"
"9,Ct,Connecticut,707,1301,19478,"
"40,Ok,Oklahoma,657,1468,14545,"
"28,Ms,Mississippi,638,1448,17150,"
"55,Wi,Wisconsin,630,1318,18765,"
"15,Hi,Hawaii,614,1460,14177,"
"5,Ar,Arkansas,596,1334,16838,"
"27,Mn,Minnesota,545,1027,16206,"
"20,Ks,Kansas,519,1194,16453,"
"41,Or,Oregon,436,790,10855,"
"2,Ak,Alaska,415,1008,10377,"
"11,DC,District of Columbia,389,583,7206,"
"19,Ia,Iowa,369,761,10076,"
"35,NM,New Mexico,347,640,8474,"
"33,NH,New Hampshire,321,619,8650,"
"32,Nv,Nevada,316,591,14133,"
"49,Ut,Utah,291,669,7625,"
"23,Me,Maine,291,566,6741,"
"10,De,Delaware,266,539,9312,"
"31,Ne,Nebraska,230,484,6257,"
"44,RI,Rhode Island,193,410,6044,"
"50,Vt,Vermont,182,315,4078,"
"30,Mt,Montana,156,322,2913,"
"16,Id,Idaho,149,328,4140,"
"56,Wy,Wyoming,118,233,4702,"
"38,ND,North Dakota,98,170,1610,"
"46,SD,South Dakota,91,199,2563,"
"37,NC,State Non-Migrant,2524105,5539849,83477013,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
