"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,RHODE ISLAND,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"44, ,Total Outflow,14660,27183,608862, "
"25,Ma,Massachusetts,3955,6839,197275,"
"12,Fl,Florida,1822,3418,63122,"
"9,Ct,Connecticut,1130,1884,37582,"
"36,NY,New York,897,1405,29936,"
"51,Va,Virginia,779,1990,26650,"
"6,Ca,California,695,1225,79942,"
"33,NH,New Hampshire,386,709,14555,"
"57,FR,Foreign,384,794,11281,"
"37,NC,North Carolina,360,725,12296,"
"42,Pa,Pennsylvania,344,667,11626,"
"34,NJ,New Jersey,328,568,11984,"
"48,Tx,Texas,308,616,11554,"
"23,Me,Maine,301,524,9908,"
"13,Ga,Georgia,291,557,9446,"
"24,Md,Maryland,222,401,6211,"
"4,Az,Arizona,218,391,6379,"
"45,SC,South Carolina,182,426,6134,"
"17,Il,Illinois,171,362,6272,"
"39,Oh,Ohio,155,342,7023,"
"53,Wa,Washington,147,253,4332,"
"8,Co,Colorado,129,199,2646,"
"26,Mi,Michigan,117,230,4061,"
"50,Vt,Vermont,115,188,2684,"
"47,Tn,Tennessee,113,260,3470,"
"15,Hi,Hawaii,93,209,3097,"
"11,DC,District of Columbia,75,93,1911,"
"22,La,Louisiana,71,142,2160,"
"28,Ms,Mississippi,68,172,2111,"
"32,Nv,Nevada,64,114,1844,"
"27,Mn,Minnesota,61,134,2099,"
"18,In,Indiana,61,121,1750,"
"55,Wi,Wisconsin,60,128,1849,"
"41,Or,Oregon,54,92,1499,"
"35,NM,New Mexico,52,95,1624,"
"29,Mo,Missouri,49,103,1755,"
"1,Al,Alabama,46,92,1147,"
"20,Ks,Kansas,45,97,1131,"
"21,Ky,Kentucky,38,74,1104,"
"10,De,Delaware,35,75,962,"
"40,Ok,Oklahoma,31,59,689,"
"49,Ut,Utah,26,43,475,"
"31,Ne,Nebraska,26,59,635,"
"19,Ia,Iowa,26,59,682,"
"5,Ar,Arkansas,25,47,505,"
"54,WV,West Virginia,20,48,733,"
"56,Wy,Wyoming,19,37,1095,"
"2,Ak,Alaska,19,36,527,"
"16,Id,Idaho,19,25,406,"
"46,SD,South Dakota,11,21,261,"
"30,Mt,Montana,9,20,302,"
"38,ND,North Dakota,8,15,140,"
"44,RI,State Non-Migrant,350752,732896,12864202,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
