"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,OKLAHOMA,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"40, ,Total Outflow,40763,87499,1096381, "
"48,Tx,Texas,10425,22255,311150,"
"5,Ar,Arkansas,2871,6332,62853,"
"20,Ks,Kansas,2356,5200,57846,"
"6,Ca,California,2225,4221,52261,"
"29,Mo,Missouri,2170,4723,51371,"
"57,FR,Foreign,1672,3686,37698,"
"12,Fl,Florida,1566,3329,50310,"
"8,Co,Colorado,1453,2981,42639,"
"4,Az,Arizona,984,2073,23864,"
"17,Il,Illinois,907,1879,25278,"
"13,Ga,Georgia,896,1959,23168,"
"47,Tn,Tennessee,850,1863,22055,"
"37,NC,North Carolina,816,1736,20774,"
"22,La,Louisiana,751,1705,26621,"
"39,Oh,Ohio,707,1539,21851,"
"35,NM,New Mexico,689,1497,17428,"
"51,Va,Virginia,677,1455,20044,"
"53,Wa,Washington,649,1388,16118,"
"18,In,Indiana,600,1407,16977,"
"26,Mi,Michigan,569,1236,15771,"
"36,NY,New York,504,1016,13976,"
"42,Pa,Pennsylvania,433,937,12029,"
"1,Al,Alabama,423,951,11317,"
"32,Nv,Nevada,386,768,7725,"
"21,Ky,Kentucky,352,835,8360,"
"45,SC,South Carolina,347,830,9044,"
"19,Ia,Iowa,345,746,8303,"
"28,Ms,Mississippi,343,776,7871,"
"55,Wi,Wisconsin,323,636,8958,"
"31,Ne,Nebraska,315,743,8774,"
"41,Or,Oregon,307,652,6601,"
"27,Mn,Minnesota,300,654,9643,"
"24,Md,Maryland,295,651,8448,"
"2,Ak,Alaska,252,555,7199,"
"15,Hi,Hawaii,240,562,5411,"
"49,Ut,Utah,223,542,6908,"
"34,NJ,New Jersey,215,444,6106,"
"25,Ma,Massachusetts,174,311,4181,"
"30,Mt,Montana,154,365,3774,"
"46,SD,South Dakota,148,299,3250,"
"56,Wy,Wyoming,145,299,3236,"
"16,Id,Idaho,126,276,2891,"
"9,Ct,Connecticut,104,183,3795,"
"38,ND,North Dakota,96,205,2547,"
"54,WV,West Virginia,95,210,2345,"
"33,NH,New Hampshire,66,124,1336,"
"10,De,Delaware,66,169,2474,"
"23,Me,Maine,61,127,1121,"
"11,DC,District of Columbia,43,71,1552,"
"44,RI,Rhode Island,31,60,747,"
"50,Vt,Vermont,18,38,382,"
"40,Ok,State Non-Migrant,1023111,2357315,30684607,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
