"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,SOUTH DAKOTA,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"46, ,Total Outflow,11178,22491,262906, "
"27,Mn,Minnesota,1520,2815,33233,"
"19,Ia,Iowa,960,1920,24495,"
"31,Ne,Nebraska,795,1578,18017,"
"38,ND,North Dakota,710,1532,15333,"
"8,Co,Colorado,600,1102,14193,"
"6,Ca,California,476,862,9665,"
"48,Tx,Texas,475,978,10808,"
"56,Wy,Wyoming,469,1007,10317,"
"4,Az,Arizona,449,851,13852,"
"57,FR,Foreign,360,758,7440,"
"53,Wa,Washington,313,623,7010,"
"30,Mt,Montana,304,651,6823,"
"12,Fl,Florida,258,550,6321,"
"20,Ks,Kansas,257,564,6643,"
"55,Wi,Wisconsin,254,504,6654,"
"17,Il,Illinois,246,479,6602,"
"29,Mo,Missouri,232,482,5799,"
"32,Nv,Nevada,194,372,4701,"
"35,NM,New Mexico,151,320,3908,"
"51,Va,Virginia,143,341,4262,"
"26,Mi,Michigan,142,305,2909,"
"40,Ok,Oklahoma,141,309,3352,"
"41,Or,Oregon,132,235,2405,"
"37,NC,North Carolina,117,250,2775,"
"39,Oh,Ohio,111,250,2864,"
"13,Ga,Georgia,106,232,2148,"
"49,Ut,Utah,101,204,2115,"
"16,Id,Idaho,93,212,2338,"
"36,NY,New York,88,150,1543,"
"18,In,Indiana,88,181,2212,"
"42,Pa,Pennsylvania,84,176,2149,"
"21,Ky,Kentucky,78,162,2203,"
"5,Ar,Arkansas,78,180,2027,"
"47,Tn,Tennessee,77,164,1955,"
"2,Ak,Alaska,77,172,1887,"
"45,SC,South Carolina,65,137,1414,"
"22,La,Louisiana,58,129,1716,"
"24,Md,Maryland,55,107,1219,"
"28,Ms,Mississippi,52,116,1198,"
"1,Al,Alabama,49,113,1526,"
"15,Hi,Hawaii,43,76,878,"
"34,NJ,New Jersey,41,84,1165,"
"25,Ma,Massachusetts,35,56,643,"
"9,Ct,Connecticut,24,45,469,"
"54,WV,West Virginia,24,47,592,"
"33,NH,New Hampshire,15,40,298,"
"23,Me,Maine,13,35,282,"
"11,DC,District of Columbia,10,10,190,"
"50,Vt,Vermont,6,11,147,"
"10,De,Delaware,6,8,136,"
"44,RI,Rhode Island,3,6,75,"
"46,SD,State Non-Migrant,252917,589221,7654907,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
