"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,NEW YORK,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"36, ,Total Outflow,187090,351237,7134198, "
"12,Fl,Florida,33701,64168,1143646,"
"34,NJ,New Jersey,25782,51621,1243932,"
"6,Ca,California,11163,16920,417126,"
"42,Pa,Pennsylvania,10910,21713,393862,"
"37,NC,North Carolina,9826,19637,322522,"
"9,Ct,Connecticut,8578,15818,577432,"
"51,Va,Virginia,8063,15560,272322,"
"25,Ma,Massachusetts,7519,11542,271631,"
"57,FR,Foreign,7057,13217,292206,"
"13,Ga,Georgia,6635,12737,209008,"
"48,Tx,Texas,5836,11502,211197,"
"24,Md,Maryland,4591,8031,159314,"
"4,Az,Arizona,3881,7153,124362,"
"39,Oh,Ohio,3755,7496,147284,"
"45,SC,South Carolina,3588,7106,110492,"
"17,Il,Illinois,3207,5661,145521,"
"8,Co,Colorado,2997,4883,96419,"
"26,Mi,Michigan,2256,4419,83822,"
"53,Wa,Washington,1971,3522,61822,"
"47,Tn,Tennessee,1913,3857,60372,"
"32,Nv,Nevada,1797,3219,54658,"
"50,Vt,Vermont,1531,2750,57779,"
"33,NH,New Hampshire,1334,2456,56200,"
"11,DC,District of Columbia,1246,1536,44383,"
"18,In,Indiana,1199,2458,39936,"
"29,Mo,Missouri,1157,2274,43268,"
"1,Al,Alabama,1095,2219,29570,"
"22,La,Louisiana,1047,1985,32655,"
"35,NM,New Mexico,1036,1818,34903,"
"21,Ky,Kentucky,978,1958,27583,"
"23,Me,Maine,951,1718,31790,"
"27,Mn,Minnesota,921,1611,39933,"
"44,RI,Rhode Island,909,1570,29063,"
"10,De,Delaware,866,1773,36356,"
"41,Or,Oregon,828,1311,22869,"
"55,Wi,Wisconsin,827,1621,31073,"
"20,Ks,Kansas,758,1677,24778,"
"15,Hi,Hawaii,747,1378,18129,"
"40,Ok,Oklahoma,629,1308,16261,"
"49,Ut,Utah,541,972,17483,"
"28,Ms,Mississippi,456,905,11976,"
"54,WV,West Virginia,449,934,12698,"
"19,Ia,Iowa,417,869,14452,"
"5,Ar,Arkansas,355,772,10208,"
"38,ND,North Dakota,328,836,8523,"
"2,Ak,Alaska,322,586,7648,"
"31,Ne,Nebraska,304,584,8855,"
"30,Mt,Montana,272,483,9700,"
"16,Id,Idaho,249,463,9260,"
"56,Wy,Wyoming,175,327,4611,"
"46,SD,South Dakota,137,303,3305,"
"36,NY,State Non-Migrant,6131293,13111543,250932130,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
