"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,OHIO,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"39, ,Total Outflow,92277,175469,3139284, "
"12,Fl,Florida,11130,19973,368308,"
"26,Mi,Michigan,6215,12637,249491,"
"21,Ky,Kentucky,6085,12037,169992,"
"18,In,Indiana,6071,12395,199203,"
"6,Ca,California,4532,7517,143763,"
"42,Pa,Pennsylvania,4353,8281,156201,"
"48,Tx,Texas,4157,8528,149048,"
"17,Il,Illinois,3942,7054,154273,"
"37,NC,North Carolina,3935,7621,121912,"
"13,Ga,Georgia,3817,7334,132278,"
"47,Tn,Tennessee,3009,6175,98261,"
"51,Va,Virginia,2921,5490,95777,"
"54,WV,West Virginia,2680,5394,58776,"
"36,NY,New York,2633,4584,87375,"
"4,Az,Arizona,2425,4291,73764,"
"57,FR,Foreign,2370,4159,68025,"
"45,SC,South Carolina,2115,4152,85022,"
"8,Co,Colorado,1861,3222,61695,"
"24,Md,Maryland,1404,2502,48205,"
"29,Mo,Missouri,1293,2647,50657,"
"1,Al,Alabama,1178,2559,37580,"
"53,Wa,Washington,1146,2051,44703,"
"25,Ma,Massachusetts,1132,1811,43790,"
"34,NJ,New Jersey,1108,2068,55572,"
"55,Wi,Wisconsin,900,1879,36800,"
"32,Nv,Nevada,864,1518,25193,"
"27,Mn,Minnesota,792,1630,57693,"
"40,Ok,Oklahoma,647,1334,16599,"
"22,La,Louisiana,628,1304,23675,"
"35,NM,New Mexico,627,1147,18572,"
"9,Ct,Connecticut,599,1109,30263,"
"20,Ks,Kansas,595,1294,22214,"
"41,Or,Oregon,541,951,16981,"
"19,Ia,Iowa,489,1037,17633,"
"28,Ms,Mississippi,474,990,11979,"
"5,Ar,Arkansas,444,988,14888,"
"49,Ut,Utah,355,748,12955,"
"15,Hi,Hawaii,323,557,7629,"
"11,DC,District of Columbia,316,367,7090,"
"31,Ne,Nebraska,305,655,10555,"
"2,Ak,Alaska,226,393,5303,"
"33,NH,New Hampshire,225,400,6668,"
"23,Me,Maine,216,413,6276,"
"10,De,Delaware,199,401,8480,"
"16,Id,Idaho,179,382,4934,"
"30,Mt,Montana,174,299,3341,"
"56,Wy,Wyoming,165,282,4241,"
"50,Vt,Vermont,128,237,6338,"
"38,ND,North Dakota,124,218,2490,"
"46,SD,South Dakota,120,254,3005,"
"44,RI,Rhode Island,110,200,3818,"
"39,Oh,State Non-Migrant,4143124,8714169,141617715,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
