"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,PENNSYLVANIA,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"42, ,Total Outflow,101919,186892,3494662, "
"34,NJ,New Jersey,12167,22198,457080,"
"12,Fl,Florida,11476,20962,394680,"
"36,NY,New York,7762,13446,236589,"
"24,Md,Maryland,6606,11273,202843,"
"51,Va,Virginia,6100,10860,186346,"
"39,Oh,Ohio,5750,10942,191553,"
"37,NC,North Carolina,4829,9211,161106,"
"6,Ca,California,4631,7496,157422,"
"10,De,Delaware,3444,6431,113242,"
"48,Tx,Texas,3247,6439,122288,"
"13,Ga,Georgia,2932,5646,96875,"
"57,FR,Foreign,2916,5268,82075,"
"25,Ma,Massachusetts,2203,3596,90206,"
"4,Az,Arizona,2121,3826,71239,"
"17,Il,Illinois,2080,4021,91926,"
"45,SC,South Carolina,2017,3837,64733,"
"8,Co,Colorado,1746,2882,53325,"
"26,Mi,Michigan,1650,3251,68054,"
"54,WV,West Virginia,1489,2936,42457,"
"47,Tn,Tennessee,1398,2894,49875,"
"9,Ct,Connecticut,1329,2461,70916,"
"18,In,Indiana,1306,2826,49994,"
"53,Wa,Washington,1004,1749,30631,"
"21,Ky,Kentucky,800,1632,29331,"
"29,Mo,Missouri,772,1597,28570,"
"55,Wi,Wisconsin,681,1544,27446,"
"11,DC,District of Columbia,665,814,18145,"
"32,Nv,Nevada,658,1134,30964,"
"1,Al,Alabama,614,1327,22081,"
"27,Mn,Minnesota,589,1261,33344,"
"22,La,Louisiana,536,1010,16724,"
"35,NM,New Mexico,510,911,14462,"
"40,Ok,Oklahoma,488,937,14831,"
"33,NH,New Hampshire,478,910,19123,"
"23,Me,Maine,442,841,16763,"
"20,Ks,Kansas,439,970,14913,"
"19,Ia,Iowa,428,901,14078,"
"41,Or,Oregon,412,723,13490,"
"15,Hi,Hawaii,378,639,9751,"
"28,Ms,Mississippi,335,661,8620,"
"49,Ut,Utah,320,620,11079,"
"44,RI,Rhode Island,304,509,11484,"
"50,Vt,Vermont,301,530,10055,"
"5,Ar,Arkansas,291,590,9228,"
"30,Mt,Montana,255,432,5664,"
"31,Ne,Nebraska,225,485,7876,"
"2,Ak,Alaska,217,342,4418,"
"56,Wy,Wyoming,191,328,5187,"
"16,Id,Idaho,175,357,4894,"
"38,ND,North Dakota,118,234,3434,"
"46,SD,South Dakota,94,202,3252,"
"42,Pa,State Non-Migrant,4367990,9466116,159378328,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
