"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,OREGON,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"41, ,Total Outflow,37446,72509,989317, "
"53,Wa,Washington,9830,19062,289965,"
"6,Ca,California,7217,13163,165506,"
"16,Id,Idaho,2068,4461,47272,"
"4,Az,Arizona,1847,3595,53213,"
"48,Tx,Texas,1415,2956,37484,"
"32,Nv,Nevada,1137,2233,27357,"
"8,Co,Colorado,1136,2263,33266,"
"57,FR,Foreign,904,1555,21386,"
"2,Ak,Alaska,855,1664,20209,"
"49,Ut,Utah,774,1670,19723,"
"30,Mt,Montana,763,1591,16845,"
"12,Fl,Florida,753,1394,19581,"
"15,Hi,Hawaii,502,872,10652,"
"36,NY,New York,492,756,11442,"
"17,Il,Illinois,451,883,13659,"
"35,NM,New Mexico,426,788,12354,"
"27,Mn,Minnesota,405,817,13138,"
"37,NC,North Carolina,364,702,9283,"
"13,Ga,Georgia,353,680,9753,"
"26,Mi,Michigan,347,703,8867,"
"29,Mo,Missouri,344,758,8209,"
"51,Va,Virginia,326,640,8908,"
"39,Oh,Ohio,314,625,9531,"
"25,Ma,Massachusetts,313,492,9559,"
"55,Wi,Wisconsin,299,561,8672,"
"40,Ok,Oklahoma,284,642,4899,"
"42,Pa,Pennsylvania,276,531,9250,"
"47,Tn,Tennessee,269,583,6946,"
"18,In,Indiana,218,448,5383,"
"20,Ks,Kansas,215,423,4904,"
"5,Ar,Arkansas,202,435,3952,"
"19,Ia,Iowa,199,411,5210,"
"56,Wy,Wyoming,196,397,4159,"
"24,Md,Maryland,194,347,5741,"
"31,Ne,Nebraska,189,437,4515,"
"34,NJ,New Jersey,171,296,6353,"
"22,La,Louisiana,162,315,4855,"
"9,Ct,Connecticut,139,232,4624,"
"21,Ky,Kentucky,138,271,3678,"
"1,Al,Alabama,131,284,4225,"
"45,SC,South Carolina,128,243,6150,"
"46,SD,South Dakota,122,263,2642,"
"38,ND,North Dakota,96,192,2018,"
"28,Ms,Mississippi,90,186,2084,"
"23,Me,Maine,82,146,2007,"
"33,NH,New Hampshire,73,127,1746,"
"11,DC,District of Columbia,69,87,3507,"
"50,Vt,Vermont,59,114,1449,"
"54,WV,West Virginia,52,111,1653,"
"44,RI,Rhode Island,37,60,1012,"
"10,De,Delaware,20,44,521,"
"41,Or,State Non-Migrant,1037001,2302911,35869257,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
