"1994 - 1994 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
"(Aggregate Money Amounts Are In Thousands),,,,,,"
",,,,,,"
"FROM:,,NEW MEXICO,,,,"
" ,,,,,,"
",,,,,AGGREGATE,"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY,"
"TO:,,,RETURNS,EXEMPTIONS,INCOME,"
"35, ,Total Outflow,29508,63945,743131, "
"48,Tx,Texas,6502,15093,159188,"
"4,Az,Arizona,3973,9713,91217,"
"8,Co,Colorado,2552,5263,67406,"
"6,Ca,California,2432,4429,56693,"
"57,FR,Foreign,1179,2512,27252,"
"12,Fl,Florida,883,1800,23329,"
"40,Ok,Oklahoma,755,1713,17744,"
"53,Wa,Washington,737,1407,20603,"
"32,Nv,Nevada,736,1483,20580,"
"49,Ut,Utah,541,1388,13110,"
"51,Va,Virginia,473,1052,17094,"
"41,Or,Oregon,463,902,11091,"
"17,Il,Illinois,456,882,11954,"
"29,Mo,Missouri,425,946,10362,"
"36,NY,New York,422,687,9762,"
"20,Ks,Kansas,398,931,9567,"
"37,NC,North Carolina,385,764,9479,"
"39,Oh,Ohio,383,810,11027,"
"13,Ga,Georgia,367,773,9109,"
"26,Mi,Michigan,316,626,7928,"
"5,Ar,Arkansas,304,693,6866,"
"42,Pa,Pennsylvania,298,581,8042,"
"47,Tn,Tennessee,277,610,8299,"
"18,In,Indiana,274,595,7233,"
"22,La,Louisiana,251,545,7210,"
"24,Md,Maryland,251,482,7640,"
"27,Mn,Minnesota,245,490,6800,"
"25,Ma,Massachusetts,228,360,5790,"
"30,Mt,Montana,223,499,5917,"
"55,Wi,Wisconsin,220,397,4929,"
"2,Ak,Alaska,219,488,6076,"
"16,Id,Idaho,213,490,5170,"
"31,Ne,Nebraska,197,470,5255,"
"1,Al,Alabama,192,498,5084,"
"56,Wy,Wyoming,188,427,4946,"
"45,SC,South Carolina,174,385,5179,"
"19,Ia,Iowa,163,327,3994,"
"15,Hi,Hawaii,156,315,3939,"
"28,Ms,Mississippi,152,387,4102,"
"34,NJ,New Jersey,148,249,4469,"
"21,Ky,Kentucky,147,282,3567,"
"46,SD,South Dakota,100,208,3500,"
"9,Ct,Connecticut,91,143,3072,"
"23,Me,Maine,77,158,1791,"
"38,ND,North Dakota,68,153,1391,"
"11,DC,District of Columbia,64,84,2202,"
"33,NH,New Hampshire,61,142,2055,"
"54,WV,West Virginia,49,111,944,"
"50,Vt,Vermont,42,73,924,"
"44,RI,Rhode Island,31,65,1554,"
"10,De,Delaware,27,64,696,"
"35,NM,State Non-Migrant,540730,1254033,16123297,"
",,,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,,"
" ,,STATISTICS OF INCOME,,,,"
