"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 10-DELAWARE,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,DE,DE Total Mig - US & For,13470,25409,756088"
"97,DE,DE Total Mig - US,13163,24809,744201"
"98,DE,DE Total Mig - Foreign,307,600,11887"
"10,DE,DE Non-Migrants,308242,650303,18838948"
"42,PA,PENNSYLVANIA,2950,5573,191267"
"24,MD,MARYLAND,2273,4201,98687"
"12,FL,FLORIDA,1122,2095,68336"
"34,NJ,NEW JERSEY,971,1734,69748"
"51,VA,VIRGINIA,680,1269,35548"
"36,NY,NEW YORK,581,977,28427"
"37,NC,NORTH CAROLINA,533,1007,26859"
"48,TX,TEXAS,442,936,28060"
"06,CA,CALIFORNIA,421,690,20849"
"13,GA,GEORGIA,386,817,18536"
"57,FR,Foreign,307,600,11887"
"45,SC,SOUTH CAROLINA,206,425,10400"
"39,OH,OHIO,188,386,16277"
"04,AZ,ARIZONA,176,340,10867"
"17,IL,ILLINOIS,172,372,10366"
"25,MA,MASSACHUSETTS,160,267,8622"
"47,TN,TENNESSEE,146,288,6528"
"08,CO,COLORADO,124,229,7140"
"09,CT,CONNECTICUT,122,211,9133"
"53,WA,WASHINGTON,106,198,6061"
"18,IN,INDIANA,88,188,4294"
"26,MI,MICHIGAN,84,188,4313"
"32,NV,NEVADA,84,145,2782"
"11,DC,DISTRICT OF COLUMBIA,73,93,3531"
"21,KY,KENTUCKY,72,174,3248"
"01,AL,ALABAMA,69,148,3632"
"29,MO,MISSOURI,67,153,4475"
"54,WV,WEST VIRGINIA,67,129,2382"
"40,OK,OKLAHOMA,61,152,2530"
"33,NH,NEW HAMPSHIRE,60,103,3001"
"55,WI,WISCONSIN,57,101,3430"
"15,HI,HAWAII,53,103,2295"
"27,MN,MINNESOTA,50,110,2978"
"41,OR,OREGON,49,79,2089"
"23,ME,MAINE,44,92,1954"
"20,KS,KANSAS,43,106,1981"
"22,LA,LOUISIANA,42,82,1742"
"35,NM,NEW MEXICO,41,62,1844"
"02,AK,ALASKA,38,74,1172"
"05,AR,ARKANSAS,37,82,1321"
"28,MS,MISSISSIPPI,34,64,3892"
"49,UT,UTAH,33,62,1255"
"30,MT,MONTANA,29,53,1799"
"19,IA,IOWA,26,56,797"
"44,RI,RHODE ISLAND,24,39,868"
"50,VT,VERMONT,20,33,1219"
"31,NE,NEBRASKA,16,34,809"
"16,ID,IDAHO,13,26,607"
"46,SD,SOUTH DAKOTA,12,27,517"
"56,WY,WYOMING,10,20,5532"
"38,ND,NORTH DAKOTA,8,16,201"
"38,,,,,"
