"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 17-ILLINOIS,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,IL,IL Total Mig - US & For,124089,234828,6919690"
"97,IL,IL Total Mig - US,120654,228971,6760393"
"98,IL,IL Total Mig - Foreign,3435,5857,159298"
"17,IL,IL Non-Migrants,4559290,10100720,278207947"
"18,IN,INDIANA,11263,24045,484030"
"12,FL,FLORIDA,10733,19632,897191"
"06,CA,CALIFORNIA,9301,15515,518333"
"55,WI,WISCONSIN,9162,17907,448956"
"29,MO,MISSOURI,7875,13924,326764"
"48,TX,TEXAS,7449,16209,417124"
"04,AZ,ARIZONA,5312,9729,298696"
"19,IA,IOWA,4396,8450,173598"
"26,MI,MICHIGAN,4117,7706,233150"
"36,NY,NEW YORK,3759,5636,261595"
"13,GA,GEORGIA,3631,7703,200439"
"57,FR,Foreign,3435,5857,159298"
"39,OH,OHIO,3159,6212,216529"
"47,TN,TENNESSEE,3069,6089,171640"
"08,CO,COLORADO,2864,4824,158412"
"37,NC,NORTH CAROLINA,2840,5622,173411"
"27,MN,MINNESOTA,2717,5244,142827"
"51,VA,VIRGINIA,2709,5084,154822"
"32,NV,NEVADA,2203,4000,117985"
"53,WA,WASHINGTON,2040,3570,113995"
"21,KY,KENTUCKY,1921,3856,80732"
"42,PA,PENNSYLVANIA,1905,3579,138360"
"34,NJ,NEW JERSEY,1426,2732,130981"
"25,MA,MASSACHUSETTS,1401,2144,89696"
"24,MD,MARYLAND,1389,2407,97632"
"05,AR,ARKANSAS,1270,2646,52923"
"45,SC,SOUTH CAROLINA,1157,2210,74598"
"20,KS,KANSAS,1129,2312,56586"
"01,AL,ALABAMA,1107,2329,50458"
"28,MS,MISSISSIPPI,1053,2162,35071"
"41,OR,OREGON,890,1505,45592"
"40,OK,OKLAHOMA,844,1791,36737"
"35,NM,NEW MEXICO,682,1255,32411"
"09,CT,CONNECTICUT,652,1225,72132"
"31,NE,NEBRASKA,631,1279,32133"
"22,LA,LOUISIANA,585,1120,22941"
"15,HI,HAWAII,529,944,22131"
"11,DC,DISTRICT OF COLUMBIA,515,615,26499"
"49,UT,UTAH,506,1067,23834"
"30,MT,MONTANA,283,509,10522"
"16,ID,IDAHO,263,549,13398"
"02,AK,ALASKA,254,467,9682"
"46,SD,SOUTH DAKOTA,252,490,12041"
"56,WY,WYOMING,234,404,12693"
"33,NH,NEW HAMPSHIRE,228,465,18057"
"54,WV,WEST VIRGINIA,202,396,9005"
"23,ME,MAINE,176,312,11452"
"10,DE,DELAWARE,169,371,13231"
"44,RI,RHODE ISLAND,156,265,8280"
"38,ND,NORTH DAKOTA,151,309,5941"
"50,VT,VERMONT,95,155,5146"
"50,,,,,"
