"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 44-RHODEISLAND,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,RI,RI Total Mig - US & For,17395,31467,848203"
"97,RI,RI Total Mig - US,17049,30730,830886"
"98,RI,RI Total Mig - Foreign,346,737,17318"
"44,RI,RI Non-Migrants,390382,797322,22221149"
"25,MA,MASSACHUSETTS,4538,7614,218339"
"12,FL,FLORIDA,2529,4759,136161"
"09,CT,CONNECTICUT,1516,2755,76996"
"36,NY,NEW YORK,1149,1800,43076"
"06,CA,CALIFORNIA,783,1207,34543"
"37,NC,NORTH CAROLINA,590,1304,29189"
"51,VA,VIRGINIA,548,1199,28787"
"48,TX,TEXAS,444,959,22281"
"42,PA,PENNSYLVANIA,407,765,18440"
"33,NH,NEW HAMPSHIRE,400,682,21490"
"13,GA,GEORGIA,381,821,15572"
"34,NJ,NEW JERSEY,354,573,17963"
"57,FR,Foreign,346,737,17318"
"24,MD,MARYLAND,311,537,15222"
"45,SC,SOUTH CAROLINA,288,613,14375"
"23,ME,MAINE,281,492,10882"
"04,AZ,ARIZONA,261,447,14120"
"39,OH,OHIO,186,352,11371"
"08,CO,COLORADO,174,318,9167"
"17,IL,ILLINOIS,174,296,10869"
"53,WA,WASHINGTON,167,317,9313"
"47,TN,TENNESSEE,145,328,6980"
"32,NV,NEVADA,141,230,5674"
"26,MI,MICHIGAN,108,213,5832"
"50,VT,VERMONT,108,159,4412"
"15,HI,HAWAII,84,174,3818"
"29,MO,MISSOURI,84,184,4161"
"18,IN,INDIANA,72,129,3206"
"11,DC,DISTRICT OF COLUMBIA,70,79,4464"
"27,MN,MINNESOTA,69,124,3508"
"41,OR,OREGON,65,97,2703"
"55,WI,WISCONSIN,63,106,2936"
"22,LA,LOUISIANA,58,101,2620"
"21,KY,KENTUCKY,55,99,2344"
"35,NM,NEW MEXICO,46,82,2073"
"10,DE,DELAWARE,44,79,1543"
"01,AL,ALABAMA,41,95,4361"
"40,OK,OKLAHOMA,40,84,1262"
"20,KS,KANSAS,36,59,1168"
"28,MS,MISSISSIPPI,33,84,1521"
"49,UT,UTAH,33,80,874"
"05,AR,ARKANSAS,31,60,1681"
"31,NE,NEBRASKA,28,62,931"
"02,AK,ALASKA,21,40,710"
"16,ID,IDAHO,19,45,571"
"30,MT,MONTANA,19,38,1259"
"19,IA,IOWA,18,36,806"
"54,WV,WEST VIRGINIA,16,23,482"
"56,WY,WYOMING,10,15,448"
"38,ND,NORTH DAKOTA,6,9,130"
"46,SD,SOUTH DAKOTA,5,6,254"
"46,,,,,"
