"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 22-LOUISIANA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,LA,LA Total Mig - US & For,103571,223405,3235577"
"97,LA,LA Total Mig - US,102453,221244,3198122"
"98,LA,LA Total Mig - Foreign,1118,2161,37455"
"22,LA,LA Non-Migrants,1329558,3020358,59237029"
"48,TX,TEXAS,41609,94564,1168931"
"13,GA,GEORGIA,8543,19130,228175"
"28,MS,MISSISSIPPI,7386,16106,237525"
"12,FL,FLORIDA,5454,10857,198800"
"47,TN,TENNESSEE,3754,8102,138250"
"01,AL,ALABAMA,3559,7710,121454"
"06,CA,CALIFORNIA,3381,6176,106918"
"05,AR,ARKANSAS,2988,6788,88009"
"37,NC,NORTH CAROLINA,2137,4437,75566"
"51,VA,VIRGINIA,1940,4035,76592"
"29,MO,MISSOURI,1510,3222,52631"
"17,IL,ILLINOIS,1508,2844,49988"
"08,CO,COLORADO,1391,2744,49689"
"36,NY,NEW YORK,1354,2211,44287"
"40,OK,OKLAHOMA,1313,2972,43593"
"53,WA,WASHINGTON,1275,2839,41383"
"57,FR,Foreign,1118,2161,37455"
"04,AZ,ARIZONA,1003,1955,33097"
"24,MD,MARYLAND,961,1850,35304"
"39,OH,OHIO,933,1979,36486"
"45,SC,SOUTH CAROLINA,892,1853,31483"
"32,NV,NEVADA,881,1714,28680"
"42,PA,PENNSYLVANIA,749,1448,28433"
"18,IN,INDIANA,721,1590,24084"
"21,KY,KENTUCKY,704,1522,24210"
"26,MI,MICHIGAN,680,1420,23097"
"34,NJ,NEW JERSEY,550,998,19532"
"25,MA,MASSACHUSETTS,501,834,19687"
"20,KS,KANSAS,472,1086,18382"
"55,WI,WISCONSIN,434,829,15129"
"41,OR,OREGON,379,640,10361"
"27,MN,MINNESOTA,376,743,11077"
"35,NM,NEW MEXICO,372,723,17326"
"19,IA,IOWA,265,560,7978"
"49,UT,UTAH,249,485,9677"
"15,HI,HAWAII,241,484,7593"
"11,DC,DISTRICT OF COLUMBIA,235,308,8219"
"09,CT,CONNECTICUT,216,360,6778"
"31,NE,NEBRASKA,198,406,6194"
"02,AK,ALASKA,196,419,6809"
"54,WV,WEST VIRGINIA,167,362,6865"
"56,WY,WYOMING,148,325,7001"
"16,ID,IDAHO,130,264,4692"
"23,ME,MAINE,120,233,4939"
"30,MT,MONTANA,108,220,3413"
"44,RI,RHODE ISLAND,103,197,3240"
"10,DE,DELAWARE,95,187,3866"
"33,NH,NEW HAMPSHIRE,92,184,3653"
"38,ND,NORTH DAKOTA,77,131,2669"
"46,SD,SOUTH DAKOTA,57,123,3820"
"50,VT,VERMONT,46,75,2554"
"50,,,,,"
