"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 49-UTAH,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,UT,UT Total Mig - US & For,28005,61779,1130403"
"97,UT,UT Total Mig - US,27345,60429,1104264"
"98,UT,UT Total Mig - Foreign,660,1350,26139"
"49,UT,UT Non-Migrants,756409,1954544,40938630"
"06,CA,CALIFORNIA,3922,7893,157493"
"04,AZ,ARIZONA,2528,5782,97786"
"32,NV,NEVADA,2285,5019,87610"
"16,ID,IDAHO,2120,5259,79212"
"48,TX,TEXAS,1651,3902,67264"
"08,CO,COLORADO,1576,3412,73199"
"53,WA,WASHINGTON,1546,3382,68818"
"41,OR,OREGON,980,2052,34761"
"12,FL,FLORIDA,813,1712,34288"
"56,WY,WYOMING,800,1800,32973"
"57,FR,Foreign,660,1350,26139"
"51,VA,VIRGINIA,652,1376,28146"
"35,NM,NEW MEXICO,521,1162,18831"
"36,NY,NEW YORK,518,930,18533"
"17,IL,ILLINOIS,448,907,19028"
"13,GA,GEORGIA,418,977,18455"
"30,MT,MONTANA,404,867,16108"
"39,OH,OHIO,399,968,17752"
"37,NC,NORTH CAROLINA,390,881,16281"
"42,PA,PENNSYLVANIA,379,849,15540"
"29,MO,MISSOURI,372,928,13191"
"15,HI,HAWAII,322,689,10625"
"02,AK,ALASKA,276,656,10333"
"25,MA,MASSACHUSETTS,272,497,10379"
"24,MD,MARYLAND,263,521,11505"
"27,MN,MINNESOTA,246,517,12887"
"55,WI,WISCONSIN,246,566,9873"
"26,MI,MICHIGAN,241,517,9749"
"18,IN,INDIANA,235,557,9281"
"47,TN,TENNESSEE,234,548,9874"
"40,OK,OKLAHOMA,212,518,8514"
"19,IA,IOWA,190,471,6691"
"20,KS,KANSAS,187,503,8350"
"45,SC,SOUTH CAROLINA,183,408,8740"
"21,KY,KENTUCKY,155,375,5917"
"31,NE,NEBRASKA,152,378,5658"
"01,AL,ALABAMA,147,370,7316"
"34,NJ,NEW JERSEY,143,304,6583"
"05,AR,ARKANSAS,137,317,5252"
"09,CT,CONNECTICUT,127,273,4904"
"22,LA,LOUISIANA,111,220,4039"
"46,SD,SOUTH DAKOTA,97,226,4038"
"28,MS,MISSISSIPPI,73,165,2977"
"33,NH,NEW HAMPSHIRE,69,153,4262"
"38,ND,NORTH DAKOTA,65,143,2523"
"11,DC,DISTRICT OF COLUMBIA,49,64,1391"
"23,ME,MAINE,49,100,1728"
"50,VT,VERMONT,48,102,1676"
"54,WV,WEST VIRGINIA,43,105,1485"
"10,DE,DELAWARE,35,82,1861"
"44,RI,RHODE ISLAND,16,26,583"
"44,,,,,"
