"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 08-COLORADO,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,CO,CO Total Mig - US & For,67912,127997,3214966"
"97,CO,CO Total Mig - US,65889,124188,3132298"
"98,CO,CO Total Mig - Foreign,2023,3809,82668"
"08,CO,CO Non-Migrants,1599054,3458049,98512737"
"06,CA,CALIFORNIA,7727,13177,342117"
"48,TX,TEXAS,6424,13459,326781"
"04,AZ,ARIZONA,4301,8110,220874"
"12,FL,FLORIDA,3744,6841,184920"
"53,WA,WASHINGTON,2526,4689,125989"
"35,NM,NEW MEXICO,2301,4642,99743"
"17,IL,ILLINOIS,2029,3463,97077"
"57,FR,Foreign,2023,3809,82668"
"36,NY,NEW YORK,1728,2582,69752"
"32,NV,NEVADA,1716,3032,84984"
"56,WY,WYOMING,1714,3234,73160"
"51,VA,VIRGINIA,1706,3336,97964"
"49,UT,UTAH,1662,3680,82534"
"20,KS,KANSAS,1626,3439,63687"
"29,MO,MISSOURI,1531,2972,83792"
"41,OR,OREGON,1506,2573,63460"
"37,NC,NORTH CAROLINA,1500,2947,68961"
"31,NE,NEBRASKA,1408,2850,53195"
"13,GA,GEORGIA,1309,2594,69059"
"40,OK,OKLAHOMA,1297,2705,53594"
"27,MN,MINNESOTA,1204,2195,59578"
"42,PA,PENNSYLVANIA,1098,1952,51655"
"39,OH,OHIO,1078,2020,53651"
"26,MI,MICHIGAN,961,1751,54056"
"30,MT,MONTANA,907,1661,37287"
"19,IA,IOWA,905,1737,38689"
"16,ID,IDAHO,890,1824,49398"
"55,WI,WISCONSIN,890,1635,44959"
"47,TN,TENNESSEE,883,1859,46539"
"25,MA,MASSACHUSETTS,875,1317,45067"
"18,IN,INDIANA,745,1477,31040"
"24,MD,MARYLAND,721,1389,42857"
"15,HI,HAWAII,670,1172,28777"
"34,NJ,NEW JERSEY,564,933,39559"
"46,SD,SOUTH DAKOTA,561,1052,22246"
"45,SC,SOUTH CAROLINA,558,1111,26294"
"05,AR,ARKANSAS,537,1140,22964"
"02,AK,ALASKA,521,985,22042"
"01,AL,ALABAMA,508,1121,23060"
"22,LA,LOUISIANA,453,858,14683"
"21,KY,KENTUCKY,426,930,20153"
"09,CT,CONNECTICUT,391,639,23029"
"28,MS,MISSISSIPPI,317,606,13056"
"38,ND,NORTH DAKOTA,285,555,10504"
"23,ME,MAINE,255,451,9711"
"11,DC,DISTRICT OF COLUMBIA,215,254,9223"
"33,NH,NEW HAMPSHIRE,213,351,9987"
"50,VT,VERMONT,182,297,6610"
"54,WV,WEST VIRGINIA,140,277,5682"
"44,RI,RHODE ISLAND,96,162,4254"
"10,DE,DELAWARE,85,152,4047"
"10,,,,,"
