"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 19-IOWA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,IA,IA Total Mig - US & For,31560,56944,1302025"
"97,IA,IA Total Mig - US,31035,56057,1285687"
"98,IA,IA Total Mig - Foreign,525,887,16338"
"19,IA,IA Non-Migrants,1081606,2394023,56147798"
"17,IL,ILLINOIS,4126,7168,169944"
"31,NE,NEBRASKA,3016,5552,101674"
"27,MN,MINNESOTA,2653,4560,108220"
"29,MO,MISSOURI,1923,3597,71208"
"48,TX,TEXAS,1769,3477,65729"
"06,CA,CALIFORNIA,1560,2544,52816"
"55,WI,WISCONSIN,1366,2552,69425"
"04,AZ,ARIZONA,1309,2179,61087"
"12,FL,FLORIDA,1273,2253,78971"
"08,CO,COLORADO,1198,1892,43364"
"46,SD,SOUTH DAKOTA,1111,2087,53525"
"20,KS,KANSAS,880,1592,36490"
"37,NC,NORTH CAROLINA,553,1063,23865"
"53,WA,WASHINGTON,548,961,22647"
"57,FR,Foreign,525,887,16338"
"18,IN,INDIANA,516,1075,24167"
"39,OH,OHIO,504,997,25387"
"36,NY,NEW YORK,484,742,15482"
"51,VA,VIRGINIA,450,811,21211"
"13,GA,GEORGIA,448,865,18495"
"26,MI,MICHIGAN,442,903,19828"
"47,TN,TENNESSEE,417,887,18225"
"32,NV,NEVADA,351,567,12490"
"05,AR,ARKANSAS,342,731,17254"
"40,OK,OKLAHOMA,335,688,10950"
"42,PA,PENNSYLVANIA,319,608,14271"
"41,OR,OREGON,267,444,11648"
"21,KY,KENTUCKY,240,480,9216"
"24,MD,MARYLAND,225,372,9776"
"25,MA,MASSACHUSETTS,207,298,8116"
"45,SC,SOUTH CAROLINA,205,376,8353"
"35,NM,NEW MEXICO,172,320,5824"
"01,AL,ALABAMA,167,353,6533"
"49,UT,UTAH,152,368,6686"
"30,MT,MONTANA,151,278,6249"
"38,ND,NORTH DAKOTA,147,280,5885"
"56,WY,WYOMING,137,225,4294"
"22,LA,LOUISIANA,122,222,4333"
"28,MS,MISSISSIPPI,122,252,4690"
"16,ID,IDAHO,115,256,4734"
"15,HI,HAWAII,109,184,3664"
"34,NJ,NEW JERSEY,106,173,5626"
"09,CT,CONNECTICUT,102,179,7423"
"02,AK,ALASKA,92,137,3778"
"11,DC,DISTRICT OF COLUMBIA,64,75,2051"
"33,NH,NEW HAMPSHIRE,54,92,2129"
"10,DE,DELAWARE,48,84,2421"
"23,ME,MAINE,43,73,1600"
"54,WV,WEST VIRGINIA,41,97,1868"
"44,RI,RHODE ISLAND,27,43,953"
"50,VT,VERMONT,27,45,1110"
"50,,,,,"
