"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 35-NEWMEXICO,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,NM,NM Total Mig - US & For,28590,56981,1178351"
"97,NM,NM Total Mig - US,27563,54974,1145195"
"98,NM,NM Total Mig - Foreign,1027,2007,33156"
"35,NM,NM Non-Migrants,635442,1392869,28917227"
"48,TX,TEXAS,5763,12364,234861"
"04,AZ,ARIZONA,4340,9202,145918"
"08,CO,COLORADO,2529,4905,96908"
"06,CA,CALIFORNIA,2481,4253,91367"
"57,FR,Foreign,1027,2007,33156"
"12,FL,FLORIDA,1007,1929,43914"
"32,NV,NEVADA,828,1578,32037"
"53,WA,WASHINGTON,749,1394,31854"
"40,OK,OKLAHOMA,681,1421,27309"
"49,UT,UTAH,575,1372,20568"
"51,VA,VIRGINIA,533,1083,30138"
"41,OR,OREGON,503,867,18981"
"17,IL,ILLINOIS,462,781,70131"
"36,NY,NEW YORK,437,693,15468"
"37,NC,NORTH CAROLINA,395,789,18684"
"13,GA,GEORGIA,385,786,14757"
"39,OH,OHIO,353,694,15341"
"29,MO,MISSOURI,350,678,15450"
"20,KS,KANSAS,316,672,11771"
"42,PA,PENNSYLVANIA,297,505,11944"
"47,TN,TENNESSEE,271,550,12136"
"26,MI,MICHIGAN,254,482,8464"
"24,MD,MARYLAND,250,474,11818"
"27,MN,MINNESOTA,220,410,10421"
"16,ID,IDAHO,219,454,9758"
"05,AR,ARKANSAS,217,443,7850"
"18,IN,INDIANA,208,389,7952"
"56,WY,WYOMING,204,422,10861"
"55,WI,WISCONSIN,202,410,9874"
"25,MA,MASSACHUSETTS,200,334,8810"
"02,AK,ALASKA,198,416,8227"
"15,HI,HAWAII,193,366,7973"
"22,LA,LOUISIANA,188,366,7237"
"30,MT,MONTANA,182,349,7521"
"01,AL,ALABAMA,175,432,7823"
"45,SC,SOUTH CAROLINA,169,364,8386"
"31,NE,NEBRASKA,150,301,5950"
"34,NJ,NEW JERSEY,144,276,7605"
"21,KY,KENTUCKY,128,260,5845"
"19,IA,IOWA,123,273,6327"
"46,SD,SOUTH DAKOTA,109,243,4424"
"28,MS,MISSISSIPPI,102,200,3279"
"23,ME,MAINE,78,132,2449"
"11,DC,DISTRICT OF COLUMBIA,76,111,3043"
"09,CT,CONNECTICUT,71,109,4163"
"33,NH,NEW HAMPSHIRE,54,90,2340"
"38,ND,NORTH DAKOTA,54,111,1934"
"54,WV,WEST VIRGINIA,45,87,1588"
"44,RI,RHODE ISLAND,36,58,1540"
"50,VT,VERMONT,36,55,1207"
"10,DE,DELAWARE,23,41,986"
"10,,,,,"
