"MAINE OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Maine (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"23.0","96.0","ME","ME Total Mig - US & For","14756.0","24720.0","567039.0"
"23.0","97.0","ME","ME Total Mig - US","14364.0","24067.0","551019.0"
"23.0","98.0","ME","ME Total Mig - Foreign","392.0","653.0","16020.0"
"23.0","23.0","ME","ME Non-Migrants","503860.0","1018186.0","25226359.0"
"23.0","12.0","FL","FLORIDA","2284.0","4258.0","95153.0"
"23.0","25.0","MA","MASSACHUSETTS","1772.0","2551.0","64116.0"
"23.0","33.0","NH","NEW HAMPSHIRE","1727.0","2663.0","67793.0"
"23.0","36.0","NY","NEW YORK","766.0","1153.0","27841.0"
"23.0","6.0","CA","CALIFORNIA","684.0","1087.0","23924.0"
"23.0","51.0","VA","VIRGINIA","592.0","1080.0","26330.0"
"23.0","37.0","NC","NORTH CAROLINA","546.0","985.0","19169.0"
"23.0","48.0","TX","TEXAS","538.0","943.0","18679.0"
"23.0","9.0","CT","CONNECTICUT","413.0","650.0","15252.0"
"23.0","57.0","FR","Foreign","392.0","653.0","16020.0"
"23.0","42.0","PA","PENNSYLVANIA","377.0","648.0","13732.0"
"23.0","50.0","VT","VERMONT","298.0","414.0","10446.0"
"23.0","8.0","CO","COLORADO","280.0","405.0","8608.0"
"23.0","24.0","MD","MARYLAND","267.0","495.0","10351.0"
"23.0","4.0","AZ","ARIZONA","258.0","425.0","11898.0"
"23.0","53.0","WA","WASHINGTON","256.0","464.0","10984.0"
"23.0","45.0","SC","SOUTH CAROLINA","236.0","422.0","10948.0"
"23.0","13.0","GA","GEORGIA","227.0","406.0","9225.0"
"23.0","39.0","OH","OHIO","187.0","346.0","7426.0"
"23.0","47.0","TN","TENNESSEE","180.0","355.0","5713.0"
"23.0","34.0","NJ","NEW JERSEY","179.0","310.0","7126.0"
"23.0","44.0","RI","RHODE ISLAND","167.0","283.0","5999.0"
"23.0","17.0","IL","ILLINOIS","159.0","277.0","5791.0"
"23.0","41.0","OR","OREGON","143.0","229.0","5719.0"
"23.0","15.0","HI","HAWAII","132.0","252.0","4460.0"
"23.0","26.0","MI","MICHIGAN","112.0","207.0","4398.0"
"23.0","2.0","AK","ALASKA","100.0","183.0","3572.0"
"23.0","1.0","AL","ALABAMA","97.0","189.0","4424.0"
"23.0","27.0","MN","MINNESOTA","95.0","162.0","4021.0"
"23.0","55.0","WI","WISCONSIN","94.0","189.0","5708.0"
"23.0","21.0","KY","KENTUCKY","91.0","159.0","2512.0"
"23.0","35.0","NM","NEW MEXICO","91.0","147.0","3285.0"
"23.0","11.0","DC","DISTRICT OF COLUMBIA","90.0","112.0","3717.0"
"23.0","29.0","MO","MISSOURI","86.0","150.0","3018.0"
"23.0","22.0","LA","LOUISIANA","80.0","132.0","2980.0"
"23.0","40.0","OK","OKLAHOMA","78.0","138.0","2733.0"
"23.0","32.0","NV","NEVADA","75.0","117.0","2181.0"
"23.0","49.0","UT","UTAH","70.0","107.0","2086.0"
"23.0","18.0","IN","INDIANA","63.0","107.0","2035.0"
"23.0","20.0","KS","KANSAS","60.0","130.0","1581.0"
"23.0","30.0","MT","MONTANA","52.0","82.0","1801.0"
"23.0","19.0","IA","IOWA","48.0","95.0","1354.0"
"23.0","54.0","WV","WEST VIRGINIA","48.0","93.0","1743.0"
"23.0","28.0","MS","MISSISSIPPI","44.0","82.0","1039.0"
"23.0","16.0","ID","IDAHO","43.0","76.0","1742.0"
"23.0","10.0","DE","DELAWARE","42.0","68.0","2108.0"
"23.0","56.0","WY","WYOMING","33.0","49.0","993.0"
"23.0","5.0","AR","ARKANSAS","31.0","48.0","1502.0"
"23.0","31.0","NE","NEBRASKA","29.0","62.0","2153.0"
"23.0","38.0","ND","NORTH DAKOTA","22.0","43.0","733.0"
"23.0","46.0","SD","SOUTH DAKOTA","22.0","39.0","917.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
