"NEBRASKA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Nebraska (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"31.0","96.0","NE","NE Total Mig - US & For","19677.0","37647.0","812349.0"
"31.0","97.0","NE","NE Total Mig - US","19215.0","36747.0","795753.0"
"31.0","98.0","NE","NE Total Mig - Foreign","462.0","900.0","16596.0"
"31.0","31.0","NE","NE Non-Migrants","681638.0","1500364.0","37543831.0"
"31.0","19.0","IA","IOWA","2939.0","5628.0","110578.0"
"31.0","48.0","TX","TEXAS","1645.0","3446.0","76632.0"
"31.0","8.0","CO","COLORADO","1558.0","2832.0","62317.0"
"31.0","20.0","KS","KANSAS","1155.0","2185.0","43603.0"
"31.0","6.0","CA","CALIFORNIA","1071.0","1985.0","39728.0"
"31.0","29.0","MO","MISSOURI","971.0","1796.0","40328.0"
"31.0","46.0","SD","SOUTH DAKOTA","808.0","1515.0","32504.0"
"31.0","12.0","FL","FLORIDA","773.0","1392.0","31914.0"
"31.0","4.0","AZ","ARIZONA","720.0","1291.0","30050.0"
"31.0","17.0","IL","ILLINOIS","609.0","1055.0","28378.0"
"31.0","27.0","MN","MINNESOTA","546.0","1007.0","21697.0"
"31.0","57.0","FR","Foreign","462.0","900.0","16596.0"
"31.0","53.0","WA","WASHINGTON","407.0","788.0","18272.0"
"31.0","56.0","WY","WYOMING","399.0","756.0","15761.0"
"31.0","51.0","VA","VIRGINIA","373.0","766.0","19593.0"
"31.0","40.0","OK","OKLAHOMA","322.0","672.0","13191.0"
"31.0","13.0","GA","GEORGIA","301.0","651.0","14284.0"
"31.0","37.0","NC","NORTH CAROLINA","260.0","498.0","10186.0"
"31.0","55.0","WI","WISCONSIN","249.0","496.0","15189.0"
"31.0","5.0","AR","ARKANSAS","243.0","494.0","11190.0"
"31.0","39.0","OH","OHIO","243.0","466.0","11171.0"
"31.0","36.0","NY","NEW YORK","237.0","401.0","7684.0"
"31.0","32.0","NV","NEVADA","235.0","428.0","10611.0"
"31.0","41.0","OR","OREGON","220.0","392.0","7767.0"
"31.0","47.0","TN","TENNESSEE","205.0","380.0","9077.0"
"31.0","18.0","IN","INDIANA","203.0","395.0","8636.0"
"31.0","26.0","MI","MICHIGAN","196.0","358.0","7445.0"
"31.0","42.0","PA","PENNSYLVANIA","185.0","359.0","8812.0"
"31.0","49.0","UT","UTAH","180.0","423.0","6484.0"
"31.0","38.0","ND","NORTH DAKOTA","177.0","368.0","7890.0"
"31.0","35.0","NM","NEW MEXICO","176.0","363.0","7611.0"
"31.0","22.0","LA","LOUISIANA","150.0","321.0","7546.0"
"31.0","30.0","MT","MONTANA","127.0","218.0","4335.0"
"31.0","24.0","MD","MARYLAND","125.0","231.0","5838.0"
"31.0","21.0","KY","KENTUCKY","124.0","252.0","5328.0"
"31.0","1.0","AL","ALABAMA","117.0","229.0","5161.0"
"31.0","16.0","ID","IDAHO","117.0","288.0","4036.0"
"31.0","25.0","MA","MASSACHUSETTS","117.0","201.0","4222.0"
"31.0","45.0","SC","SOUTH CAROLINA","110.0","234.0","5046.0"
"31.0","28.0","MS","MISSISSIPPI","107.0","218.0","3673.0"
"31.0","15.0","HI","HAWAII","97.0","197.0","3716.0"
"31.0","34.0","NJ","NEW JERSEY","94.0","166.0","5485.0"
"31.0","2.0","AK","ALASKA","87.0","200.0","3375.0"
"31.0","9.0","CT","CONNECTICUT","62.0","111.0","3027.0"
"31.0","11.0","DC","DISTRICT OF COLUMBIA","40.0","52.0","1711.0"
"31.0","54.0","WV","WEST VIRGINIA","32.0","49.0","732.0"
"31.0","23.0","ME","MAINE","31.0","55.0","989.0"
"31.0","10.0","DE","DELAWARE","24.0","47.0","1085.0"
"31.0","44.0","RI","RHODE ISLAND","20.0","34.0","761.0"
"31.0","33.0","NH","NEW HAMPSHIRE","16.0","46.0","733.0"
"31.0","50.0","VT","VERMONT","12.0","12.0","373.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
