"ARKANSAS OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Arkansas (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"5.0","96.0","AR","AR Total Mig - US & For","27202.0","54871.0","1068378.0"
"5.0","97.0","AR","AR Total Mig - US","26682.0","53867.0","1048497.0"
"5.0","98.0","AR","AR Total Mig - Foreign","520.0","1004.0","19881.0"
"5.0","5.0","AR","AR Non-Migrants","954967.0","2135030.0","44111763.0"
"5.0","48.0","TX","TEXAS","5514.0","11317.0","208297.0"
"5.0","40.0","OK","OKLAHOMA","2597.0","5526.0","80411.0"
"5.0","29.0","MO","MISSOURI","2497.0","5103.0","72218.0"
"5.0","47.0","TN","TENNESSEE","1614.0","3162.0","58314.0"
"5.0","22.0","LA","LOUISIANA","1327.0","2714.0","46105.0"
"5.0","12.0","FL","FLORIDA","1288.0","2381.0","94865.0"
"5.0","6.0","CA","CALIFORNIA","1261.0","2414.0","42595.0"
"5.0","28.0","MS","MISSISSIPPI","831.0","1706.0","30338.0"
"5.0","17.0","IL","ILLINOIS","749.0","1489.0","31995.0"
"5.0","13.0","GA","GEORGIA","656.0","1335.0","28397.0"
"5.0","20.0","KS","KANSAS","569.0","1187.0","21922.0"
"5.0","37.0","NC","NORTH CAROLINA","554.0","1156.0","24838.0"
"5.0","57.0","FR","Foreign","520.0","1004.0","19881.0"
"5.0","8.0","CO","COLORADO","496.0","968.0","20558.0"
"5.0","4.0","AZ","ARIZONA","464.0","896.0","15455.0"
"5.0","1.0","AL","ALABAMA","431.0","926.0","18390.0"
"5.0","51.0","VA","VIRGINIA","429.0","868.0","23398.0"
"5.0","26.0","MI","MICHIGAN","366.0","738.0","11546.0"
"5.0","36.0","NY","NEW YORK","366.0","624.0","15622.0"
"5.0","53.0","WA","WASHINGTON","355.0","732.0","18377.0"
"5.0","18.0","IN","INDIANA","330.0","665.0","11626.0"
"5.0","39.0","OH","OHIO","328.0","688.0","20194.0"
"5.0","21.0","KY","KENTUCKY","304.0","616.0","11070.0"
"5.0","55.0","WI","WISCONSIN","261.0","504.0","9231.0"
"5.0","19.0","IA","IOWA","244.0","518.0","8562.0"
"5.0","42.0","PA","PENNSYLVANIA","244.0","474.0","15837.0"
"5.0","45.0","SC","SOUTH CAROLINA","237.0","529.0","12167.0"
"5.0","32.0","NV","NEVADA","231.0","419.0","7363.0"
"5.0","27.0","MN","MINNESOTA","226.0","476.0","11215.0"
"5.0","35.0","NM","NEW MEXICO","207.0","421.0","7811.0"
"5.0","31.0","NE","NEBRASKA","182.0","394.0","5675.0"
"5.0","24.0","MD","MARYLAND","173.0","310.0","6880.0"
"5.0","34.0","NJ","NEW JERSEY","155.0","322.0","14125.0"
"5.0","41.0","OR","OREGON","155.0","293.0","4331.0"
"5.0","2.0","AK","ALASKA","119.0","243.0","4247.0"
"5.0","49.0","UT","UTAH","109.0","223.0","4842.0"
"5.0","15.0","HI","HAWAII","100.0","176.0","2744.0"
"5.0","25.0","MA","MASSACHUSETTS","97.0","164.0","3534.0"
"5.0","56.0","WY","WYOMING","80.0","164.0","3056.0"
"5.0","54.0","WV","WEST VIRGINIA","74.0","135.0","2338.0"
"5.0","30.0","MT","MONTANA","70.0","153.0","2501.0"
"5.0","16.0","ID","IDAHO","66.0","150.0","1600.0"
"5.0","46.0","SD","SOUTH DAKOTA","63.0","134.0","2990.0"
"5.0","38.0","ND","NORTH DAKOTA","54.0","110.0","1661.0"
"5.0","11.0","DC","DISTRICT OF COLUMBIA","51.0","74.0","2594.0"
"5.0","9.0","CT","CONNECTICUT","45.0","75.0","2390.0"
"5.0","23.0","ME","MAINE","36.0","57.0","994.0"
"5.0","10.0","DE","DELAWARE","21.0","36.0","836.0"
"5.0","33.0","NH","NEW HAMPSHIRE","21.0","40.0","972.0"
"5.0","44.0","RI","RHODE ISLAND","18.0","39.0","1072.0"
"5.0","50.0","VT","VERMONT","17.0","23.0","397.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
