"TEXAS OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Texas (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"48.0","96.0","TX","TX Total Mig - US & For","172085.0","344761.0","7534702.0"
"48.0","97.0","TX","TX Total Mig - US","163893.0","328137.0","7065363.0"
"48.0","98.0","TX","TX Total Mig - Foreign","8192.0","16624.0","469338.0"
"48.0","48.0","TX","TX Non-Migrants","8198563.0","19011187.0","437066323.0"
"48.0","6.0","CA","CALIFORNIA","17403.0","33914.0","789138.0"
"48.0","12.0","FL","FLORIDA","11206.0","21580.0","481883.0"
"48.0","22.0","LA","LOUISIANA","10093.0","20848.0","364806.0"
"48.0","13.0","GA","GEORGIA","9936.0","16649.0","246306.0"
"48.0","40.0","OK","OKLAHOMA","9367.0","19641.0","373239.0"
"48.0","57.0","FR","Foreign","8192.0","16624.0","469338.0"
"48.0","8.0","CO","COLORADO","7452.0","15832.0","346438.0"
"48.0","51.0","VA","VIRGINIA","5823.0","12476.0","308381.0"
"48.0","35.0","NM","NEW MEXICO","5572.0","11858.0","213202.0"
"48.0","4.0","AZ","ARIZONA","5163.0","10302.0","240368.0"
"48.0","36.0","NY","NEW YORK","5106.0","8725.0","230632.0"
"48.0","5.0","AR","ARKANSAS","5088.0","10511.0","194427.0"
"48.0","37.0","NC","NORTH CAROLINA","5041.0","10636.0","220453.0"
"48.0","17.0","IL","ILLINOIS","4749.0","9238.0","230082.0"
"48.0","53.0","WA","WASHINGTON","4328.0","8776.0","219157.0"
"48.0","29.0","MO","MISSOURI","3911.0","7935.0","159930.0"
"48.0","47.0","TN","TENNESSEE","3762.0","7926.0","172169.0"
"48.0","20.0","KS","KANSAS","3251.0","7367.0","132045.0"
"48.0","39.0","OH","OHIO","3058.0","5871.0","142069.0"
"48.0","42.0","PA","PENNSYLVANIA","2894.0","5619.0","165944.0"
"48.0","24.0","MD","MARYLAND","2767.0","5531.0","148005.0"
"48.0","26.0","MI","MICHIGAN","2760.0","5397.0","104816.0"
"48.0","1.0","AL","ALABAMA","2613.0","5751.0","118517.0"
"48.0","21.0","KY","KENTUCKY","2510.0","6024.0","93732.0"
"48.0","32.0","NV","NEVADA","2212.0","4190.0","93288.0"
"48.0","28.0","MS","MISSISSIPPI","2201.0","4516.0","78190.0"
"48.0","45.0","SC","SOUTH CAROLINA","2121.0","4399.0","97963.0"
"48.0","18.0","IN","INDIANA","2104.0","4317.0","93520.0"
"48.0","34.0","NJ","NEW JERSEY","1952.0","3712.0","119797.0"
"48.0","27.0","MN","MINNESOTA","1741.0","3584.0","72523.0"
"48.0","25.0","MA","MASSACHUSETTS","1691.0","2872.0","94490.0"
"48.0","41.0","OR","OREGON","1542.0","2837.0","65165.0"
"48.0","55.0","WI","WISCONSIN","1517.0","2969.0","59692.0"
"48.0","49.0","UT","UTAH","1497.0","3312.0","71354.0"
"48.0","15.0","HI","HAWAII","1456.0","3115.0","54612.0"
"48.0","19.0","IA","IOWA","1454.0","2981.0","56670.0"
"48.0","31.0","NE","NEBRASKA","1304.0","2774.0","53621.0"
"48.0","2.0","AK","ALASKA","1122.0","2506.0","56952.0"
"48.0","9.0","CT","CONNECTICUT","787.0","1429.0","56198.0"
"48.0","16.0","ID","IDAHO","746.0","1639.0","31177.0"
"48.0","11.0","DC","DISTRICT OF COLUMBIA","643.0","852.0","38236.0"
"48.0","30.0","MT","MONTANA","587.0","1093.0","27209.0"
"48.0","46.0","SD","SOUTH DAKOTA","540.0","1086.0","22214.0"
"48.0","56.0","WY","WYOMING","533.0","1138.0","27432.0"
"48.0","38.0","ND","NORTH DAKOTA","461.0","926.0","17028.0"
"48.0","54.0","WV","WEST VIRGINIA","439.0","873.0","19409.0"
"48.0","23.0","ME","MAINE","370.0","744.0","15994.0"
"48.0","10.0","DE","DELAWARE","325.0","587.0","14886.0"
"48.0","33.0","NH","NEW HAMPSHIRE","325.0","593.0","17635.0"
"48.0","44.0","RI","RHODE ISLAND","232.0","451.0","9200.0"
"48.0","50.0","VT","VERMONT","138.0","235.0","5171.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
