"ARIZONA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Arizona (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"4.0","96.0","AZ","AZ Total Mig - US & For","77357.0","151392.0","3055878.0"
"4.0","97.0","AZ","AZ Total Mig - US","75362.0","147538.0","2979241.0"
"4.0","98.0","AZ","AZ Total Mig - Foreign","1995.0","3854.0","76637.0"
"4.0","4.0","AZ","AZ Non-Migrants","2003461.0","4508213.0","104078548.0"
"4.0","6.0","CA","CALIFORNIA","14886.0","29041.0","584668.0"
"4.0","48.0","TX","TEXAS","6965.0","15131.0","292854.0"
"4.0","8.0","CO","COLORADO","4075.0","7794.0","166678.0"
"4.0","35.0","NM","NEW MEXICO","3584.0","8186.0","112592.0"
"4.0","53.0","WA","WASHINGTON","3555.0","6853.0","140468.0"
"4.0","12.0","FL","FLORIDA","2961.0","5255.0","120448.0"
"4.0","32.0","NV","NEVADA","2635.0","5268.0","110655.0"
"4.0","17.0","IL","ILLINOIS","2364.0","4172.0","87857.0"
"4.0","49.0","UT","UTAH","2236.0","5313.0","84994.0"
"4.0","41.0","OR","OREGON","2066.0","3717.0","76072.0"
"4.0","36.0","NY","NEW YORK","2055.0","3413.0","75104.0"
"4.0","57.0","FR","Foreign","1995.0","3854.0","76637.0"
"4.0","26.0","MI","MICHIGAN","1726.0","3068.0","59582.0"
"4.0","51.0","VA","VIRGINIA","1526.0","3007.0","85072.0"
"4.0","39.0","OH","OHIO","1440.0","2551.0","53589.0"
"4.0","37.0","NC","NORTH CAROLINA","1409.0","2911.0","60514.0"
"4.0","42.0","PA","PENNSYLVANIA","1333.0","2335.0","51943.0"
"4.0","27.0","MN","MINNESOTA","1243.0","2178.0","55669.0"
"4.0","13.0","GA","GEORGIA","1183.0","2421.0","49858.0"
"4.0","29.0","MO","MISSOURI","1168.0","2240.0","45392.0"
"4.0","55.0","WI","WISCONSIN","1103.0","1954.0","42967.0"
"4.0","40.0","OK","OKLAHOMA","1063.0","2212.0","36272.0"
"4.0","18.0","IN","INDIANA","980.0","1933.0","35339.0"
"4.0","47.0","TN","TENNESSEE","955.0","1944.0","37227.0"
"4.0","16.0","ID","IDAHO","892.0","2017.0","31674.0"
"4.0","20.0","KS","KANSAS","891.0","1860.0","31626.0"
"4.0","19.0","IA","IOWA","815.0","1559.0","28248.0"
"4.0","24.0","MD","MARYLAND","783.0","1437.0","40931.0"
"4.0","25.0","MA","MASSACHUSETTS","778.0","1269.0","34117.0"
"4.0","34.0","NJ","NEW JERSEY","658.0","1162.0","31224.0"
"4.0","15.0","HI","HAWAII","640.0","1256.0","24146.0"
"4.0","31.0","NE","NEBRASKA","629.0","1225.0","21210.0"
"4.0","30.0","MT","MONTANA","577.0","1076.0","21178.0"
"4.0","22.0","LA","LOUISIANA","573.0","1093.0","18636.0"
"4.0","5.0","AR","ARKANSAS","561.0","1208.0","21185.0"
"4.0","45.0","SC","SOUTH CAROLINA","545.0","1078.0","22739.0"
"4.0","2.0","AK","ALASKA","520.0","965.0","20051.0"
"4.0","56.0","WY","WYOMING","516.0","1057.0","21055.0"
"4.0","21.0","KY","KENTUCKY","511.0","1049.0","19339.0"
"4.0","1.0","AL","ALABAMA","465.0","1005.0","22913.0"
"4.0","46.0","SD","SOUTH DAKOTA","427.0","776.0","17828.0"
"4.0","9.0","CT","CONNECTICUT","378.0","592.0","16573.0"
"4.0","38.0","ND","NORTH DAKOTA","307.0","545.0","11187.0"
"4.0","28.0","MS","MISSISSIPPI","263.0","536.0","8686.0"
"4.0","33.0","NH","NEW HAMPSHIRE","222.0","383.0","9670.0"
"4.0","11.0","DC","DISTRICT OF COLUMBIA","202.0","267.0","11032.0"
"4.0","23.0","ME","MAINE","191.0","327.0","6676.0"
"4.0","54.0","WV","WEST VIRGINIA","157.0","313.0","5892.0"
"4.0","10.0","DE","DELAWARE","120.0","227.0","5545.0"
"4.0","44.0","RI","RHODE ISLAND","118.0","189.0","5908.0"
"4.0","50.0","VT","VERMONT","112.0","170.0","4159.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
